entity_type,entity,entity_id,biotype,relationship,sources,n_sources,evidence_types,best_score,score_type,tissue_celltype,confidence_tier,notes
gene,CASS4,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,CBLC,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CCDC6,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.95,PIGEAN/EAGGL_weight,,T4 low,
gene,CD2AP,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,4.44,PIGEAN/EAGGL_weight,,T2 high,
gene,CD33,,protein-coding,associated_with_AD,rdkg;digcfdekg,2,curated_link;statistical_association,4.2,PIGEAN/EAGGL_weight,,T3 medium,
gene,CDK5,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CELF1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CHAT,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CHRNA7,,protein-coding,associated_with_AD,rdkg;digcfdekg,2,curated_link;statistical_association,4.38,PIGEAN/EAGGL_weight,,T3 medium,
gene,CHRNB2,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,CHRNE,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CLN3,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.09,PIGEAN/EAGGL_weight,,T4 low,
gene,CLNK,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.85,PIGEAN/EAGGL_weight,,T4 low,
gene,CLU,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,9.38,PIGEAN/EAGGL_weight,,T2 high,
gene,CNTNAP2,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,COX7C,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.07,PIGEAN/EAGGL_weight,,T4 low,
gene,CR1,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,4.4,PIGEAN/EAGGL_weight,,T2 high,
gene,CR1L,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.97,PIGEAN/EAGGL_weight,,T4 low,
gene,CREB1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CRH,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,CSNK1E,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.12,PIGEAN/EAGGL_weight,,T4 low,
gene,CSNK1G3,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.69,PIGEAN/EAGGL_weight,,T4 low,
