hEntrez,humanSymbol,n_studies,n_tissues,n_systems,n_species,max_abs_lfc,min_padj,n_up,n_down,n_strict,studies,n_mouse_studies,mouse_lfc,mouse_tissues,mouse_fanout,n_fly_studies,fly_fanout,fly_lfc,dir_consistency,consensus_dir,in_ocular,in_cns,in_cardio,in_flyhead,systems,xspecies_ok,mouse_systems,score,rank,tier
6227,RPS21,3,3,2,2,1.35446,1.01179e-06,1,2,3,OSD-207|OSD-564|OSD-613,2,-1.35446,cerebral hemisphere|hippocampus,1.0,1,1.0,1.10759,0.6666666666666666,DOWN,False,True,False,True,CNS+flyhead,True,1,33.244,24,A
140902,R3HDML,3,3,3,2,6.05991,7.49826e-06,1,2,3,OSD-100|OSD-207|OSD-347,1,-1.14327,left eye,1.0,2,13.0,6.05991,0.6666666666666666,DOWN,True,False,True,True,ocular+cardio+flyhead,False,2,33.198,25,A
3241,HPCAL1,3,2,2,1,2.30524,5.49857e-08,1,2,2,OSD-255|OSD-612|OSD-613,3,-2.30524,cerebral hemisphere|retina,1.0,0,,,0.6666666666666666,DOWN,True,True,False,False,ocular+CNS,False,2,33.038,26,A
348980,HCN1,3,3,3,2,1.1979,1.03992e-05,0,3,2,OSD-207|OSD-255|OSD-347,1,-0.319629,retina,1.0,2,14.0,-1.1979,1.0,DOWN,True,False,True,True,ocular+cardio+flyhead,False,2,32.684,27,A
84268,RPAIN,2,2,2,2,1.63347,0.0212595,2,0,1,OSD-255|OSD-347,1,0.466725,retina,1.0,1,1.0,1.63347,1.0,UP,True,False,True,False,ocular+cardio,True,2,32.341,28,A
5138,PDE2A,2,2,2,1,23.9991,1.74892e-11,0,2,2,OSD-397|OSD-580,2,-23.9991,heart right ventricle|retina,1.0,0,,,1.0,DOWN,True,False,True,False,ocular+cardio,False,2,32.296,29,A
7737,RNF113A,2,2,2,2,1.31756,0.0162137,2,0,1,OSD-255|OSD-347,1,0.298421,retina,1.0,1,2.0,1.31756,1.0,UP,True,False,True,False,ocular+cardio,True,2,32.23,30,A
6441,SFTPD,2,2,2,1,15.6145,1.58155e-05,0,2,2,OSD-100|OSD-580,2,-15.6145,heart right ventricle|left eye,1.0,0,,,1.0,DOWN,True,False,True,False,ocular+cardio,False,2,31.941,31,A
8294,H4C9,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,32,A
8359,H4C1,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,33,A
8360,H4C4,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,34,A
8361,H4C6,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,35,A
8362,H4C12,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,36,A
8363,H4C11,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,37,A
8364,H4C3,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,38,A
8365,H4C8,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,39,A
8366,H4C2,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,40,A
8367,H4C5,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,41,B
8368,H4C13,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,42,B
8370,H4C14,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,43,B
121504,H4-16,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,44,B
554313,H4C15,3,3,1,1,1.86174,0.00230715,0,3,3,OSD-525|OSD-564|OSD-613,3,-1.86174,cerebellum|cerebral hemisphere|hippocampus,14.0,0,,,1.0,DOWN,False,True,False,False,CNS,False,1,31.913,45,B
27159,CHIA,3,3,3,2,7.44574,5.56163e-05,0,3,3,OSD-207|OSD-347|OSD-612,1,-3.87153,cerebral hemisphere,1.0,2,5.0,-7.44574,1.0,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,31.853,46,B
56344,CABP5,3,3,3,2,5.7461,0.00115671,2,1,2,OSD-207|OSD-255|OSD-347,1,0.287419,retina,1.0,2,18.0,-5.7461,0.6666666666666666,UP,True,False,True,True,ocular+cardio+flyhead,False,2,31.658,47,B
2893,GRIA4,3,3,3,2,3.03189,7.46751e-08,0,3,3,OSD-207|OSD-347|OSD-612,1,-1.96388,cerebral hemisphere,1.0,2,17.0,-3.03189,1.0,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,31.211,48,B
2895,GRID2,3,3,3,2,3.03189,7.46751e-08,0,3,3,OSD-207|OSD-347|OSD-612,1,-2.31213,cerebral hemisphere,1.0,2,17.0,-3.03189,1.0,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,31.211,49,B
2898,GRIK2,3,3,3,2,3.03189,7.46751e-08,0,3,3,OSD-207|OSD-347|OSD-612,1,-1.00783,cerebral hemisphere,1.0,2,17.0,-3.03189,1.0,DOWN,False,True,True,True,CNS+cardio+flyhead,False,2,31.211,50,B
53405,CLIC5,3,3,3,2,2.70479,0.00173111,1,2,2,OSD-100|OSD-207|OSD-347,1,-0.254543,left eye,1.0,2,12.0,-2.70479,0.6666666666666666,DOWN,True,False,True,True,ocular+cardio+flyhead,False,2,31.138,51,B
