osd,symbol,entrez,log2fc,adj_p
OSD-100,Mpst,246221,-0.209908,0.0307234
OSD-100,Oas3,246727,1.5628,0.00577501
OSD-100,Oas2,246728,1.73852,0.00162182
OSD-100,Oas1a,246730,1.52099,0.000611469
OSD-100,Gnpda1,26384,0.291987,0.00276731
OSD-100,Map2k3,26397,-0.336439,0.0288061
OSD-100,Idh2,269951,-0.389207,0.0372066
OSD-100,Galntl6,270049,0.458664,0.0398229
OSD-100,Atp5mg,27425,-0.247556,0.0394277
OSD-100,Atp5po,28080,-0.308637,0.00263445
OSD-100,Gatd3a,28295,-0.252874,0.0484367
OSD-100,Bag3,29810,-0.268638,0.0236232
OSD-100,Strip2,320609,0.208782,0.0351777
OSD-100,Krt78,332131,-0.608002,0.0000381616
OSD-100,Nr1d2,353187,-0.228166,0.0470099
OSD-100,Ajm1,381353,0.216313,0.0364718
OSD-100,S100a7a,381493,0.930801,0.0299659
OSD-100,Irs2,384783,-0.178361,0.0467559
OSD-100,Spink7,408198,1.25995,0.0123274
OSD-100,Mn1,433938,-0.396811,0.00956072
OSD-100,Ech1,51798,-0.438634,0.0229861
OSD-100,Acaa2,52538,-0.441303,0.0123561
OSD-100,Rpl36,54217,-0.253908,0.0236232
OSD-100,Eef1b2,55949,-0.204578,0.0318105
OSD-100,Rplp1,56040,-0.215583,0.0457873
OSD-100,Msln,56047,-0.987865,0.000112142
OSD-100,Txnip,56338,-0.496465,8.56806e-6
OSD-100,Mlycd,56690,-0.288207,0.0268932
OSD-100,Bcam,57278,-0.320432,0.0247158
OSD-100,Smpdl3a,57319,-0.157029,0.0393189
OSD-100,Tbc1d1,57915,0.25141,0.000338681
OSD-100,Pcbp4,59092,0.147373,0.0473877
OSD-100,Herpud1,64209,-0.253368,0.00449946
OSD-100,Atp5d,66043,-0.171768,0.00632182
OSD-100,Ndufa9,66108,-0.293361,0.0230197
OSD-100,Uqcr10,66152,-0.227948,0.0313011
OSD-100,Ndufb9,66218,-0.276371,0.0158662
OSD-100,Pla2g12a,66350,-0.336063,0.0268932
OSD-100,Sln,66402,-1.01521,0.0273582
OSD-100,Uqcrh,66576,-0.18872,0.00499263
OSD-100,Eef1d,66656,-0.26748,0.0278744
