symbol,pw,pw_label,pw_id
DYRK2,https://identifiers.org/reactome/R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,R-HSA-6804756
EPB41,https://identifiers.org/reactome/R-HSA-6794361,Neurexins and neuroligins,R-HSA-6794361
FASN,https://identifiers.org/reactome/R-HSA-163765,ChREBP activates metabolic gene expression,R-HSA-163765
FASN,https://identifiers.org/reactome/R-HSA-199220,Vitamin B5 (pantothenate) metabolism,R-HSA-199220
FASN,https://identifiers.org/reactome/R-HSA-2426168,Activation of gene expression by SREBF (SREBP),R-HSA-2426168
FASN,https://identifiers.org/reactome/R-HSA-75105,Fatty acyl-CoA biosynthesis,R-HSA-75105
FASN,https://identifiers.org/reactome/R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,R-HSA-9029558
GABRR2,https://identifiers.org/reactome/R-HSA-977443,GABA receptor activation,R-HSA-977443
GRIA4,https://identifiers.org/reactome/R-HSA-399710,Activation of AMPA receptors,R-HSA-399710
GRIA4,https://identifiers.org/reactome/R-HSA-399719,Trafficking of AMPA receptors,R-HSA-399719
GRIA4,https://identifiers.org/reactome/R-HSA-416993,Trafficking of GluR2-containing AMPA receptors,R-HSA-416993
GRIA4,https://identifiers.org/reactome/R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",R-HSA-438066
GRIA4,https://identifiers.org/reactome/R-HSA-8849932,Synaptic adhesion-like molecules,R-HSA-8849932
GRIK2,https://identifiers.org/reactome/R-HSA-451307,Activation of Na-permeable kainate receptors,R-HSA-451307
GRIK2,https://identifiers.org/reactome/R-HSA-451308,Activation of Ca-permeable Kainate Receptor,R-HSA-451308
GRM4,https://identifiers.org/reactome/R-HSA-418594,G alpha (i) signalling events,R-HSA-418594
GRM4,https://identifiers.org/reactome/R-HSA-420499,Class C/3 (Metabotropic glutamate/pheromone receptors),R-HSA-420499
GRM4,https://identifiers.org/reactome/R-HSA-9717207,"Sensory perception of sweet, bitter, and umami (glutamate) taste",R-HSA-9717207
HCN1,https://identifiers.org/reactome/R-HSA-1296061,HCN channels,R-HSA-1296061
HK2,https://identifiers.org/reactome/R-HSA-70171,Glycolysis,R-HSA-70171
HOMER2,https://identifiers.org/reactome/R-HSA-6794361,Neurexins and neuroligins,R-HSA-6794361
HSP90AA1,https://identifiers.org/reactome/R-HSA-1227986,Signaling by ERBB2,R-HSA-1227986
HSP90AA1,https://identifiers.org/reactome/R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,R-HSA-1236382
HSP90AA1,https://identifiers.org/reactome/R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",R-HSA-1474151
HSP90AA1,https://identifiers.org/reactome/R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-168928
HSP90AA1,https://identifiers.org/reactome/R-HSA-192905,vRNP Assembly,R-HSA-192905
HSP90AA1,https://identifiers.org/reactome/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,R-HSA-2029482
HSP90AA1,https://identifiers.org/reactome/R-HSA-203615,eNOS activation,R-HSA-203615
HSP90AA1,https://identifiers.org/reactome/R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,R-HSA-2565942
HSP90AA1,https://identifiers.org/reactome/R-HSA-3000484,Scavenging by Class F Receptors,R-HSA-3000484
HSP90AA1,https://identifiers.org/reactome/R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,R-HSA-3371497
HSP90AA1,https://identifiers.org/reactome/R-HSA-3371511,HSF1 activation,R-HSA-3371511
HSP90AA1,https://identifiers.org/reactome/R-HSA-3371568,Attenuation phase,R-HSA-3371568
HSP90AA1,https://identifiers.org/reactome/R-HSA-3371571,HSF1-dependent transactivation,R-HSA-3371571
HSP90AA1,https://identifiers.org/reactome/R-HSA-380259,Loss of Nlp from mitotic centrosomes,R-HSA-380259
HSP90AA1,https://identifiers.org/reactome/R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,R-HSA-380270
HSP90AA1,https://identifiers.org/reactome/R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome,R-HSA-380284
HSP90AA1,https://identifiers.org/reactome/R-HSA-380320,Recruitment of NuMA to mitotic centrosomes,R-HSA-380320
HSP90AA1,https://identifiers.org/reactome/R-HSA-399954,Sema3A PAK dependent Axon repulsion,R-HSA-399954
HSP90AA1,https://identifiers.org/reactome/R-HSA-4420097,VEGFA-VEGFR2 Pathway,R-HSA-4420097
HSP90AA1,https://identifiers.org/reactome/R-HSA-5218920,VEGFR2 mediated vascular permeability,R-HSA-5218920
HSP90AA1,https://identifiers.org/reactome/R-HSA-5336415,Uptake and function of diphtheria toxin,R-HSA-5336415
HSP90AA1,https://identifiers.org/reactome/R-HSA-5601884,PIWI-interacting RNA (piRNA) biogenesis,R-HSA-5601884
HSP90AA1,https://identifiers.org/reactome/R-HSA-5620912,Anchoring of the basal body to the plasma membrane,R-HSA-5620912
HSP90AA1,https://identifiers.org/reactome/R-HSA-5637810,Constitutive Signaling by EGFRvIII,R-HSA-5637810
HSP90AA1,https://identifiers.org/reactome/R-HSA-5675482,Regulation of necroptotic cell death,R-HSA-5675482
HSP90AA1,https://identifiers.org/reactome/R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,R-HSA-6785807
HSP90AA1,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation,R-HSA-6798695
HSP90AA1,https://identifiers.org/reactome/R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,R-HSA-8852276
HSP90AA1,https://identifiers.org/reactome/R-HSA-8854518,AURKA Activation by TPX2,R-HSA-8854518
HSP90AA1,https://identifiers.org/reactome/R-HSA-8863795,Downregulation of ERBB2 signaling,R-HSA-8863795
HSP90AA1,https://identifiers.org/reactome/R-HSA-8939211,ESR-mediated signaling,R-HSA-8939211
HSP90AA1,https://identifiers.org/reactome/R-HSA-9009391,Extra-nuclear estrogen signaling,R-HSA-9009391
HSP90AA1,https://identifiers.org/reactome/R-HSA-9013418,RHOBTB2 GTPase cycle,R-HSA-9013418
HSP90AA1,https://identifiers.org/reactome/R-HSA-9018519,Estrogen-dependent gene expression,R-HSA-9018519
HSP90AA1,https://identifiers.org/reactome/R-HSA-9613829,Chaperone Mediated Autophagy,R-HSA-9613829
