symbol,trait,trait_label
AKR1B15,http://www.orpha.net/ORDO/Orphanet_325690,Genetic difference of sex development
AKR1B15,http://www.orpha.net/ORDO/Orphanet_325706,Genetic 46;XY difference of sex development
AKR1B15,http://www.orpha.net/ORDO/Orphanet_325713,Genetic 46;XY difference of sex development of endocrine origin
AKR1B15,http://www.orpha.net/ORDO/Orphanet_399572,Rare male infertility due to hypothalamic-pituitary-gonadal axis disorder
AKR1B15,http://www.orpha.net/ORDO/Orphanet_399849,Rare female infertility due to an adrenal disorder
AKR1B15,http://www.orpha.net/ORDO/Orphanet_399983,Rare male infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin
AKR1B15,http://www.orpha.net/ORDO/Orphanet_418,Congenital adrenal hyperplasia
AKR1B15,http://www.orpha.net/ORDO/Orphanet_519319,Isolated stationary inherited retinal disorder
AKR1B15,http://www.orpha.net/ORDO/Orphanet_68367,Rare inborn errors of metabolism
AKR1B15,http://www.orpha.net/ORDO/Orphanet_68380,Mitochondrial disease
AKR1B15,http://www.orpha.net/ORDO/Orphanet_68385,Neurometabolic disease
AKR1B15,http://www.orpha.net/ORDO/Orphanet_77828,Genetic obesity
AKR1B15,http://www.orpha.net/ORDO/Orphanet_79168,Disorder of bile acid synthesis
AKR1B15,http://www.orpha.net/ORDO/Orphanet_79200,Disorder of energy metabolism
AKR1B15,http://www.orpha.net/ORDO/Orphanet_79226,Sterol metabolism disorder
AKR1B15,http://www.orpha.net/ORDO/Orphanet_90692,Rare endocrine growth disease
AKR1B15,http://www.orpha.net/ORDO/Orphanet_90771,Difference of sex development
AKR1B15,http://www.orpha.net/ORDO/Orphanet_97978,Rare endocrine disease
AKR1B15,http://www.orpha.net/ORDO/Orphanet_98078,46;XX difference of sex development induced by androgens excess
AKR1B15,http://www.orpha.net/ORDO/Orphanet_98085,46;XY difference of sex development
AKR1B15,http://www.orpha.net/ORDO/Orphanet_98267,Genetic non-syndromic obesity
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/0585d6614db9516e6927,Triglyceride levels in individuals without type 2 diabetes
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/0a512bc6a798aece6793,Nucleated red blood cell percentage
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/26a803d268a7c4926675,Motor fluctuations in Parkinson's disease
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/2e1ebb1b39b4ef979f37,Fasting insulin adj BMI
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/3b041a60cd4748d198ae,FRC to TLC ratio; Thirona
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/3b10714f934e10bc9e01,Direct bilirubin
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/4e83c1d73ea294926d22,Random glucose
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/58787228a7ed64d26736,Insulin-like growth factor (IGF-1)
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/6f7232454b3586359516,AST-ALT ratio
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/734b32b95e4d4ec928b4,Plasma C-reactive protein
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/7a651d57bffdaf6619e8,Fetal genetic effect on own birth weight adj maternal genotype
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/7d3429ec21cd80f1f54e,Alanine transaminase (ALT)
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a55fbbd2f871eea292d,rare v2
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/9103e8ebee9fd8e723dc,HDL cholesterol
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/9a097fd10b581f37adc2,Bioavailable testosterone levels
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/ae65708a3b6e70f70eaa,Childhood obesity
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/b1062c92ac6d15f7a419,ecosanoids measurement
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/b9d0557331cc18fdb9bf,Triglyceride-to-HDL ratio
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/bd5de503f575d35fd76a,Dehydroepiandrosterone sulfate levels
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/c0e868170eae5f268e90,End-stage renal disease (ESRD) vs. controls adj HbA1c-BMI in type 1 diabetes
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/c51150f19df4423c5162,Serum ApoB
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce80cfbec8277c7e4676,serum alanine aminotransferase measurement
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/d1d86ebfb7152f890324,Triglycerides
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/d3e168d6c379d2a170eb,vitamin D measurement
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/d61690ba1df2ea382561,Non-HDL cholesterol
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/d8d2b8dd90266380dca4,Serum urate
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/da3fa474814049c51b0a,Total testosterone levels
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/e1522bde06a52717db8a,Serum ApoA
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/ea0dee234ac884ac0997,Type 2 diabetes (T2D)
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/ea2978edffb612e191ff,Vitamin D levels
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/eafedcc45f0e68839297,Photoreceptor cell outer segment thickness
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/ec6483a75de5db5b5072,serum urea measurement
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/f13eb2bfaef9ba9f97e3,Type 2 diabetes with neurological manifestations
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/f4bed64635235e69055c,Total bilirubin
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/f6dc687b1cb06ce3b517,PS retinal layer thickness
AKR1B15,https://purl.org/okn/frink/kg/digcfdekg/node/trait/fb80dccd32a8ddc12bdb,Type 2 diabetes (with history of pregnancy)
ANLN,http://purl.obolibrary.org/obo/HP_0001394,Cirrhosis
ANLN,http://purl.obolibrary.org/obo/MONDO_0005159,prostate carcinoma
ANLN,http://www.ebi.ac.uk/efo/EFO_0004471,insulin sensitivity measurement
ANLN,http://www.ebi.ac.uk/efo/EFO_0004527,Mean corpuscular hemoglobin
ANLN,http://www.ebi.ac.uk/efo/EFO_0004541,HbA1c
ANLN,http://www.ebi.ac.uk/efo/EFO_0006809,Docosapentaenoic acid (DPA)
ANLN,http://www.ebi.ac.uk/efo/EFO_0007629,hemoglobin A1 measurement
ANLN,http://www.ebi.ac.uk/efo/EFO_0007986,reticulocyte count
ANLN,http://www.ebi.ac.uk/efo/EFO_0009188,Red cell distribution width
ANLN,http://www.ebi.ac.uk/efo/EFO_0010701,mean reticulocyte volume
ANLN,http://www.ebi.ac.uk/efo/EFO_0021636,Lauric acid
ANLN,http://www.ebi.ac.uk/efo/EFO_0021820,Right ventricular ejection fraction to left ventricular ejection fraction ratio
ANLN,http://www.orpha.net/ORDO/Orphanet_140453,Autosomal dominant hereditary demyelinating motor and sensory neuropathy
ANLN,http://www.orpha.net/ORDO/Orphanet_180250,Rare breast tumor
ANLN,http://www.orpha.net/ORDO/Orphanet_180257,Rare malignant breast tumor
ANLN,http://www.orpha.net/ORDO/Orphanet_183586,Genetic glomerular disease
ANLN,http://www.orpha.net/ORDO/Orphanet_199642,Isolated congenital microcephaly
ANLN,http://www.orpha.net/ORDO/Orphanet_2512,Autosomal recessive primary microcephaly
ANLN,http://www.orpha.net/ORDO/Orphanet_269528,Syndrome with microcephaly as a major feature
ANLN,http://www.orpha.net/ORDO/Orphanet_324761,Microcephalic primordial dwarfism
ANLN,http://www.orpha.net/ORDO/Orphanet_506207,Rare disorder potentially indicated for transplant
ANLN,http://www.orpha.net/ORDO/Orphanet_506213,Rare disorder potentially indicated for kidney transplant
ANLN,http://www.orpha.net/ORDO/Orphanet_519343,Rare ophthalmic disorder with cortical involvement
ANLN,http://www.orpha.net/ORDO/Orphanet_564127,Genetic nephrotic syndrome
ANLN,http://www.orpha.net/ORDO/Orphanet_565779,Rare disorder potentially indicated for transplant or complication after transplantation
ANLN,http://www.orpha.net/ORDO/Orphanet_567564,Nephrotic syndrome without extrarenal manifestations
ANLN,http://www.orpha.net/ORDO/Orphanet_589,Myasthenia gravis
ANLN,http://www.orpha.net/ORDO/Orphanet_656,Hereditary steroid-resistant nephrotic syndrome
ANLN,http://www.orpha.net/ORDO/Orphanet_93440,Slender bone dysplasia
ANLN,http://www.orpha.net/ORDO/Orphanet_93548,Glomerular disease
ANLN,http://www.orpha.net/ORDO/Orphanet_93614,Hematological disorder with renal involvement
