symbol,prot,aspect,go,go_label,go_id
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0006884,cell volume homeostasis,GO_0006884
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0009992,intracellular water homeostasis,GO_0009992
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0015670,carbon dioxide transport,GO_0015670
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0015793,glycerol transmembrane transport,GO_0015793
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0019725,cellular homeostasis,GO_0019725
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0021670,lateral ventricle development,GO_0021670
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0030157,pancreatic juice secretion,GO_0030157
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0030185,nitric oxide transport,GO_0030185
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0030950,establishment or maintenance of actin cytoskeleton polarity,GO_0030950
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0033326,cerebrospinal fluid secretion,GO_0033326
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0034644,cellular response to UV,GO_0034644
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0035377,transepithelial water transport,GO_0035377
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0035378,carbon dioxide transmembrane transport,GO_0035378
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0042476,odontogenesis,GO_0042476
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0043066,negative regulation of apoptotic process,GO_0043066
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0045766,positive regulation of angiogenesis,GO_0045766
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0046878,positive regulation of saliva secretion,GO_0046878
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0048146,positive regulation of fibroblast proliferation,GO_0048146
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0050829,defense response to Gram-negative bacterium,GO_0050829
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0050891,multicellular organismal-level water homeostasis,GO_0050891
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0055085,transmembrane transport,GO_0055085
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0070301,cellular response to hydrogen peroxide,GO_0070301
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071260,cellular response to mechanical stimulus,GO_0071260
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071280,cellular response to copper ion,GO_0071280
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071288,cellular response to mercury ion,GO_0071288
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071300,cellular response to retinoic acid,GO_0071300
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071320,cellular response to cAMP,GO_0071320
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071456,cellular response to hypoxia,GO_0071456
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071472,cellular response to salt stress,GO_0071472
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071474,cellular hyperosmotic response,GO_0071474
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071549,cellular response to dexamethasone stimulus,GO_0071549
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071732,cellular response to nitric oxide,GO_0071732
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0071805,potassium ion transmembrane transport,GO_0071805
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0072220,metanephric descending thin limb development,GO_0072220
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0072230,metanephric proximal straight tubule development,GO_0072230
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0072232,metanephric proximal convoluted tubule segment 2 development,GO_0072232
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0072239,metanephric glomerulus vasculature development,GO_0072239
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0072488,ammonium transmembrane transport,GO_0072488
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0080170,hydrogen peroxide transmembrane transport,GO_0080170
AQP1,http://purl.uniprot.org/uniprot/P29972,BP,http://purl.obolibrary.org/obo/GO_0098655,monoatomic cation transmembrane transport,GO_0098655
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0005634,nucleus,GO_0005634
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0005737,cytoplasm,GO_0005737
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,GO_0005886
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0005903,brush border,GO_0005903
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0009925,basal plasma membrane,GO_0009925
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0016020,membrane,GO_0016020
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0016323,basolateral plasma membrane,GO_0016323
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0016324,apical plasma membrane,GO_0016324
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0030424,axon,GO_0030424
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0031526,brush border membrane,GO_0031526
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0031965,nuclear membrane,GO_0031965
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0042383,sarcolemma,GO_0042383
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0045177,apical part of cell,GO_0045177
AQP1,http://purl.uniprot.org/uniprot/P29972,CC,http://purl.obolibrary.org/obo/GO_0070062,extracellular exosome,GO_0070062
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0005223,intracellularly cGMP-activated cation channel activity,GO_0005223
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0005267,potassium channel activity,GO_0005267
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0005372,water transmembrane transporter activity,GO_0005372
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0005515,protein binding,GO_0005515
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0008519,ammonium channel activity,GO_0008519
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0015079,potassium ion transmembrane transporter activity,GO_0015079
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0015168,glycerol transmembrane transporter activity,GO_0015168
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0015250,water channel activity,GO_0015250
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0015267,channel activity,GO_0015267
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0022857,transmembrane transporter activity,GO_0022857
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0030184,nitric oxide transmembrane transporter activity,GO_0030184
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0035379,carbon dioxide transmembrane transporter activity,GO_0035379
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0042802,identical protein binding,GO_0042802
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0046875,ephrin receptor binding,GO_0046875
AQP1,http://purl.uniprot.org/uniprot/P29972,MF,http://purl.obolibrary.org/obo/GO_0140070,hydrogen peroxide channel activity,GO_0140070
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0000050,urea cycle,GO_0000050
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0002250,adaptive immune response,GO_0002250
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0002376,immune system process,GO_0002376
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0006525,arginine metabolic process,GO_0006525
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0006527,L-arginine catabolic process,GO_0006527
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0042127,regulation of cell population proliferation,GO_0042127
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0042130,negative regulation of T cell proliferation,GO_0042130
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0042832,defense response to protozoan,GO_0042832
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0045087,innate immune response,GO_0045087
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0046007,negative regulation of activated T cell proliferation,GO_0046007
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0060336,negative regulation of type II interferon-mediated signaling pathway,GO_0060336
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_0070965,positive regulation of neutrophil mediated killing of fungus,GO_0070965
ARG1,http://purl.uniprot.org/uniprot/P05089,BP,http://purl.obolibrary.org/obo/GO_2000552,negative regulation of T-helper 2 cell cytokine production,GO_2000552
ARG1,http://purl.uniprot.org/uniprot/P05089,CC,http://purl.obolibrary.org/obo/GO_0005576,extracellular region,GO_0005576
ARG1,http://purl.uniprot.org/uniprot/P05089,CC,http://purl.obolibrary.org/obo/GO_0005615,extracellular space,GO_0005615
ARG1,http://purl.uniprot.org/uniprot/P05089,CC,http://purl.obolibrary.org/obo/GO_0005634,nucleus,GO_0005634
ARG1,http://purl.uniprot.org/uniprot/P05089,CC,http://purl.obolibrary.org/obo/GO_0005737,cytoplasm,GO_0005737
ARG1,http://purl.uniprot.org/uniprot/P05089,CC,http://purl.obolibrary.org/obo/GO_0005829,cytosol,GO_0005829
ARG1,http://purl.uniprot.org/uniprot/P05089,CC,http://purl.obolibrary.org/obo/GO_0035578,azurophil granule lumen,GO_0035578
ARG1,http://purl.uniprot.org/uniprot/P05089,CC,http://purl.obolibrary.org/obo/GO_0035580,specific granule lumen,GO_0035580
ARG1,http://purl.uniprot.org/uniprot/P05089,MF,http://purl.obolibrary.org/obo/GO_0004053,arginase activity,GO_0004053
ARG1,http://purl.uniprot.org/uniprot/P05089,MF,http://purl.obolibrary.org/obo/GO_0005515,protein binding,GO_0005515
ARG1,http://purl.uniprot.org/uniprot/P05089,MF,http://purl.obolibrary.org/obo/GO_0016787,hydrolase activity,GO_0016787
ARG1,http://purl.uniprot.org/uniprot/P05089,MF,http://purl.obolibrary.org/obo/GO_0016813,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines",GO_0016813
ARG1,http://purl.uniprot.org/uniprot/P05089,MF,http://purl.obolibrary.org/obo/GO_0046872,metal ion binding,GO_0046872
ARHGAP15,http://purl.uniprot.org/uniprot/Q53QZ3,BP,http://purl.obolibrary.org/obo/GO_0007165,signal transduction,GO_0007165
ARHGAP15,http://purl.uniprot.org/uniprot/Q53QZ3,BP,http://purl.obolibrary.org/obo/GO_0051056,regulation of small GTPase mediated signal transduction,GO_0051056
ARHGAP15,http://purl.uniprot.org/uniprot/Q53QZ3,CC,http://purl.obolibrary.org/obo/GO_0005737,cytoplasm,GO_0005737
ARHGAP15,http://purl.uniprot.org/uniprot/Q53QZ3,CC,http://purl.obolibrary.org/obo/GO_0005829,cytosol,GO_0005829
ARHGAP15,http://purl.uniprot.org/uniprot/Q53QZ3,CC,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,GO_0005886
ARHGAP15,http://purl.uniprot.org/uniprot/Q53QZ3,CC,http://purl.obolibrary.org/obo/GO_0016020,membrane,GO_0016020
ARHGAP15,http://purl.uniprot.org/uniprot/Q53QZ3,MF,http://purl.obolibrary.org/obo/GO_0005096,GTPase activator activity,GO_0005096
ARHGAP15,http://purl.uniprot.org/uniprot/Q53QZ3,MF,http://purl.obolibrary.org/obo/GO_0005515,protein binding,GO_0005515
ASPH,http://purl.uniprot.org/uniprot/Q12797,BP,http://purl.obolibrary.org/obo/GO_0006936,muscle contraction,GO_0006936
ASPH,http://purl.uniprot.org/uniprot/Q12797,BP,http://purl.obolibrary.org/obo/GO_0031647,regulation of protein stability,GO_0031647
ASPH,http://purl.uniprot.org/uniprot/Q12797,BP,http://purl.obolibrary.org/obo/GO_0045862,positive regulation of proteolysis,GO_0045862
ASPH,http://purl.uniprot.org/uniprot/Q12797,BP,http://purl.obolibrary.org/obo/GO_1901879,regulation of protein depolymerization,GO_1901879
ASPH,http://purl.uniprot.org/uniprot/Q12797,CC,http://purl.obolibrary.org/obo/GO_0005737,cytoplasm,GO_0005737
ASPH,http://purl.uniprot.org/uniprot/Q12797,CC,http://purl.obolibrary.org/obo/GO_0005783,endoplasmic reticulum,GO_0005783
ASPH,http://purl.uniprot.org/uniprot/Q12797,CC,http://purl.obolibrary.org/obo/GO_0005789,endoplasmic reticulum membrane,GO_0005789
ASPH,http://purl.uniprot.org/uniprot/Q12797,CC,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,GO_0005886
ASPH,http://purl.uniprot.org/uniprot/Q12797,CC,http://purl.obolibrary.org/obo/GO_0016020,membrane,GO_0016020
ASPH,http://purl.uniprot.org/uniprot/Q12797,CC,http://purl.obolibrary.org/obo/GO_0032541,cortical endoplasmic reticulum,GO_0032541
ASPH,http://purl.uniprot.org/uniprot/Q12797,CC,http://purl.obolibrary.org/obo/GO_0033017,sarcoplasmic reticulum membrane,GO_0033017
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0005198,structural molecule activity,GO_0005198
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0005509,calcium ion binding,GO_0005509
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0005515,protein binding,GO_0005515
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0008307,structural constituent of muscle,GO_0008307
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0009055,electron transfer activity,GO_0009055
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0016491,oxidoreductase activity,GO_0016491
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0046872,metal ion binding,GO_0046872
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0051213,dioxygenase activity,GO_0051213
ASPH,http://purl.uniprot.org/uniprot/Q12797,MF,http://purl.obolibrary.org/obo/GO_0062101,peptidyl-aspartic acid 3-dioxygenase activity,GO_0062101
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_0006811,monoatomic ion transport,GO_0006811
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_0006816,calcium ion transport,GO_0006816
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_0006874,intracellular calcium ion homeostasis,GO_0006874
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_0034220,monoatomic ion transmembrane transport,GO_0034220
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,GO_0070059
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_0070588,calcium ion transmembrane transport,GO_0070588
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_0150104,transport across blood-brain barrier,GO_0150104
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_1903515,calcium ion transport from cytosol to endoplasmic reticulum,GO_1903515
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,BP,http://purl.obolibrary.org/obo/GO_1903779,regulation of cardiac conduction,GO_1903779
ATP2A3,http://purl.uniprot.org/uniprot/Q93084,CC,http://purl.obolibrary.org/obo/GO_0005783,endoplasmic reticulum,GO_0005783
