trait,trait_label,k,K,expected,fold,p,fdr,family
http://www.orpha.net/ORDO/Orphanet_183557,Genetic developmental defect of the eye,18,1424,10.89,1.65,0.02468730481923918,0.04373179710836655,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_522572,Rare genetic retinal disorder,14,1023,7.82,1.79,0.02549250290891607,0.0439037550097999,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_519315,Rare retinal disorder,14,1031,7.88,1.78,0.02700358807716838,0.04429117050323516,digcfdekg trait (broad/GWAS-style)
http://purl.obolibrary.org/obo/MONDO_0001703,color vision disorder,17,1336,10.22,1.66,0.02714620127617639,0.04429117050323516,digcfdekg trait (broad/GWAS-style)
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f6dc687b1cb06ce3b517,PS retinal layer thickness,11,752,5.75,1.91,0.03003936997015173,0.04750077079257663,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_519311,Rare disorder of the posterior segment of the eye,14,1049,8.02,1.75,0.03064565857585589,0.04750077079257663,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_71862,Inherited retinal disorder,13,957,7.32,1.78,0.032408819595672426,0.04900845890077294,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_519284,Rare disorder of the anterior segment of the eye,15,1166,8.92,1.68,0.0339887623007676,0.05017388720589503,digcfdekg trait (broad/GWAS-style)
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e400916c9394f952ebfe,Primary open-angle glaucoma,14,1077,8.24,1.7,0.037011029088506016,0.053364739615985424,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_522570,Rare genetic disorder of the posterior segment of the eye,14,1095,8.37,1.67,0.04157736706577959,0.05858628995632578,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_98553,Developmental defect of the eye,17,1421,10.87,1.56,0.04462019578655226,0.06147671419480534,digcfdekg trait (broad/GWAS-style)
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a55fbbd2f871eea292d,rare v2,34,3442,26.32,1.29,0.0662381391875168,0.0892774919483922,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_522538,Rare genetic disorder of the anterior segment of the eye,14,1184,9.05,1.55,0.07011888909340834,0.09249725795300676,digcfdekg trait (broad/GWAS-style)
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ae99105b1d5880597eb7,CT visual scoring; wall thickening,9,674,5.15,1.75,0.07460882168683011,0.09636972801215556,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_183763,Rare genetic syndromic intellectual disability,24,2377,18.18,1.32,0.09531051355457335,0.1205969763343581,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_102369,Rare syndromic intellectual disability,24,2391,18.28,1.31,0.10011129880732572,0.1241380105210839,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_93890,Rare developmental defect during embryogenesis,26,2662,20.35,1.28,0.11300581857891241,0.13737962258612882,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_87277,Rare intellectual disability,25,2596,19.85,1.26,0.13319975968444492,0.15798469907403648,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_519329,Rare disorder involving multiple structures of the eye,8,661,5.05,1.58,0.13505143630522473,0.15798469907403648,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_183757,Rare genetic intellectual disability,24,2591,19.81,1.21,0.18575670137344308,0.21327621268802724,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_183530,Rare genetic developmental defect during embryogenesis,23,2547,19.47,1.18,0.22762075473960658,0.25659066897919286,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_98567,Rare eyelid malposition disorder,9,906,6.93,1.3,0.25794642792443234,0.28544517134648073,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_519325,Syndromic inherited retinal disorder,9,912,6.97,1.29,0.263990412208691,0.28544517134648073,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_522528,Rare genetic eyelid malposition disorder,9,915,7.0,1.29,0.26702935384025617,0.28544517134648073,digcfdekg trait (broad/GWAS-style)
http://purl.obolibrary.org/obo/MONDO_0005150,Age-related macular degeneration (AMD),10,1041,7.96,1.26,0.2746487163055073,0.28861390527019415,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_522524,Rare genetic disorder of the ocular adnexa,10,1068,8.17,1.22,0.30103900055334465,0.3110162682959362,digcfdekg trait (broad/GWAS-style)
http://www.orpha.net/ORDO/Orphanet_519266,Rare disorder of the ocular adnexa,10,1073,8.2,1.22,0.30599987687180824,0.3110162682959362,digcfdekg trait (broad/GWAS-style)
http://purl.obolibrary.org/obo/MONDO_0005266,Diabetic retinopathy,10,1125,8.6,1.16,0.3586480756124592,0.3586480756124592,digcfdekg trait (broad/GWAS-style)
