symbol,taxonomy,gene,log2fc,adj_p,osd
Atp5a1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/11946,-0.157009,0.036621,OSD-255
Atp10a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/11982,0.621435,0.0410029,OSD-255
Slc7a1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/11987,-0.412868,0.00185102,OSD-255
Bnip3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12176,0.359738,0.00713367,OSD-255
Commd3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12238,0.218048,0.0361876,OSD-255
Car8,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12319,-0.370207,7.37935e-07,OSD-255
Camk2a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12322,-0.282287,0.026103,OSD-255
Casp7,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12369,-0.513338,0.00718846,OSD-255
Ctnna1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12385,0.2242,0.00532039,OSD-255
Cdh4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12561,-0.268826,0.0245149,OSD-255
Cdr2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12585,-0.20171,0.040037,OSD-255
Ckmt1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12716,0.232695,0.0439178,OSD-255
Clcn3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12725,0.227154,0.0099104,OSD-255
Col19a1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12823,-0.708092,0.00170699,OSD-255
Col4a2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12827,-0.337,0.0140368,OSD-255
Cys1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12879,0.50871,0.00532953,OSD-255
Cpt1a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12894,-0.480525,1.82706e-07,OSD-255
Crym,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12971,-0.40003,0.0491045,OSD-255
Cst3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13010,-0.285595,0.000860818,OSD-255
Dclk1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13175,-0.29717,0.0296123,OSD-255
Dio2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13371,-0.674203,0.0052147,OSD-255
Dlg1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13383,0.208184,0.0486969,OSD-255
Doc2b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13447,-0.315452,7.00564e-06,OSD-255
Drd4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13491,0.800694,3.1775e-58,OSD-255
Mapre1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13589,0.272368,0.0103319,OSD-255
Eef2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13629,0.140465,0.00350877,OSD-255
Eif4g2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13690,-0.177884,0.0245149,OSD-255
Khdrbs3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/13992,0.203156,0.0323506,OSD-255
Fasn,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14104,-0.290617,0.0177648,OSD-255
Fgf13,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14168,0.311853,0.026103,OSD-255
Gnaz,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14687,0.318878,0.000273376,OSD-255
Pdia3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14827,0.212127,0.026103,OSD-255
Hspa5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14828,0.342938,0.000150969,OSD-255
Guca1a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14913,-0.223351,0.0174998,OSD-255
Hcls1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15163,-0.448627,0.026103,OSD-255
Hcn1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15165,-0.319629,1.32745e-05,OSD-255
Hdac5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15184,-0.227789,0.0207096,OSD-255
Hdc,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15186,-0.423397,0.000367707,OSD-255
Hk2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15277,0.280133,0.00674444,OSD-255
Hmgb3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15354,-0.499437,0.00173202,OSD-255
Hnrnpa1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15382,-0.203309,0.0283393,OSD-255
Hspa8,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15481,0.369984,0.000104884,OSD-255
Hsp90aa1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15519,0.270404,0.0237417,OSD-255
Ide,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15925,0.400035,8.61517e-08,OSD-255
Jchain,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/16069,-0.50867,0.0474364,OSD-255
Ipw,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/16353,0.248012,0.00713367,OSD-255
Kif1b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/16561,-0.370307,0.00249604,OSD-255
Mfn2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/170731,-0.140989,0.0431987,OSD-255
Arr3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/170735,-0.300777,0.000518182,OSD-255
Glmn,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/170823,-0.68253,4.1072e-14,OSD-255
Slc3a2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/17254,-0.195218,0.0162655,OSD-255
Pias2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/17344,0.203024,0.0168167,OSD-255
Sik1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/17691,-0.553086,0.02426,OSD-255
