symbol,taxonomy,gene,log2fc,adj_p,osd
Zfp563,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/240068,0.299054,0.0393325,OSD-255
Slco5a1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/240726,-0.316041,0.0324656,OSD-255
Lsm14b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/241846,-0.242955,0.0209908,OSD-255
Slc1a7,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/242607,0.177058,0.0472956,OSD-255
Hspb6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/243912,-0.248485,0.0133245,OSD-255
Mtss2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/244654,-0.22166,0.00479518,OSD-255
Sprtn,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/244666,-0.379956,0.0440323,OSD-255
Slitrk2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/245450,-0.241053,0.0451708,OSD-255
Pcmtd2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/245867,-0.332177,2.38669e-12,OSD-255
Nphp4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/260305,0.448772,0.00748706,OSD-255
Ncdn,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/26562,-0.19371,0.0133245,OSD-255
Frmpd2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/268729,0.385814,3.13851e-05,OSD-255
Snord32a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/27209,0.623667,0.0355846,OSD-255
Cartpt,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/27220,-0.333865,0.000125157,OSD-255
Plekhb1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/27276,0.281482,0.00336415,OSD-255
Abca7,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/27403,0.310216,0.00687983,OSD-255
Prpf19,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/28000,-0.240397,0.00532039,OSD-255
Cabp5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/29865,0.287419,0.00173005,OSD-255
H3c10,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/319152,1.40473,0.0172974,OSD-255
H2ac6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/319164,0.42944,0.0324303,OSD-255
H2bc6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/319179,0.486581,0.000271176,OSD-255
Dusp4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/319520,-0.367025,0.0245149,OSD-255
Cacna2d4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/319734,0.167169,0.0212527,OSD-255
A930006I01Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/319854,0.226726,0.037889,OSD-255
C430042M11Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/320021,0.492977,0.0251141,OSD-255
A330076H08Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/320026,0.41142,0.0251141,OSD-255
Pik3r5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/320207,0.574816,0.0141927,OSD-255
A430035B10Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/320312,0.421684,0.00249604,OSD-255
Strip2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/320609,-0.316586,0.00170699,OSD-255
A930033H14Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/320700,0.329277,0.0133245,OSD-255
A330023F24Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/320977,0.278645,0.0273486,OSD-255
Pitpnm3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/327958,0.474974,5.59142e-10,OSD-255
A930003O13Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/330052,0.352119,0.0254006,OSD-255
Kctd10,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/330171,-0.297061,0.0202489,OSD-255
Rnf150,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/330812,0.144438,0.0371255,OSD-255
Tceal5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/331532,-0.213236,0.0212527,OSD-255
Bend3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/331623,-0.576203,0.00687983,OSD-255
Gars,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/353172,-0.267157,7.00564e-06,OSD-255
Vgf,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/381677,-0.844541,2.15926e-11,OSD-255
Cpsf6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/432508,0.182502,0.027469,OSD-255
Adcy1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/432530,-0.432955,2.21319e-07,OSD-255
Zscan26,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/432731,0.164338,0.0133245,OSD-255
Lrrc8b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/433926,-0.16052,0.0248661,OSD-255
Acd,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/497652,-0.267912,0.0136538,OSD-255
Dkk3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/50781,-0.22985,0.011274,OSD-255
Hnrnpdl,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/50926,-0.331926,4.20787e-05,OSD-255
Slc7a8,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/50934,-0.364644,0.0473818,OSD-255
Uba2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/50995,-0.247892,0.0136538,OSD-255
Cdk2ap2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/52004,0.305303,0.0137128,OSD-255
Wwc2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/52357,0.123514,0.0286738,OSD-255
Ahi1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/52906,0.223324,0.0110305,OSD-255
Hpcal1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/53602,-0.396585,5.49857e-08,OSD-255
Irf7,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/54123,1.41962,7.21893e-19,OSD-255
Gramd2a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/546134,0.257863,0.021902,OSD-255
Ddx21,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/56200,-0.252723,0.0355846,OSD-255
Pals1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/56217,0.22012,0.0432703,OSD-255
Higd1a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/56295,0.243028,0.0299233,OSD-255
Pfkp,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/56421,0.357328,0.0217174,OSD-255
Clip1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/56430,0.187018,0.0114905,OSD-255
Dnajb2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/56812,0.327562,5.0877e-07,OSD-255
Cxcl14,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/57266,-0.399132,4.51988e-07,OSD-255
Wdr46,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/57315,-0.381324,0.0364969,OSD-255
Jph1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/57339,-0.69599,0.0328448,OSD-255
Noc2l,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/57741,-0.23982,0.0245332,OSD-255
Rgs20,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/58175,-0.483658,5.24708e-08,OSD-255
Rrs1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/59014,-0.282151,0.0342856,OSD-255
Rcl1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/59028,-0.429872,0.0337582,OSD-255
Pcbp3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/59093,-0.152539,0.0136538,OSD-255
Tnfsfm13,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/619441,-0.644816,3.34539e-06,OSD-255
Rad54b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/623474,0.792745,9.03728e-09,OSD-255
Gpr88,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/64378,-0.715582,0.0133245,OSD-255
Arl6ip6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/65103,0.309033,0.0340948,OSD-255
Ethe1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66071,0.419574,0.0224393,OSD-255
Eif3f,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66085,0.161861,0.00228831,OSD-255
Grina,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66168,-0.21236,0.000124165,OSD-255
Cox14,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66379,0.327006,0.0147405,OSD-255
Rnf113a2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66381,0.298421,0.0162137,OSD-255
Pcp4l1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66425,0.338853,0.000112531,OSD-255
Rnf181,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66510,0.234818,0.00224855,OSD-255
Asrgl1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66514,-0.218362,0.0452102,OSD-255
Uqcrh,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66576,0.248341,0.00210644,OSD-255
Frmpd1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/666060,0.288635,0.000154441,OSD-255
Pnisr,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66625,0.264423,0.0152406,OSD-255
Asf1b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66929,1.03149,0.0118769,OSD-255
Bfar,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/67118,0.668825,0.027626,OSD-255
Slc25a19,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/67283,0.39174,0.000374698,OSD-255
Ankrd33b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/67434,-0.396726,2.66274e-08,OSD-255
Spata6,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/67946,0.524117,0.0259123,OSD-255
H2bc4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/68024,0.507524,4.56476e-12,OSD-255
Vps53,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/68299,-0.198899,0.0151967,OSD-255
Btbd10,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/68815,0.22167,0.0228587,OSD-255
Zdhhc3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69035,-0.233822,0.0174998,OSD-255
Dyrk2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69181,-0.353913,0.0209908,OSD-255
Pdzph1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69239,-0.843249,4.76444e-22,OSD-255
Pacrg,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69310,0.347416,0.0092536,OSD-255
Prss56,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69453,-0.945129,4.10012e-05,OSD-255
Mapk1ip1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69546,0.314821,2.52829e-05,OSD-255
Wdr20,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69641,0.231936,0.0099104,OSD-255
Rpain,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69723,0.466725,0.0212595,OSD-255
Dpf3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/70127,-0.278096,0.00163043,OSD-255
Fam162a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/70186,0.278833,0.0452102,OSD-255
St13,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/70356,0.304975,0.00248505,OSD-255
Mir124-2hg,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/70441,0.21539,7.72547e-05,OSD-255
Arid5b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/71371,-0.258954,0.00715903,OSD-255
Cdcp3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/71395,-0.698908,1.08183e-09,OSD-255
Klhdc3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/71765,-0.20105,0.00674444,OSD-255
Isyna1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/71780,-0.327209,0.0133245,OSD-255
2610008E11Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/72128,0.212351,0.0131278,OSD-255
Wdr89,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/72338,-0.57124,0.00407204,OSD-255
Taf4b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/72504,-0.43538,0.0279339,OSD-255
Fgfbp3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/72514,0.703603,0.000756746,OSD-255
Skida1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/72668,-0.244127,0.00687983,OSD-255
Ppp2r2b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/72930,-0.417235,0.000655325,OSD-255
3110056K07Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/73204,0.346084,0.026103,OSD-255
Nptxr,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/73340,-0.219872,0.000473114,OSD-255
1700001O22Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/73598,-0.64822,0.0125198,OSD-255
Psd,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/73728,-0.219857,0.0358581,OSD-255
Fam110a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/73847,0.453837,0.00362423,OSD-255
Grip1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/74053,-0.176385,0.0168167,OSD-255
Lrrc2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/74249,0.38837,0.0387618,OSD-255
Manf,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/74840,0.338508,0.00885513,OSD-255
Usp47,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/74996,-0.138542,0.00748706,OSD-255
Cfap210,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/75051,0.292311,0.0056333,OSD-255
Fabp12,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/75497,0.352318,4.7912e-05,OSD-255
Wnk2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/75607,-0.154288,0.0472336,OSD-255
Ipo4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/75751,-0.351333,0.021902,OSD-255
Rab30,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/75985,-0.287673,0.00479518,OSD-255
Arhgap15,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/76117,0.938961,0.026103,OSD-255
Med13l,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/76199,-0.489104,3.05194e-10,OSD-255
Cfap70,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/76670,1.12683,0.00569577,OSD-255
Creld2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/76737,0.384439,0.025476,OSD-255
H2az2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/77605,0.309369,0.00291516,OSD-255
Snapc3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/77634,0.273348,0.0253525,OSD-255
A930031H19Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/77835,-2.06379,1.3962e-09,OSD-255
Phf23,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/78246,0.250924,0.0156276,OSD-255
Pigt,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/78928,-0.194253,0.000487077,OSD-255
Hdac9,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/79221,-0.284973,2.8424e-06,OSD-255
Slc16a3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/80879,0.309054,0.000518182,OSD-255
Rnf123,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/84585,-0.262691,0.00433459,OSD-255
Csmd1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/94109,-0.476996,0.0054286,OSD-255
Slc4a10,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/94229,0.271147,0.0121272,OSD-255
Stk17b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/98267,0.387195,0.0461323,OSD-255
Ehd4,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/98878,-0.423795,0.0042844,OSD-255
Magi3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/99470,0.220147,0.0361876,OSD-255
