disease,hp,hp_label,disease_label
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000365,Hearing impairment,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000407,Sensorineural hearing impairment,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000478,Abnormality of the eye,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000479,Abnormal retinal morphology,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000483,Astigmatism,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000486,Strabismus,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000488,Retinopathy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000496,Abnormality of eye movement,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000501,Glaucoma,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000505,Visual impairment,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000508,Ptosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000510,Rod-cone dystrophy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000518,Cataract,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000529,Progressive visual loss,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000540,Hypermetropia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000541,Retinal detachment,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000543,Optic disc pallor,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000544,External ophthalmoplegia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000545,Myopia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000546,Retinal degeneration,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000554,Uveitis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000556,Retinal dystrophy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000565,Esotropia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000572,Visual loss,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000575,Scotoma,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000577,Exotropia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000580,Pigmentary retinopathy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000590,Progressive external ophthalmoplegia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000602,Ophthalmoplegia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000603,Central scotoma,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000608,Macular degeneration,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000609,Optic nerve hypoplasia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000613,Photophobia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000618,Blindness,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000622,Blurred vision,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000635,Blue irides,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000639,Nystagmus,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000646,Amblyopia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000648,Optic atrophy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000651,Diplopia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000662,Nyctalopia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000666,Horizontal nystagmus,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000712,Emotional lability,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000717,Autism,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000720,Mood swings,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000722,Obsessive-compulsive behavior,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000726,Dementia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000729,Autistic behavior,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000739,Anxiety,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000750,Delayed speech and language development,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000759,Abnormal peripheral nervous system morphology,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000767,Pectus excavatum,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000787,Nephrolithiasis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000790,Hematuria,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000817,Poor eye contact,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000818,Abnormality of the endocrine system,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000821,Hypothyroidism,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000824,Decreased response to growth hormone stimulation test,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000836,Hyperthyroidism,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000846,Adrenal insufficiency,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000863,Central diabetes insipidus,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000938,Osteopenia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000939,Osteoporosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000961,Cyanosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000975,Hyperhidrosis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000980,Pallor,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0000992,Cutaneous photosensitivity,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001009,Telangiectasia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001057,Aplasia cutis congenita,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001065,Striae distensae,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001085,Papilledema,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001097,Keratoconjunctivitis sicca,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001105,Retinal atrophy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001112,Leber optic atrophy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001123,Visual field defect,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001133,Constriction of peripheral visual field,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001138,Optic neuropathy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001141,Severely reduced visual acuity,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001217,Clubbing,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001249,Intellectual disability,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001250,Seizure,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001251,Ataxia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001252,Hypotonia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001257,Spasticity,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001260,Dysarthria,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001263,Global developmental delay,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001268,Mental deterioration,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001269,Hemiparesis,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001270,Motor delay,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001271,Polyneuropathy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001272,Cerebellar atrophy,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001274,Agenesis of corpus callosum,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001276,Hypertonia,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001288,Gait disturbance,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001297,Stroke,Leber hereditary optic neuropathy
http://purl.obolibrary.org/obo/MONDO_0010788,http://purl.obolibrary.org/obo/HP_0001298,Encephalopathy,Leber hereditary optic neuropathy
