assay,symbol,taxonomy,gene,log2fc,adj_p,osd
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Hspa5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14828,-1.24659,0.00110185,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Fos,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14281,-1.03118,0.00378569,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Map3k15,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/270672,1.4168,0.00719398,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Calr,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12317,-1.04939,9.04535e-07,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,H4c8,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69386,-1.22609,0.00590474,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Aox3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/71724,1.07591,2.29728e-07,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Sult1a1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20887,1.0075,4.67677e-07,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Oprm1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/18390,-1.45074,0.026314,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Esrp1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/207920,1.44821,0.0411287,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Ptgs2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19225,-1.33324,0.0366529,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Il13ra2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/16165,1.00903,0.00979515,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Rbm3|Rbm3-ps,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/19652,2.00523,5.43851e-13,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Rdh9,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/103142,1.85814,0.00010379,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,H4c17,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100041230,-1.86174,0.00302542,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Spata24,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/71242,1.02447,0.000185891,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,A330076C08Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100503592,-1.19535,1.5375e-08,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,5330429C05Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/78071,2.84857,1.78031e-05,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Wee2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/381759,-1.59148,0.00127342,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Cirbp,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12696,1.67306,6.94344e-12,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Pm20d1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/212933,1.20532,0.000871485,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Dnah14,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/240960,1.64977,0.00312097,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Hspa1b,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/15511,-2.62511,0.000267264,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Gm15462,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/108168861,1.81562,0.0174068,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Snord13|Gm57763,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100217422,-1.65145,0.0403881,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Manf,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/74840,-1.0753,0.000534396,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Nxpe2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/78252,1.05588,0.0317684,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Tktl2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/74419,2.26195,0.00850636,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Cryab,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12955,-1.04154,1.04666e-11,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Stbd1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/52331,-1.37128,0.0109945,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Ucp2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/22228,1.06079,0.00547255,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Ccdc192,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/75444,1.09513,0.0118003,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Tm6sf2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/107770,-1.48308,0.0359615,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Glb1l2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/244757,1.23102,0.000185891,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Gja5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/14613,-1.00246,0.00827317,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Gm31616,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/102633901,1.81957,0.049683,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Btc,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12223,-1.19052,0.00270064,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Olfr859,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/258519,3.95375,0.0118671,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Crh,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/12918,-1.36639,0.0409708,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Zglp1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100009600,-2.63923,0.0300658,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Gm32389,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/102634919,1.14582,0.0339623,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Tmem220,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/338369,1.54188,1.08699e-05,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Parpbp,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/75317,1.88745,0.0070178,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Dmrtc1a,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/70887,1.36508,3.27761e-05,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Chst9,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/71367,1.55881,3.02295e-10,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Henmt1,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66715,1.12814,0.00635397,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Slc22a2,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/20518,1.15779,0.0471941,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Gm13304,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/100504346,1.6283,4.67677e-07,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,4921507G05Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/66709,-1.62362,0.0494315,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Mir9-3hg,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/101694,1.12215,1.97082e-09,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,A230009B12Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/319750,-1.2185,4.18967e-05,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Slc26a8,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/224661,1.08733,0.0283514,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Glod5,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/69824,1.79492,0.0137771,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,Hsf3,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/245525,1.4394,0.00104241,OSD-525
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-525-06da2a92957b8396556fb0af4aec6537,A330033J07Rik,http://purl.obolibrary.org/obo/NCBITaxon_10090,http://www.ncbi.nlm.nih.gov/gene/320614,1.52991,5.01897e-08,OSD-525
