osd,symbol,entrez,log2fc,adj_p,tissue,system,species,dir,strict
OSD-525,Chst9,71367,1.55881,3.02295e-10,cerebellum,CNS,mouse,UP,True
OSD-525,Henmt1,66715,1.12814,0.00635397,cerebellum,CNS,mouse,UP,True
OSD-525,Slc22a2,20518,1.15779,0.0471941,cerebellum,CNS,mouse,UP,True
OSD-525,Gm13304,100504346,1.6283,4.67677e-07,cerebellum,CNS,mouse,UP,True
OSD-525,4921507G05Rik,66709,-1.62362,0.0494315,cerebellum,CNS,mouse,DOWN,True
OSD-525,Mir9-3hg,101694,1.12215,1.97082e-09,cerebellum,CNS,mouse,UP,True
OSD-525,A230009B12Rik,319750,-1.2185,4.18967e-05,cerebellum,CNS,mouse,DOWN,True
OSD-525,Slc26a8,224661,1.08733,0.0283514,cerebellum,CNS,mouse,UP,True
OSD-525,Glod5,69824,1.79492,0.0137771,cerebellum,CNS,mouse,UP,True
OSD-525,Hsf3,245525,1.4394,0.00104241,cerebellum,CNS,mouse,UP,True
OSD-525,A330033J07Rik,320614,1.52991,5.01897e-08,cerebellum,CNS,mouse,UP,True
OSD-525,Kap,16483,-18.4497,2.51334e-07,cerebellum,CNS,mouse,DOWN,True
OSD-525,Itgad,381924,1.73182,0.00112624,cerebellum,CNS,mouse,UP,True
OSD-525,Gdpd4,233537,-1.36639,0.0135246,cerebellum,CNS,mouse,DOWN,True
OSD-525,Chat,12647,4.55395,0.0317835,cerebellum,CNS,mouse,UP,True
OSD-525,Tgtp2,100039796,-1.19382,0.00337742,cerebellum,CNS,mouse,DOWN,True
OSD-525,Cltrn,57394,1.62373,0.0359615,cerebellum,CNS,mouse,UP,True
OSD-525,Bfsp2,107993,-1.46298,0.000175496,cerebellum,CNS,mouse,DOWN,True
OSD-525,Ctla2b,13025,-1.07349,0.0164119,cerebellum,CNS,mouse,DOWN,True
OSD-525,1700102P08Rik,112418,-1.61448,0.000221166,cerebellum,CNS,mouse,DOWN,True
OSD-525,Gm19705,100503460,1.14884,0.0125092,cerebellum,CNS,mouse,UP,True
OSD-525,2700054A10Rik,72578,1.11892,5.01897e-08,cerebellum,CNS,mouse,UP,True
OSD-525,A3galt2,215493,-2.41624,2.11929e-06,cerebellum,CNS,mouse,DOWN,True
OSD-525,Garin2,70897,-1.62248,0.01032,cerebellum,CNS,mouse,DOWN,True
OSD-525,Elmo3,234683,1.15932,0.0070178,cerebellum,CNS,mouse,UP,True
OSD-525,Hspb1,15507,-1.40243,0.000823005,cerebellum,CNS,mouse,DOWN,True
OSD-525,Cd180,17079,1.2852,0.0153241,cerebellum,CNS,mouse,UP,True
OSD-525,Cst7,13011,-1.97464,0.0301289,cerebellum,CNS,mouse,DOWN,True
OSD-525,Ascl1,17172,1.26778,7.13011e-05,cerebellum,CNS,mouse,UP,True
OSD-525,Cxcr6,80901,-2.51046,0.0389015,cerebellum,CNS,mouse,DOWN,True
OSD-525,Kif22,110033,1.37089,0.00652663,cerebellum,CNS,mouse,UP,True
OSD-525,Hspa1a,193740,-1.36417,0.0150473,cerebellum,CNS,mouse,DOWN,True
OSD-525,Noxred1,71275,-1.16676,0.000534396,cerebellum,CNS,mouse,DOWN,True
OSD-525,Ahsa2,268390,-1.13997,2.51334e-07,cerebellum,CNS,mouse,DOWN,True
OSD-525,Opn3,13603,-1.28521,6.06088e-17,cerebellum,CNS,mouse,DOWN,True
OSD-525,Gm15510,102640192,1.20144,1.86348e-07,cerebellum,CNS,mouse,UP,True
OSD-525,Cd300lb,217304,-1.9744,0.000836979,cerebellum,CNS,mouse,DOWN,True
OSD-525,H3c14,15077,-1.05277,1.67649e-05,cerebellum,CNS,mouse,DOWN,True
OSD-525,Igfn1,226438,2.13564,0.0033062,cerebellum,CNS,mouse,UP,True
OSD-525,Ms4a4b,60361,-2.44922,0.0126525,cerebellum,CNS,mouse,DOWN,True
OSD-525,Gm16062,100504104,-1.5555,9.89916e-14,cerebellum,CNS,mouse,DOWN,True
OSD-525,Mall,228576,-1.00173,0.0430096,cerebellum,CNS,mouse,DOWN,True
OSD-525,Lrriq1,74978,1.53577,0.00228326,cerebellum,CNS,mouse,UP,True
OSD-525,Slc16a8,57274,3.24738,0.028279,cerebellum,CNS,mouse,UP,True
OSD-525,0610040F04Rik,75394,1.05697,0.0484083,cerebellum,CNS,mouse,UP,True
OSD-525,Tssk5,73542,1.07069,0.00456721,cerebellum,CNS,mouse,UP,True
OSD-525,Gabrr2,14409,1.18747,0.0201235,cerebellum,CNS,mouse,UP,True
OSD-525,Thbs3,21827,1.21746,0.00299135,cerebellum,CNS,mouse,UP,True
OSD-525,Fcrls,80891,-1.08588,4.37493e-06,cerebellum,CNS,mouse,DOWN,True
OSD-525,Aoc2,237940,-1.4381,0.00417557,cerebellum,CNS,mouse,DOWN,True
OSD-525,Or8b53,258783,2.05119,0.000715333,cerebellum,CNS,mouse,UP,True
