symbol,disease,disease_label,drug,drug_label
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB00981,Physostigmine
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB01144,Diclofenamide
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB01214,Metipranolol
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB11396,Dichlorophen
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,https://rdaccelerate.org/resource/CTDRUG_balanced_salt_solution_bss,Balanced Salt Solution Bss
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,https://rdaccelerate.org/resource/CTDRUG_pilocarpine_1_,Pilocarpine 1%
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,https://rdaccelerate.org/resource/CTDRUG_travoprost_0_004_travatan_,Travoprost 0.004% (travatan)
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,https://rdaccelerate.org/resource/CTDRUG_triesence,Triesence
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5a7f85d2e701f7db,microphthalmia,,
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_8624ab522894000a,isolated microphthalmia,,
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_ca2ff8f36bf786a8,myopia,https://rdaccelerate.org/resource/CTDRUG_alleance_,Alleance®
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_ca2ff8f36bf786a8,myopia,https://rdaccelerate.org/resource/CTDRUG_atropine_ophthalmic,Atropine Ophthalmic
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_ca2ff8f36bf786a8,myopia,https://rdaccelerate.org/resource/CTDRUG_atropine,Atropine
PRSS56,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_ca2ff8f36bf786a8,myopia,https://rdaccelerate.org/resource/CTDRUG_treatment_with_brimonidine_eye_drops_0_025_,Treatment With Brimonidine Eye Drops 0.025%
RLBP1,http://purl.obolibrary.org/obo/MONDO_0011838,Bothnia retinal dystrophy,,
RLBP1,http://purl.obolibrary.org/obo/MONDO_0018877,retinitis punctata albescens,,
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5b1ba1ca23a17b99,macular degeneration,http://identifiers.org/drugbank/DB00112,Bevacizumab
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5b1ba1ca23a17b99,macular degeneration,http://identifiers.org/drugbank/DB00137,Lutein
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5b1ba1ca23a17b99,macular degeneration,http://identifiers.org/drugbank/DB00460,Verteporfin
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5b1ba1ca23a17b99,macular degeneration,http://identifiers.org/drugbank/DB01270,Ranibizumab
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5b1ba1ca23a17b99,macular degeneration,http://identifiers.org/drugbank/DB04895,Pegaptanib
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5b1ba1ca23a17b99,macular degeneration,http://identifiers.org/drugbank/DB05288,Anecortave acetate
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5b1ba1ca23a17b99,macular degeneration,http://identifiers.org/drugbank/DB08885,Aflibercept
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_5b1ba1ca23a17b99,macular degeneration,http://identifiers.org/drugbank/DB14864,Brolucizumab
RLBP1,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_c0f02cd08e75ece4,retinitis pigmentosa,,
