interest,interestLabel,interestClass,nFacilities
Icis-Npdesminor,ICIS-NPDES MINOR,PermitInterest,12
Ethanolfacility-Gasolineanddieselproducers,ETHANOL FACILITY/GASOLINE AND DIESEL PRODUCERS,AirProgram,12
Superfundnpl,SUPERFUND NPL,RemediationRedevelopmentProgram,11
Superfundnpl,SUPERFUND NPL,SiteInterest,11
Hazardousandcriteriaairpollutantmajor,HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR,AirProgram,11
Facility,FACILITY,FacilitySiteIdentification,10
Electricpowergenerator-Gasbased,ELECTRIC POWER GENERATOR (GAS BASED),AirProgram,10
Gasolineanddieselproducers,GASOLINE AND DIESEL PRODUCERS,AirProgram,10
Gasolineanddieselproducers,GASOLINE AND DIESEL PRODUCERS,RegistryInterest,10
Hazardousairpollutantmajor,HAZARDOUS AIR POLLUTANT MAJOR,AirProgram,10
Voluntarycleanupprogram,VOLUNTARY CLEAN UP PROGRAM,RemediationRedevelopmentProgram,9
Riskandtechnologyreview,,,9
Electricpowergenerator-Biomassbased,ELECTRIC POWER GENERATOR (BIOMASS BASED),AirProgram,8
Usedoilprogram,USED OIL PROGRAM,HazardousWasteProgram,6
TSD,TSD,HazardousWasteProgram,6
Phaseiims4,PHASE II MS4,PermitInterest,5
Leakingundergroundstoragetank-Arra,LEAKING UNDERGROUND STORAGE TANK - ARRA,UndergroundStorageTankProgram,5
Drinkingwatersystem,DRINKING WATER SYSTEM,DrinkingWaterProgram,4
Drinkingwatersystem,DRINKING WATER SYSTEM,ReportingInterest,4
Sewagesludgeutilization,SEWAGE SLUDGE UTILIZATION,SolidWasteProgram,3
Confinedanimalfeedingoperation,,,3
Air-Other,AIR - OTHER,,3
Non-Communitywatersystem,NON-COMMUNITY WATER SYSTEM,DrinkingWaterProgram,2
Transferfacility,TRANSFER FACILITY,HazardousWasteProgram,2
Brownfieldsfacility,,,2
Animalfeedingoperation,ANIMAL FEEDING OPERATION,AnimalOperation,2
X-Rayequipment,X-RAY EQUIPMENT,RadiationProtectionProgram,1
Aces,,,1
Electricpowergenerator-Windbased,ELECTRIC POWER GENERATOR (WIND BASED),AirProgram,1
Air-Notapplicable,AIR - NOT APPLICABLE,,1
BRAC,BRAC,RemediationRedevelopmentProgram,1
