cid,nPts,nObs,nAnalytes
9829828720494379008,1,26,13
9829845900363563008,1,105,35
9829967877434769408,1,70,35
9829972653438402560,1,140,35
9829974955540873216,1,96,35
9829975333497995264,1,35,35
9829975402217472000,1,70,35
9830034741485633536,1,35,35
9830038692855545856,1,35,35
9830040926238539776,1,70,35
9830041132396969984,1,70,35
9830046526875893760,1,70,35
9830047214070661120,1,70,35
9830048004344643584,1,26,13
9830049310014701568,1,70,35
9830049722331561984,1,35,35
9830050134648422400,2,61,35
9830055357328654336,1,70,35
9830056319401328640,1,35,35
9830062813391880192,1,26,13
9830070338174582784,1,70,35
9830072605917315072,1,39,13
9830072880795222016,1,26,13
9830076144970366976,1,25,13
9830124557841727488,1,25,13
9830130124119343104,1,140,35
9830130158479081472,1,25,13
9830177712356982784,1,140,35
9830178605710180352,1,175,35
9830203138563375104,1,251,41
9830212553131687936,1,140,35
9830213927521222656,1,33,33
9830215061392588800,1,210,35
9830216779379507200,1,175,35
9830237807539388416,1,175,35
9830253028903485440,1,35,35
9830253475580084224,1,35,35
9830254609451450368,1,140,35
9830256774114967552,1,25,13
9830256911553921024,2,26,13
9830257117712351232,1,26,13
9830281513126592512,1,26,13
9830284777301737472,1,25,13
9830298658636038144,1,26,13
9830298692995776512,1,271,37
9830326902340976640,1,33,33
9830332743496499200,1,35,35
9830333327612051456,1,35,35
9830337931816992768,1,35,35
9830339443645480960,1,35,35
9830346693550276608,1,35,35
9830348823854055424,1,35,35
9830350301322805248,1,140,35
9830350782359142400,1,105,35
9830350988517572608,1,140,35
9830386172889661440,1,70,35
9830386791364952064,1,35,35
9830390708375126016,1,70,35
9830403524557537280,1,70,35
9830409468792274944,1,26,13
9830413866838786048,1,35,35
9830414863271198720,1,26,13
9830415069429628928,1,39,13
9830416684337332224,1,35,35
9830418402324250624,1,105,35
9830501759049531392,1,35,35
9830505263742844928,1,70,35
9830548350854758400,1,70,35
9830556494112751616,1,35,35
9830578656143998976,1,185,37
9830585012695597056,1,74,37
9830588620468125696,1,148,37
9830599924822048768,1,222,37
9830603326436147200,1,13,13
9830603979271176192,1,39,13
9830604254149083136,1,26,13
9830621640176697344,1,148,37
9830624629473935360,1,74,37
9830624766912888832,1,174,38
9830625728985563136,1,111,37
9830634799956492288,1,39,13
9830647891016810496,1,74,37
9830649402845298688,1,111,37
9830665070885994496,1,148,37
9830665173965209600,1,13,13
9830665414483378176,1,148,37
9830672011553144832,1,185,37
9830678093226835968,1,35,35
9830709326229012480,1,70,35
9830732347253719040,1,70,35
9830745644472467456,1,157,32
9830794194782781440,1,13,13
9830794607099641856,1,74,37
9830808488433942528,1,35,35
9830810034622169088,1,35,35
9830903080793669632,1,70,35
9830908612711546880,1,35,35
9830914556946284544,1,35,35
9830929159835090944,1,140,35
9830929434712997888,1,210,35
9830931874254422016,1,26,13
9830937612330729472,1,33,33
9830954070645407744,1,70,35
9830968158138138624,1,140,35
9830973586976800768,1,140,35
9831072611742777344,1,140,35
9831444933867732992,1,111,37
9831450397066133504,1,33,33
9831843987869138944,1,137,38
9831889274004307968,2,46,35
9831902399424364544,1,70,35
9831918101824798720,1,35,35
9831923083986862080,1,13,13
9832059526507921408,1,37,37
9833001464375541760,1,33,33
9833094338748350464,1,33,33
9833562799421259776,2,66,33
9833658250774446080,1,33,33
9834120217456803840,1,33,33
9834184779405197312,1,33,33
9835682314242228224,1,13,13
9837314230016016384,1,33,33
9837317562910638080,1,13,13
9838297914965753856,1,13,13
9838377457760075776,1,33,33
9838421335145971712,2,46,35
9839338671440920576,1,13,13
9839470853354422272,1,13,13
9840264013554909184,1,13,13
9869686635476549632,1,13,13
9871705201386192896,2,46,35
9871886998761897984,1,13,13
9871945032360001536,1,13,13
9871953313056948224,1,13,13
9872026396220456960,1,13,13
