cid,neighborCid
5955080371899990016,5955075424097665024
5955080371899990016,5955075870774263808
5955080371899990016,5955075905134002176
5955080371899990016,5955080337540251648
5955080371899990016,5955080406259728384
5955080371899990016,5955080440619466752
5955080371899990016,5955080784216850432
5955080371899990016,5955080818576588800
5955087759243739136,5955087553085308928
5955087759243739136,5955087690524262400
5955087759243739136,5955087724884000768
5955087759243739136,5955087793603477504
5955087759243739136,5955087827963215872
5955087759243739136,5955087862322954240
5955087759243739136,5955087896682692608
5955087759243739136,5955087931042430976
5955178881269891072,5955178194075123712
5955178881269891072,5955178228434862080
5955178881269891072,5955178675111460864
5955178881269891072,5955178812550414336
5955178881269891072,5955178846910152704
5955178881269891072,5955178915629629440
5955178881269891072,5955178949989367808
5955178881269891072,5955178984349106176
5955253029585289216,5955252960865812480
5955253029585289216,5955252995225550848
5955253029585289216,5955253063945027584
5955253029585289216,5955253098304765952
5955253029585289216,5955253201383981056
5955253029585289216,5955253235743719424
5955253029585289216,5955253407542411264
5955253029585289216,5955253441902149632
5955273954665955328,5955273336190664704
5955273954665955328,5955273782867263488
5955273954665955328,5955273817227001856
5955273954665955328,5955273851586740224
5955273954665955328,5955273885946478592
5955273954665955328,5955273920306216960
5955273954665955328,5955273989025693696
5955273954665955328,5955274092104908800
5955276840883978240,5955276669085286400
5955276840883978240,5955276703445024768
5955276840883978240,5955276737804763136
5955276840883978240,5955276772164501504
5955276840883978240,5955276806524239872
5955276840883978240,5955276875243716608
5955276840883978240,5955276909603454976
5955276840883978240,5955277047042408448
5955332469300396032,5955325150676123648
5955332469300396032,5955325185035862016
5955332469300396032,5955332400580919296
5955332469300396032,5955332434940657664
5955332469300396032,5955332503660134400
5955332469300396032,5955335286798942208
5955332469300396032,5955335389878157312
5955332469300396032,5955335424237895680
5955433074614337536,5955320924428304384
5955433074614337536,5955321302385426432
5955433074614337536,5955321336745164800
5955433074614337536,5955433005894860800
5955433074614337536,5955433040254599168
5955433074614337536,5955433108974075904
5955433074614337536,5955433418211721216
5955433074614337536,5955433452571459584
5955478773066366976,5955478635627413504
5955478773066366976,5955478738706628608
5955478773066366976,5955478807426105344
5955478773066366976,5955478841785843712
5955478773066366976,5955478876145582080
5955478773066366976,5955478910505320448
5955478773066366976,5955478944865058816
5955478773066366976,5955479391541657600
5955480869010407424,5955480765931192320
5955480869010407424,5955480800290930688
5955480869010407424,5955480834650669056
5955480869010407424,5955480903370145792
5955480869010407424,5955480937729884160
5955480869010407424,5955482380838895616
5955480869010407424,5955482415198633984
5955480869010407424,5955482518277849088
5955484957819273216,5955474649897762816
5955484957819273216,5955474684257501184
5955484957819273216,5955482002881773568
5955484957819273216,5955484889099796480
5955484957819273216,5955484923459534848
5955484957819273216,5955484992179011584
5955484957819273216,5955485026538749952
5955484957819273216,5955485060898488320
5955487500439912448,5955487431720435712
