cid,frsId,facName,naicsCode,naicsLabel
5525731904571047936,110013359178,WOODLAND PULP MILL,322120,Paper Mills 
5525731904571047936,110013359178,WOODLAND PULP MILL,322121,
5525731904571047936,110013359178,WOODLAND PULP MILL,322122,
5525829795465658368,110000581460,RED SHIELD,221117,Biomass Electric Power Generation 
5525829795465658368,110000581460,RED SHIELD,221119,
5525829795465658368,110000581460,RED SHIELD,32211,Pulp Mills
5525829795465658368,110000581460,RED SHIELD,322110,Pulp Mills 
5525830276501995520,110007401891,STRIAR TEXTILE MILL,313000,
5525830276501995520,110038948958,STRIAR TEXTILE MILL LIMITED PARTNERSHIP,313210,Broadwoven Fabric Mills
5525830276501995520,110055618577,ORONO WATER POLLUTION CONTROL FACILITY,221320,Sewage Treatment Facilities 
5525830276501995520,110055618577,ORONO WATER POLLUTION CONTROL FACILITY,562212,Solid Waste Landfill 
5525835980218564608,110039664342,ORONO CDD LANDFILL,562212,Solid Waste Landfill 
5525838076162605056,110038020049,JUNIPER RIDGE LANDFILL,221119,
5525838076162605056,110038020049,JUNIPER RIDGE LANDFILL,562111,Solid Waste Collection 
5525838076162605056,110038020049,JUNIPER RIDGE LANDFILL,562212,Solid Waste Landfill 
5525839759789785088,110033595438,PENOBSCOT INDIAN NATION WASTEWATER TREATMENT PLANT,,
5525963729725816832,110007401702,EASTLAND WOOLEN MILLS INC,313000,
5525963729725816832,110007401702,EASTLAND WOOLEN MILLS INC,313210,Broadwoven Fabric Mills
5526097251669114880,110039679666,NEWTON FIELD,,
5526263484083339264,110039675839,STEPHEN A BEAN MUNICIPAL AIRPORT,,
5526263552802816000,110009048173,RANGELEY WASTEWATER TREATMENT FACILITY,,
5526336498527371264,110058114776,ND PAPER INC - RUMFORD DIVISION,22,Utilities
5526336498527371264,110058114776,ND PAPER INC - RUMFORD DIVISION,221110,
5526336498527371264,110058114776,ND PAPER INC - RUMFORD DIVISION,221119,
5526336498527371264,110058114776,ND PAPER INC - RUMFORD DIVISION,322110,Pulp Mills 
5526336498527371264,110058114776,ND PAPER INC - RUMFORD DIVISION,322120,Paper Mills 
5526336498527371264,110058114776,ND PAPER INC - RUMFORD DIVISION,322121,
5526336498527371264,110058114776,ND PAPER INC - RUMFORD DIVISION,322122,
5526336498527371264,110058114776,ND PAPER INC - RUMFORD DIVISION,62149,Other Outpatient Care Centers
5526337048283185152,110039667045,RUMFORD PAPER COMPANY- FARRINGTON MOUNTAIN LANDFILL,322121,
5526337254441615360,110006618730,RUMFORD-MEXICO WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,221112,Fossil Fuel Electric Power Generation 
5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322110,Pulp Mills 
5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322120,Paper Mills 
5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322121,
5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322130,Paperboard Mills 
5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,531120,Lessors of Nonresidential Buildings (except Miniwarehouses) 
5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,221112,Fossil Fuel Electric Power Generation 
5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322110,Pulp Mills 
5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322120,Paper Mills 
5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322121,
5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322130,Paperboard Mills 
5526347528003387392,110070864488,SPECIALTY MINERALS INC,325180,Other Basic Inorganic Chemical Manufacturing 
5526347528003387392,110070864488,SPECIALTY MINERALS INC,325188,
5526347974679986176,110038929345,"LIVERMORE FALLS,TOWN (HISTORIC INFORMATION)",,
5526349761386381312,110006618650,LIVERMORE FALLS WWTF,221320,Sewage Treatment Facilities 
5526368006407454720,110000314730,DYEABLES SHOES,315999,
5526368178206146560,110003552708,FRANKLIN PRINTING,,
