naicsCode,naicsLabel,nFacilities,nCells
332996,Fabricated Pipe and Pipe Fitting Manufacturing ,1,1
339991,"Gasket, Packing, and Sealing Device Manufacturing ",1,1
424470,Meat and Meat Product Merchant Wholesalers ,1,1
42447,Meat and Meat Product Merchant Wholesalers ,1,1
42431,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",1,1
424210,Drugs and Druggists' Sundries Merchant Wholesalers ,1,1
332997,,1,1
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,1,1
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,1,1
423830,Industrial Machinery and Equipment Merchant Wholesalers ,1,1
42383,Industrial Machinery and Equipment Merchant Wholesalers ,1,1
33312,Construction Machinery Manufacturing,1,1
42382,Farm and Garden Machinery and Equipment Merchant Wholesalers ,1,1
42369,Other Electronic Parts and Equipment Merchant Wholesalers ,1,1
335991,Carbon and Graphite Product Manufacturing ,1,1
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",1,1
336411,Aircraft Manufacturing ,1,1
33639,Other Motor Vehicle Parts Manufacturing,1,1
33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1,1
33636,Motor Vehicle Seating and Interior Trim Manufacturing,1,1
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,1,1
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",1,1
336312,,1,1
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,1,1
336211,Motor Vehicle Body Manufacturing ,1,1
336112,,1,1
336000,,1,1
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,1,1
33599,All Other Electrical Equipment and Component Manufacturing,1,1
334519,Other Measuring and Controlling Device Manufacturing ,1,1
335929,Other Communication and Energy Wire Manufacturing ,1,1
335921,Fiber Optic Cable Manufacturing ,1,1
335911,,1,1
335910,Battery Manufacturing ,1,1
334612,,1,1
335224,,1,1
335222,,1,1
335211,,1,1
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing ,1,1
335121,,1,1
33791,Mattress Manufacturing,1,1
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",1,1
339942,,1,1
333618,Other Engine Equipment Manufacturing ,1,1
339920,Sporting and Athletic Goods Manufacturing,1,1
333912,Air and Gas Compressor Manufacturing ,1,1
33991,Jewelry and Silverware Manufacturing,1,1
339116,Dental Laboratories ,1,1
339115,Ophthalmic Goods Manufacturing ,1,1
333921,Elevator and Moving Stairway Manufacturing ,1,1
339111,,1,1
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",1,1
337910,Mattress Manufacturing,1,1
441210,Recreational Vehicle Dealers ,1,1
333992,Welding and Soldering Equipment Manufacturing ,1,1
000023,,1,1
337129,,1,1
337124,,1,1
334112,Computer Storage Device Manufacturing ,1,1
337121,Upholstered Household Furniture Manufacturing ,1,1
334210,Telephone Apparatus Manufacturing,1,1
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,1,1
336991,"Motorcycle, Bicycle, and Parts Manufacturing ",1,1
33429,Other Communications Equipment Manufacturing,1,1
334310,Audio and Video Equipment Manufacturing,1,1
459999,All Other Miscellaneous Retailers ,1,1
485111,Mixed Mode Transit Systems ,1,1
48511,Urban Transit Systems,1,1
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",1,1
484220,"Specialized Freight (except Used Goods) Trucking, Local ",1,1
32532,Pesticide and Other Agricultural Chemical Manufacturing,1,1
325411,Medicinal and Botanical Manufacturing ,1,1
483111,Deep Sea Freight Transportation ,1,1
32552,Adhesive Manufacturing,1,1
481219,Other Nonscheduled Air Transportation ,1,1
481211,Nonscheduled Chartered Passenger Air Transportation ,1,1
325612,Polish and Other Sanitation Good Manufacturing ,1,1
48111,Scheduled Air Transportation,1,1
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",1,1
459910,Pet and Pet Supplies Retailers ,1,1
32562,Toilet Preparation Manufacturing,1,1
45941,Office Supplies and Stationery Retailers ,1,1
459310,Florists ,1,1
459110,Sporting Goods Retailers ,1,1
45911,Sporting Goods Retailers ,1,1
45831,Jewelry Retailers ,1,1
458110,Clothing and Clothing Accessories Retailers ,1,1
457210,Fuel Dealers ,1,1
325620,Toilet Preparation Manufacturing,1,1
45711,Gasoline Stations with Convenience Stores ,1,1
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers ",1,1
488310,Port and Harbor Operations,1,1
49313,Farm Product Warehousing and Storage,1,1
493120,Refrigerated Warehousing and Storage,1,1
49312,Refrigerated Warehousing and Storage,1,1
323121,,1,1
32411,Petroleum Refineries,1,1
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing",1,1
324122,Asphalt Shingle and Coating Materials Manufacturing ,1,1
488490,Other Support Activities for Road Transportation ,1,1
325,Chemical Manufacturing,1,1
488390,Other Support Activities for Water Transportation,1,1
48839,Other Support Activities for Water Transportation,1,1
32511,Petrochemical Manufacturing,1,1
325910,Printing Ink Manufacturing,1,1
488210,Support Activities for Rail Transportation,1,1
325181,,1,1
32519,Other Basic Organic Chemical Manufacturing,1,1
486910,Pipeline Transportation of Refined Petroleum Products,1,1
48691,Pipeline Transportation of Refined Petroleum Products,1,1
325191,,1,1
48599,Other Transit and Ground Passenger Transportation,1,1
485510,Charter Bus Industry,1,1
48551,Charter Bus Industry,1,1
48541,School and Employee Bus Transportation,1,1
48521,Interurban and Rural Bus Transportation,1,1
485113,Bus and Other Motor Vehicle Transit Systems ,1,1
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",1,1
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,1,1
331,Primary Metal Manufacturing,1,1
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,1,1
444190,,1,1
331221,Rolled Steel Shape Manufacturing ,1,1
331222,Steel Wire Drawing ,1,1
444140,Hardware Retailers ,1,1
44414,Hardware Retailers ,1,1
331318,"Other Aluminum Rolling, Drawing, and Extruding ",1,1
33141,Nonferrous Metal (except Aluminum) Smelting and Refining,1,1
331419,,1,1
331421,,1,1
327992,Ground or Treated Mineral and Earth Manufacturing ,1,1
44313,,1,1
442110,,1,1
441340,Tire Dealers ,1,1
331522,,1,1
44133,Automotive Parts and Accessories Retailers ,1,1
441320,,1,1
331523,Nonferrous Metal Die-Casting Foundries ,1,1
33211,Forging and Stamping,1,1
332115,,1,1
441229,,1,1
441228,,1,1
332116,,1,1
45231,,1,1
326111,Plastics Bag and Pouch Manufacturing ,1,1
454319,,1,1
454312,,1,1
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1,1
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1,1
32614,Polystyrene Foam Product Manufacturing,1,1
45391,,1,1
326140,Polystyrene Foam Product Manufacturing,1,1
32619,Other Plastics Product Manufacturing,1,1
326192,,1,1
452910,,1,1
326211,Tire Manufacturing (except Retreading) ,1,1
493130,Farm Product Warehousing and Storage,1,1
452111,,1,1
451211,,1,1
451110,,1,1
45111,,1,1
449110,Furniture Retailers ,1,1
448150,,1,1
448140,,1,1
327124,,1,1
327125,,1,1
327211,Flat Glass Manufacturing ,1,1
327310,Cement Manufacturing,1,1
