naicsCode,naicsLabel,nFacilities,nCells
621498,All Other Outpatient Care Centers ,2,2
622210,Psychiatric and Substance Abuse Hospitals ,2,2
621391,Offices of Podiatrists ,2,2
42183,,2,2
422710,,2,2
42271,,2,2
623311,Continuing Care Retirement Communities ,2,2
81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,2,2
449210,Electronics and Appliance Retailers ,2,2
924120,Administration of Conservation Programs ,2,2
92411,Administration of Air and Water Resource and Solid Waste Management Programs ,2,2
92219,"Other Justice, Public Order, and Safety Activities ",2,2
336214,Travel Trailer and Camper Manufacturing ,2,2
336322,,2,2
336360,Motor Vehicle Seating and Interior Trim Manufacturing,2,2
92216,Fire Protection ,2,2
811490,Other Personal and Household Goods Repair and Maintenance ,2,2
71219,Nature Parks and Other Similar Institutions,2,2
811211,,2,2
811122,Automotive Glass Replacement Shops ,2,2
811113,,2,2
337211,Wood Office Furniture Manufacturing ,2,2
71399,All Other Amusement and Recreation Industries,2,2
33911,Medical Equipment and Supplies Manufacturing,2,2
713940,Fitness and Recreational Sports Centers ,2,2
33992,Sporting and Athletic Goods Manufacturing,2,2
339994,"Broom, Brush, and Mop Manufacturing ",2,2
483211,Inland Water Freight Transportation ,2,2
493190,Other Warehousing and Storage,2,2
44132,,2,2
491110,Postal Service,2,2
49111,Postal Service,2,2
488999,All Other Support Activities for Transportation ,2,2
488320,Marine Cargo Handling,2,1
488111,Air Traffic Control,2,2
444130,,2,2
484122,"General Freight Trucking, Long-Distance, Less Than Truckload ",2,2
484110,"General Freight Trucking, Local ",2,2
51111,,2,2
482112,Short Line Railroads ,2,2
481111,Scheduled Passenger Air Transportation ,2,2
454310,,2,2
45431,,2,2
453910,,2,2
453310,,2,2
45331,,2,2
45321,,2,2
452990,,2,2
452112,,2,2
541620,Environmental Consulting Services,2,2
611699,All Other Miscellaneous Schools and Instruction ,2,2
423510,Metal Service Centers and Other Metal Merchant Wholesalers ,2,2
611210,Junior Colleges ,2,2
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers ,2,2
56299,All Other Waste Management Services ,2,2
56211,Waste Collection ,2,2
561499,All Other Business Support Services ,2,2
541921,"Photography Studios, Portrait ",2,2
541714,Research and Development in Biotechnology (except Nanobiotechnology),2,2
