cid,nDet,nDetAnalytes
9716063901635837952,6,6
9716064004715053056,6,6
9716075343428714496,2,2
9716075377788452864,32,11
9716075583946883072,16,8
9716077473732493312,256,39
9716077508092231680,41,38
9716077611171446784,38,12
9716077748610400256,21,12
9716077782970138624,9,8
9716077954768830464,23,8
9716080806627115008,20,10
9716080840986853376,21,11
9716080875346591744,8,7
9716080909706330112,28,9
9716081047145283584,18,9
9716081287663452160,10,10
9716081803059527680,19,10
9716081871779004416,34,10
9716083727204876288,8,7
9716130078491934720,7,3
9716289576397438976,2,2
9716498311808024576,1,1
9716635956919926784,1,1
9738487101254533120,1,1
9738528195501621248,1,1
9738914330241400832,1,1
9739011293423075328,1,1
9739066921839493120,1,1
9739255797321302016,32,12
9739256243997900800,47,15
9739570120207892480,1,1
9739891899157708800,15,9
9739892036596662272,14,11
9739892139675877376,31,11
9739892174035615744,21,12
9739892208395354112,35,9
9739893548425150464,69,12
9739893617144627200,39,13
9739893651504365568,76,16
9739893685864103936,27,8
9739893720223842304,2,2
9739893823303057408,8,8
9739893857662795776,7,7
9739893926382272512,5,5
9739898908544335872,1,1
9739899080343027712,53,11
9739899217781981184,65,12
9739899252141719552,49,12
9739899286501457920,66,10
9739899320861196288,9,9
9739899423940411392,9,9
9739899904976748544,7,6
9739899939336486912,49,9
9739899973696225280,23,11
9739900008055963648,31,9
9739900042415702016,28,12
9739900076775440384,8,8
9739901038848114688,2,2
9739901279366283264,14,9
9739901313726021632,49,11
9739938731481104384,6,6
9739941136662790144,31,10
9739941445900435456,9,9
9739998689224556544,6,6
9740039886550859776,2,2
9740063629130072064,44,16
9740063663489810432,11,11
9740063732209287168,28,11
9740064453763792896,48,13
9740065175318298624,22,11
9740178665534128128,12,12
9740178768613343232,28,9
9740178802973081600,3,3
9740178906052296704,19,11
9740182788702732288,9,9
9740378742290644992,16,8
9740398636579160064,4,2
9740404202856775680,12,6
9740447599206334464,46,14
9740458628682350592,62,15
9740485188760109056,2,1
9740493057140195328,44,12
