cid,nRingPfasFac
9716077508092231680,3
9716077576811708416,6
9716077611171446784,3
9716077748610400256,7
9716077782970138624,4
9716077954768830464,2
9716080806627115008,8
9716080840986853376,4
9716080875346591744,3
9716080909706330112,7
9716081047145283584,5
9716081287663452160,6
9716081871779004416,2
9716083727204876288,3
9716512261861801984,3
9739891899157708800,3
9739893548425150464,3
9739893685864103936,1
9739893720223842304,1
9739893823303057408,8
9739893857662795776,11
9739893926382272512,5
9739898496227475456,9
9739898908544335872,5
9739899080343027712,1
9739899252141719552,1
9739899286501457920,1
9739899423940411392,1
9739899904976748544,16
9739899939336486912,22
9739899973696225280,18
9739900008055963648,12
9739900042415702016,15
9739900076775440384,14
9739901038848114688,19
9739901279366283264,16
9739901313726021632,15
9739901657323405312,1
9739941136662790144,3
9739941445900435456,2
9740063629130072064,8
9740063663489810432,11
9740063732209287168,2
9740065175318298624,2
9740502677866938368,1
9740506113840775168,3
9741189357238222848,1
9742149265249009664,1
9766637863100743680,1
9766723006532419584,2
9766790901375434752,1
9766942943217713152,1
9767139206043271168,1
9767141989182078976,1
9781824180264632320,1
9785113025701740544,3
9787662552648384512,1
9790860001181433856,2
9790860035541172224,1
9796312754221481984,1
9796441156563763200,1
9796516885427126272,2
9796516919786864640,3
9796575778018689024,1
9796877662679990272,2
9796877697039728640,5
9796962153276637184,4
9797045510001917952,1
9797045613081133056,4
9797052794266451968,7
9797053962497556480,3
9797053996857294848,3
9797061246762090496,2
9797062174475026432,5
9797062414993195008,1
9797062655511363584,2
9797063583224299520,2
9797064201699590144,8
9797065335570956288,2
9797069767977205760,3
9797070420812234752,2
9797075815291158528,2
9797099489150894080,1
9797099660949585920,1
9797136941265715200,1
9797289635943022592,1
9797405084663939072,1
9797457002228613120,1
9797514760948809728,1
9797514932747501568,1
9797515001466978304,3
9797516238417559552,1
9797516547655204864,1
9797525446827442176,1
9797525996583256064,1
9797526030942994432,1
9797526134022209536,1
9797526202741686272,1
9797526271461163008,1
9797527989448081408,1
9797528195606511616,2
9797528539203895296,1
9797529329477877760,2
9797529432557092864,2
9797529535636307968,2
9797529673075261440,6
9797529707434999808,7
9797529741794738176,3
9797529844873953280,2
9797529879233691648,2
9797529913593430016,1
9797529947953168384,1
9797529982312906752,2
9797530051032383488,1
9797530119751860224,1
9797530188471336960,1
9797530222831075328,1
9797530291550552064,1
9797530360270028800,1
9797532593653022720,4
9797532696732237824,2
9797532765451714560,1
9797532834171191296,3
9797532868530929664,1
9797534380359417856,2
9797534414719156224,6
9797534586517848064,4
9797534998834708480,1
9797535479871045632,1
9797535892187906048,2
9797537507095609344,1
9797542970294009856,1
9797545306756218880,1
9797982190829568000,1
9798178625453817856,1
9798706700272795648,2
9801268321847345152,25
9802262142919901184,1
9802458955501273088,3
9802469744459120640,3
9802607733168406528,1
9802745034682925056,4
9803809465017827328,5
9803812351235850240,5
9803812488674803712,6
9803813038430617600,7
9803816165166809088,9
9803817367757651968,2
9803821044249657344,1
9803821112969134080,5
9803821868883378176,1
9803822040682070016,22
9803822693517099008,33
9803823689949511680,15
9803827675679162368,16
9803827744398639104,12
9803848394601398272,7
9803886499551248384,11
9803886980587585536,4
9803918797705314304,1
9803920996728569856,5
9804060084949483520,3
9804062077814308864,6
9804068949761982464,6
9804069568237273088,3
9804069877474918400,1
9804070667748900864,10
9804154814748164096,2
9804167012455284736,1
9804181203027230720,3
9804210992920395776,3
9804220441848446976,3
9804281396024311808,2
9804283354529398784,15
9804283388889137152,26
9804287683856433152,2
9804315515244511232,4
9804626608315695104,1
9804626711394910208,7
9804627226790985728,2
9804637740870926336,4
9804724739728474112,1
9804736662557687808,1
9804777000890531840,1
9804788820640530432,2
9804797307495907328,2
9804824829646340096,2
9804827303547502592,3
9804827372266979328,5
9804827715864363008,2
9804827750224101376,2
9804832079551135744,2
9804856200087470080,2
9804862522279329792,8
9804862694078021632,9
9804863037675405312,4
9804863140754620416,7
9804881454495170560,4
9804881798092554240,1
9804934780809117696,1
9805134891925372928,3
9805183717113593856,1
9805184335588884480,2
9805191688572895232,1
9805205707346149376,1
9805226666786553856,3
9805298753517649920,1
9805432275460947968,1
9805537244461662208,2
9805537313181138944,1
9805538962448580608,1
9805556520274886656,2
9805585519894069248,1
9805594178548137984,1
9805597580162236416,1
9805598473515433984,1
9805607200888979456,1
9805607510126624768,4
9805607750644793344,4
9805649875684032512,6
9805651628030689280,1
9805656678912229376,1
9805663275981996032,3
9805759792487071744,4
9805759964285763584,5
9805760170444193792,2
9805963889332977664,6
9805963992412192768,4
9805994881816985600,7
9806006873365676032,8
9806055114438344704,3
9806059031448518656,1
9806076726713778176,1
9806101122128019456,1
9806101637524094976,1
9806132733087318016,4
9806143109728305152,2
9806177572545888256,4
9806187468150538240,2
9806199528418705408,4
9806200009455042560,5
9806200765369286656,2
9806239179556782080,2
9806239385715212288,3
9806239420074950656,2
9806239935471026176,12
9806250964947042304,1
9806268076096749568,5
9806276288074219520,5
9806280205084393472,11
9806285359045148672,2
9806289825811136512,5
9817277382946455552,2
9817319748503863296,2
9817809443495084032,1
