cid,nPts,nObs,nAnalytes
5522341972783661056,1,30,30
5522342419460259840,2,56,29
5522342453819998208,6,230,30
5522342488179736576,5,173,30
5522348638572904448,1,30,30
5522349016530026496,1,30,30
5522351559150665728,1,110,66
5522724740269080576,1,28,28
5522725496183324672,1,300,30
5522725564902801408,1,245,66
5522730925021986816,1,29,29
5522749101323583488,1,25,25
5522750406993641472,1,140,66
5522750613152071680,1,295,66
5522751437785792512,1,30,30
5522751506505269248,2,118,30
5522751643944222720,1,29,29
5522751678303961088,3,86,30
5522751712663699456,1,29,29
5522751850102652928,1,78,39
5522751987541606400,3,87,30
5522752090620821504,4,667,45
5522752124980559872,1,30,30
5522752159340298240,1,30,30
5522752468577943552,2,215,66
5522752502937681920,8,240,30
5522752606016897024,1,30,30
5522752709096112128,1,292,30
5522752743455850496,1,9,9
5522753087053234176,1,9,9
5522755354795966464,1,138,66
5522757622538698752,2,59,30
5522781158959480832,1,28,28
5522789920692764672,1,29,29
5522795830567763968,1,27,27
5522796345963839488,7,152,17
5522796380323577856,3,209,40
5522796414683316224,1,63,34
5522796449043054592,6,639,50
5522796483402792960,1,17,17
5522870288120807424,1,29,29
5522879084213829632,1,66,33
5522895645607723008,1,96,59
5522903617067024384,1,30,30
5522903651426762752,6,332,31
5522904922737082368,1,339,44
5522906984321384448,1,339,44
5522923683154231296,2,60,30
5522923820593184768,4,118,30
5522924164190568448,1,30,30
5522924232910045184,7,263,30
5522924267269783552,1,29,29
5522924920104812544,3,146,30
5522924954464550912,1,29,29
5522934128514695168,1,29,29
5522973229896957952,1,161,44
5522973332976173056,1,115,29
5523088300660752384,1,96,59
5523089949928194048,1,17,17
5523089984287932416,1,17,17
5523092939225432064,2,179,30
5523094519773396992,2,347,44
5523100910684733440,3,88,30
5523101013763948544,1,60,30
5523101048123686912,1,31,31
5523101082483425280,3,123,31
5523864280992055296,1,29,29
5523871015500775424,1,60,30
5523871049860513792,3,90,30
5523872355530571776,2,58,29
5523872458609786880,1,58,29
5523872492969525248,1,4,4
5523873764279844864,1,8,4
5523881598300192768,2,58,29
5523881632659931136,2,670,33
5523882010617053184,29,8789,44
5523882044976791552,3,62,21
5523889157442633728,2,58,29
5523890944149028864,1,150,30
5523891356465889280,2,345,44
5523895239116324864,1,58,29
5523895273476063232,5,142,30
5523896338627952640,1,29,29
5523905547037835264,4,84,21
5523905787556003840,2,102,22
5523905821915742208,1,30,21
5523905924994957312,38,1440,55
5523906165513125888,2,82,22
5523906268592340992,2,102,22
5523992717694074880,1,27,27
5523992855133028352,10,232,27
5524834771802259456,1,17,17
5524834840521736192,14,415,30
5524834874881474560,4,154,40
5524834943600951296,2,60,30
5524837383142375424,1,58,29
5524845595119845376,1,341,44
5525178059948294144,1,340,44
5525203864111808512,2,71,36
5525211869930848256,2,48,24
5525211938650324992,4,52,13
5525211973010063360,4,156,13
5525214343832010752,3,12,4
5525214481270964224,9,106,22
5525214653069656064,2,26,13
5525214687429394432,1,13,13
5525214721789132800,9,260,26
5525218570079830016,1,145,30
5525218604439568384,1,150,30
5525219085475905536,9,1292,45
5525219360353812480,1,6,3
5525219875749888000,1,27,27
5525219978829103104,4,162,43
5525220288066748416,1,16,16
