cid,neighborCid
5526007847629881344,5526007744550666240
5526007847629881344,5526007778910404608
5526007847629881344,5526007813270142976
5526007847629881344,5526007881989619712
5526007847629881344,5526007916349358080
5526007847629881344,5526008122507788288
5526007847629881344,5526008156867526656
5526007847629881344,5526008191227265024
5526007916349358080,5526007504032497664
5526007916349358080,5526007538392236032
5526007916349358080,5526007710190927872
5526007916349358080,5526007744550666240
5526007916349358080,5526007847629881344
5526007916349358080,5526007881989619712
5526007916349358080,5526007950709096448
5526007916349358080,5526007985068834816
5526018945825374208,5526018258630606848
5526018945825374208,5526018292990345216
5526018945825374208,5526018327350083584
5526018945825374208,5526018499148775424
5526018945825374208,5526018533508513792
5526018945825374208,5526018877105897472
5526018945825374208,5526018911465635840
5526018945825374208,5526018980185112576
5526025955212001280,5526025886492524544
5526025955212001280,5526025920852262912
5526025955212001280,5526025989571739648
5526025955212001280,5526027398321012736
5526025955212001280,5526027432680751104
5526025955212001280,5526052343491067904
5526025955212001280,5526053820959817728
5526025955212001280,5526053855319556096
5526027398321012736,5526025955212001280
5526027398321012736,5526025989571739648
5526027398321012736,5526026023931478016
5526027398321012736,5526027329601536000
5526027398321012736,5526027363961274368
5526027398321012736,5526027432680751104
5526027398321012736,5526027467040489472
5526027398321012736,5526027501400227840
5526027432680751104,5526025955212001280
5526027432680751104,5526025989571739648
5526027432680751104,5526027398321012736
5526027432680751104,5526027467040489472
5526027432680751104,5526027501400227840
5526027432680751104,5526052309131329536
5526027432680751104,5526052343491067904
5526027432680751104,5526053820959817728
5526027467040489472,5526027398321012736
5526027467040489472,5526027432680751104
5526027467040489472,5526027501400227840
5526027467040489472,5526027535759966208
5526027467040489472,5526027570119704576
5526027467040489472,5526052206052114432
5526027467040489472,5526052309131329536
5526027467040489472,5526052343491067904
5526049491632783360,5526049319834091520
5526049491632783360,5526049354193829888
5526049491632783360,5526049388553568256
5526049491632783360,5526049422913306624
5526049491632783360,5526049457273044992
5526049491632783360,5526049525992521728
5526049491632783360,5526049560352260096
5526049491632783360,5526049697791213568
5526052206052114432,5526027467040489472
5526052206052114432,5526027570119704576
5526052206052114432,5526027604479442944
5526052206052114432,5526052137332637696
5526052206052114432,5526052171692376064
5526052206052114432,5526052240411852800
5526052206052114432,5526052274771591168
5526052206052114432,5526052309131329536
5526052309131329536,5526027432680751104
5526052309131329536,5526027467040489472
5526052309131329536,5526027570119704576
5526052309131329536,5526052206052114432
5526052309131329536,5526052240411852800
5526052309131329536,5526052274771591168
5526052309131329536,5526052343491067904
5526052309131329536,5526052377850806272
5526060486749061120,5526060314950369280
5526060486749061120,5526060349310107648
5526060486749061120,5526060383669846016
5526060486749061120,5526060418029584384
5526060486749061120,5526060452389322752
5526060486749061120,5526060521108799488
5526060486749061120,5526060555468537856
5526060486749061120,5526060692907491328
5526097251669114880,5526097217309376512
5526097251669114880,5526097286028853248
5526097251669114880,5526097320388591616
5526097251669114880,5526099038375510016
5526097251669114880,5526099072735248384
5526097251669114880,5526099794289754112
5526097251669114880,5526099828649492480
5526097251669114880,5526099931728707584
5526123021472890880,5526122402997600256
5526123021472890880,5526122849674199040
5526123021472890880,5526122884033937408
5526123021472890880,5526122918393675776
5526123021472890880,5526122952753414144
5526123021472890880,5526122987113152512
5526123021472890880,5526123055832629248
5526123021472890880,5526123158911844352
5526126079489605632,5526125942050652160
5526126079489605632,5526126045129867264
5526126079489605632,5526126113849344000
5526126079489605632,5526126148209082368
5526126079489605632,5526126182568820736
5526126079489605632,5526126216928559104
5526126079489605632,5526126251288297472
5526126079489605632,5526126697964896256
5526187617781022720,5526187514701807616
5526187617781022720,5526187549061545984
5526187617781022720,5526187583421284352
5526187617781022720,5526187652140761088
5526187617781022720,5526187686500499456
5526187617781022720,5526187823939452928
5526187617781022720,5526188270616051712
5526187617781022720,5526188304975790080
5526208302343520256,5526207924386398208
5526208302343520256,5526207958746136576
5526208302343520256,5526208267983781888
5526208302343520256,5526208336703258624
5526208302343520256,5526208371062996992
5526208302343520256,5526214487096426496
5526208302343520256,5526214521456164864
5526208302343520256,5526214899413286912
5526219641057181696,5526219537977966592
5526219641057181696,5526219572337704960
5526219641057181696,5526219606697443328
5526219641057181696,5526219675416920064
5526219641057181696,5526219778496135168
5526219641057181696,5526220740568809472
5526219641057181696,5526220774928547840
5526219641057181696,5526220878007762944
5526231117209796608,5526230704892936192
5526231117209796608,5526230739252674560
5526231117209796608,5526230911051366400
5526231117209796608,5526230945411104768
5526231117209796608,5526231048490319872
5526231117209796608,5526231082850058240
5526231117209796608,5526231151569534976
5526231117209796608,5526231185929273344
5526231151569534976,5526165249591345152
5526231151569534976,5526165283951083520
5526231151569534976,5526165730627682304
5526231151569534976,5526230704892936192
5526231151569534976,5526230739252674560
5526231151569534976,5526231082850058240
5526231151569534976,5526231117209796608
5526231151569534976,5526231185929273344
5526262590730141696,5526262384571711488
5526262590730141696,5526262418931449856
5526262590730141696,5526262522010664960
5526262590730141696,5526262556370403328
5526262590730141696,5526262625089880064
5526262590730141696,5526262659449618432
5526262590730141696,5526263003047002112
5526262590730141696,5526263037406740480
5526263484083339264,5526263381004124160
5526263484083339264,5526263415363862528
5526263484083339264,5526263449723600896
5526263484083339264,5526263518443077632
5526263484083339264,5526263552802816000
5526263484083339264,5526264858472873984
5526263484083339264,5526264892832612352
5526263484083339264,5526264927192350720
5526263518443077632,5526263381004124160
5526263518443077632,5526263484083339264
5526263518443077632,5526263552802816000
5526263518443077632,5526263587162554368
5526263518443077632,5526263621522292736
5526263518443077632,5526264755393658880
5526263518443077632,5526264858472873984
5526263518443077632,5526264892832612352
5526263552802816000,5526263140485955584
5526263552802816000,5526263174845693952
5526263552802816000,5526263346644385792
5526263552802816000,5526263381004124160
5526263552802816000,5526263484083339264
5526263552802816000,5526263518443077632
5526263552802816000,5526263587162554368
5526263552802816000,5526263621522292736
5526264446156013568,5526264274357321728
5526264446156013568,5526264308717060096
5526264446156013568,5526264343076798464
5526264446156013568,5526264377436536832
5526264446156013568,5526264411796275200
5526264446156013568,5526264480515751936
5526264446156013568,5526264514875490304
5526264446156013568,5526264652314443776
5526289838002667520,5526289769283190784
5526289838002667520,5526289803642929152
5526289838002667520,5526289872362405888
5526289838002667520,5526291281111678976
5526289838002667520,5526291315471417344
5526289838002667520,5527793969909465088
5526289838002667520,5527795447378214912
5526289838002667520,5527795481737953280
5526297225346416640,5526286848705429504
5526297225346416640,5526286883065167872
5526297225346416640,5526286917424906240
5526297225346416640,5526297190986678272
5526297225346416640,5526297259706155008
5526297225346416640,5526297294065893376
5526297225346416640,5526297637663277056
5526297225346416640,5526297672023015424
5526309113815891968,5526309010736676864
5526309113815891968,5526309045096415232
5526309113815891968,5526309079456153600
5526309113815891968,5526309148175630336
5526309113815891968,5526309182535368704
5526309113815891968,5526309388693798912
5526309113815891968,5526309423053537280
5526309113815891968,5526309457413275648
5526311244119670784,5526305059366764544
5526311244119670784,5526305093726502912
5526311244119670784,5526305196805718016
5526311244119670784,5526311141040455680
