param,paramLabel,casRaw,cas,dtxsid,dssLabel,nObs
characteristic.8086,9-Chlorohexadecafluoro-3-oxanone-1-sulfonic acid,756426-58-1,756426-58-1,DTXSID80892506,Perfluoro(2-((6-chlorohexyl)oxy)ethanesulfonic acid),2700
characteristic.19823,,,,,,2699
characteristic.20426,13-H-Perfluorotridecanoic acid,423-73-4,423-73-4,DTXSID40892941,,2671
characteristic.9458,,,,,,2446
characteristic.19739,,,,,,2441
parameter.11CL-PF3OUDS_A,11-CHLOROEICOSAFLUORO-3-OXAUNDECANE-1-SULFONIC ACID,763051929,763051-92-9,DTXSID40892507,11-Chloroperfluoro-3-oxaundecanesulfonic acid,2315
characteristic.9368,,,,,,2284
characteristic.19482,,,,,,2255
characteristic.19467,,,,,,2241
characteristic.18078,,,,,,2214
characteristic.62959,5H-Perfluorohexanesulfonic acid,2089109-56-6,2089109-56-6,DTXSID101032330,,2213
characteristic.18897,"4,8-Dioxa-3H-perfluorononanoic acid",919005-14-4,919005-14-4,DTXSID40881350,"4,8-Dioxa-3H-perfluorononanoic acid",2200
characteristic.8091,Hexafluoropropylene oxide dimer acid,13252-13-6,13252-13-6,DTXSID70880215,Perfluoro-2-methyl-3-oxahexanoic acid,2184
parameter.9CL-PF3ONS_A,9-CHOLOROHEXADECAFLUORO-3-OXANONANE-1-SULFONIC ACID,756426581,756426-58-1,DTXSID80892506,Perfluoro(2-((6-chlorohexyl)oxy)ethanesulfonic acid),2147
parameter.8-2_FTS,8:2 FLUOROTELOMER SULFONATE,481071787,481071-78-7,DTXSID00192353,8:2 Fluorotelomer sulfonic acid,1894
characteristic.22803,,,,,,1882
characteristic.3112,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-",375-92-8,375-92-8,DTXSID8059920,Perfluoroheptanesulfonic acid,1868
characteristic.6680,,,,,,1863
characteristic.19383,,,,,,1861
characteristic.16351,Perfluorododecanesulfonic acid,79780-39-5,79780-39-5,DTXSID20873011,Perfluorododecanesulfonic acid,1825
characteristic.22382,Perfluoro(4-methoxybutanoic) acid,863090-89-5,863090-89-5,DTXSID60500450,Perfluoro(4-methoxybutanoic acid),1762
characteristic.21871,Perfluoro(2-ethoxyethane)sulfonic acid,113507-82-7,113507-82-7,DTXSID50379814,Perfluoro-2-ethoxyethanesulfonic acid,1762
characteristic.22572,Perfluoro-3-methoxypropanoic acid,377-73-1,377-73-1,DTXSID70191136,Perfluoro-3-methoxypropanoic acid,1762
characteristic.9611,,,,,,1753
characteristic.6681,,,,,,1751
parameter.6-2_FTS,6:2 FLUOROTELOMER SULFONATE,425670753,425670-75-3,DTXSID6067331,6:2 Fluorotelomer sulfonic acid,1717
parameter.N-MEFOSA,N-METHYL PERFLUOROOCTANE SULFONAMIDE,31506328,31506-32-8,DTXSID1067629,N-Methylperfluorooctanesulfonamide,1709
characteristic.18785,,,,,,1658
parameter.SUM_OF_5_PFAS,SUM OF 5 PFAS (PFHPA + PFHXS + PFOA + PFNA + PFOS),,,,,1653
characteristic.19684,11-Chloro-Perfluoroundecanoic acid,2823-49-6,2823-49-6,DTXSID10892918,,1339
characteristic.19256,"Decanoic acid, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-pentadecafluoro-",812-70-4,812-70-4,DTXSID90382620,3-(Perfluoroheptyl)propanoic acid,1321
parameter.PFDH_A,"PERFLUORO-3,6-DIOXAHEPTANOIC ACID",151772586,151772-58-6,DTXSID30382063,"Perfluoro-3,6-dioxaheptanoic acid",1170
parameter.PFEES_A,PERFLUORO(2-ETHOXYETHANE)SULFONIC ACID,113507827,113507-82-7,DTXSID50379814,Perfluoro-2-ethoxyethanesulfonic acid,1169
parameter.PFMB_A,PERFLUORO-4-METHOXYBUTANOIC ACID,863090895,863090-89-5,DTXSID60500450,Perfluoro(4-methoxybutanoic acid),1169
characteristic.3117,,,,,,1165
parameter.PFOS,PERFLUOROOCTANE SULFONATE,45298906,45298-90-6,DTXSID80108992,,1152
characteristic.9409,,,,,,1099
parameter.PFMP_A,PERFLUORO-3-METHOXYPROPANOIC ACID,377731,377-73-1,DTXSID70191136,Perfluoro-3-methoxypropanoic acid,1093
parameter.PFHXS,PERFLUOROHEXANE SULFONATE,108427538,108427-53-8,DTXSID80873012,,1035
parameter.PFDS,PERFLUORODECANE SULFONATE,126105348,126105-34-8,,,1001
characteristic.19505,,,,,,975
characteristic.8097,Perfluoropentanesulfonate,175905-36-9,175905-36-9,DTXSID8062600,Perfluoropentanesulfonic acid,975
characteristic.31056,3H-Perfluorobutanoic acid,379-90-8,379-90-8,DTXSID90626970,,967
characteristic.19579,,,,,,942
characteristic.19556,,,,,,942
characteristic.8094,Perfluorododecanesulfonate,343629-43-6,343629-43-6,DTXSID20873011,Perfluorododecanesulfonic acid,942
characteristic.8095,Perfluoroheptanesulfonate,146689-46-5,146689-46-5,DTXSID8059920,Perfluoroheptanesulfonic acid,942
characteristic.8096,Perfluorononanesulfonate,474511-07-4,474511-07-4,DTXSID8071356,Perfluorononanesulfonic acid,942
parameter.N-ETFOSA,N-ETHYL PERFLUOROOCTANE SULFONAMIDE,4151502,4151-50-2,DTXSID1032646,N-Ethylperfluorooctane sulfonamide,879
parameter.N-EtFOSE,N-ETHYL PERFLUOROOCTANE SULFONAMIDOETHANOL,1691992,1691-99-2,DTXSID6027426,N-Ethyl-N-(2-hydroxyethyl)perfluorooctane sulfonamide,874
parameter.N-MEFOSE,N-METHYL PERFLUOROOCTANE SULFONAMIDOETHANOL,24448097,24448-09-7,DTXSID7027831,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,857
parameter.PFNA,PERFLUORONONANOATE,72007682,72007-68-2,DTXSID80892485,,741
parameter.PFHXA,PERFLUOROHEXANOATE,92612527,92612-52-7,DTXSID20892484,,740
parameter.PFHPA,PERFLUOROHEPTANOATE,120885292,120885-29-2,DTXSID60892483,,740
parameter.PFDA,PERFLUORODECANOATE,73829364,73829-36-4,DTXSID40892481,,736
parameter.PFDOA,PERFLUORODODECANOATE,171978953,171978-95-3,DTXSID00892482,,736
parameter.PFUNDA,PERFLUOROUNDECANOATE,196859548,196859-54-8,DTXSID30892475,,733
parameter.PFTRDA_A,PERFLUOROTRIDECANOATE,862374876,862374-87-6,DTXSID20892489,,731
characteristic.18912,"Octanoic acid, 4,4,5,5,6,6,7,7,8,8,8-undecafluoro-",914637-49-3,914637-49-3,DTXSID20874028,"2H,2H,3H,3H-Perfluorooctanoic acid",725
parameter.PFOA,PERFLUOROOCTANOATE,45285516,45285-51-6,DTXSID40892486,,697
parameter.PFBS,PERFLUOROBUTANE SULFONATE,45187153,45187-15-3,DTXSID60873015,,648
parameter.5-3_FTC_A,5:3 FLUOROTELOMER CARBOXYLIC ACID,914637493,914637-49-3,DTXSID20874028,"2H,2H,3H,3H-Perfluorooctanoic acid",643
parameter.7-3_FTC_A,7:3 FLUOROTELOMER CARBOXYLIC ACID,812704,812-70-4,DTXSID90382620,3-(Perfluoroheptyl)propanoic acid,643
parameter.3-3_FTC_A,3:3 FLUOROTELOMER CARBOXYLIC ACID,356025,356-02-5,DTXSID00379268,3:3 Fluorotelomer carboxylic acid,631
characteristic.16771,"3:3 Fluorotelomer carboxylate, ion(1-)",1169706-83-5,1169706-83-5,DTXSID00379268,3:3 Fluorotelomer carboxylic acid,596
characteristic.19577,"2H,2H,3H,3H-Perfluorooctanoate",1799325-94-2,1799325-94-2,DTXSID20874028,"2H,2H,3H,3H-Perfluorooctanoic acid",596
characteristic.8087,"Ammonium 4,8-dioxa-3H-perfluorononanoate",958445-44-8,958445-44-8,DTXSID00874026,,592
characteristic.3114,,,,,,569
parameter.PFDOS,PERFLUORODODECANE SULFONATE,343629436,343629-43-6,DTXSID00904574,,546
characteristic.21754,,,,,,541
characteristic.17614,10:2 Fluorotelomer sulfonic acid,120226-60-0,120226-60-0,DTXSID50892578,,513
characteristic.20082,,,,,,513
parameter.9CL-PF3ONS,9-CHOLOROHEXADECAFLUORO-3-OXANONANE-1-SULFONATE,DEP14448,,DTXSID101348698,,505
parameter.PFBA,PERFLUOROBUTANOATE,45048622,45048-62-2,DTXSID80892480,,504
parameter.PFPEA,PERFLUOROPENTANOATE,45167473,45167-47-3,DTXSID00892487,,497
characteristic.2180,CFC-114,76-14-2,76-14-2,DTXSID8026434,,433
parameter.FHXSA,PERFLUOROHEXANE SULFONAMIDE,41997131,41997-13-1,DTXSID50469320,,421
parameter.FBSA,PERFLUOROBUTANE SULFONAMIDE,30334691,30334-69-1,DTXSID30880251,,404
parameter.ADONA,"4,8-DIOXA-3H-PERFLUORONONANOATE",958445448,958445-44-8,DTXSID80893154,,350
parameter.PFPES,PERFLUOROPENTANE SULFONATE,175905369,175905-36-9,DTXSID70892479,,347
parameter.4-2_FTS,4:2 FLUOROTELOMER SULFONATE,414911301,414911-30-1,DTXSID90891565,,342
parameter.11CL-PF3OUDS,11-CHLOROEICOSAFLUORO-3-OXAUNDECANE-1-SULFONATE,DEP14447,,DTXSID401348697,,327
parameter.PFHPS,PERFLUOROHEPTANE SULFONATE,146689465,146689-46-5,DTXSID20892505,,327
parameter.PFNS,PERFLUORONONANE SULFONATE,474511074,474511-07-4,DTXSID60873010,,327
parameter.PFTEA,PERFLUOROTETRADECANOATE,365971875,365971-87-5,DTXSID60892488,,324
