cid,nPts,nObs,nAnalytes
5955080371899990016,1,9,3
5955087759243739136,1,9,3
5955178881269891072,1,40,40
5955253029585289216,1,80,53
5955273954665955328,1,567,27
5955276840883978240,2,120,53
5955332469300396032,1,40,40
5955433074614337536,1,40,40
5955478773066366976,1,160,40
5955480869010407424,1,240,40
5955484957819273216,1,13,13
5955487500439912448,1,13,13
5955487637878865920,1,200,40
5955502309487149056,1,200,40
5955502893602701312,1,200,40
5955502927962439680,1,27,27
5955512376890490880,1,200,40
5955516225181188096,1,297,27
5955871539235651584,1,320,40
5955882671790882816,1,200,40
5955884595936231424,1,240,40
5955889406299602944,1,402,27
5955890196573585408,2,335,50
5955890265293062144,1,13,13
5955892533035794432,1,200,40
5955893563827945472,1,135,27
5955894354101927936,1,405,27
5955896312607014912,1,240,40
5955906002053234688,1,280,40
5955946958861369344,1,13,13
5955949948158607360,1,280,40
5955950188676775936,1,27,27
5955987022316306432,1,27,27
5955987159755259904,1,240,40
5956154388601896960,1,27,27
5956197372634595328,1,200,40
5956197681872240640,1,280,40
5956200052694188032,1,26,13
5956202801473257472,1,320,40
5956202904552472576,1,27,27
5956207233879506944,1,360,40
5956207508757413888,1,13,13
5957689822230347776,1,40,40
5957694151557382144,1,80,40
5957725144041390080,1,40,40
5957734386811011072,1,40,40
5957747168633683968,1,135,27
5957748543023218688,1,135,27
5957749951772491776,1,40,40
5957750020491968512,1,120,40
5957750089211445248,1,40,40
5957752322594439168,1,73,51
5957752528752869376,1,135,27
5957752597472346112,1,135,27
5957753868782665728,1,135,27
5957754452898217984,1,162,27
5957778951391674368,2,80,40
5957779054470889472,7,320,40
5957779088830627840,4,735,41
5957779226269581312,1,398,40
5957779432428011520,1,135,27
5957784070992691200,1,131,27
5957784174071906304,1,135,27
5957785033065365504,1,108,27
5957789912148213760,1,54,27
5957790805501411328,1,429,27
5957791011659841536,1,13,13
5957988270917812224,1,135,27
5957999094235398144,1,480,40
5958006137981763584,1,280,40
5958006275420717056,1,27,27
5958010295510106112,1,214,27
5958049603050799104,1,81,27
5958053142103851008,1,135,27
5958060254569693184,1,13,13
5958107327411257344,1,40,40
5958109766952681472,1,40,40
5958160207048605696,1,113,51
5958168247227383808,1,135,27
5958168968781889536,1,640,40
5958169140580581376,1,13,13
5958170892927238144,1,135,27
5958170927286976512,1,135,27
5958171064725929984,1,135,27
5958171099085668352,2,80,40
5958171477042790400,1,135,27
5958171614481743872,1,40,40
5958171683201220608,1,40,40
5958171717560958976,2,80,40
5958171854999912448,2,80,40
5958175909449039872,1,675,27
5958177696155435008,1,560,40
5958178486429417472,1,13,13
5958182678317498368,1,513,27
5958194154470113280,1,404,27
5958200820259356672,1,73,51
5958208997877088256,1,13,13
5958215251349471232,1,135,27
5958270433089290240,1,2,2
5958291186371264512,1,33,33
5958310084227366912,1,135,27
5958327367175766016,1,13,13
5958366502917767168,1,240,40
5958412270089273344,1,113,53
5958420241548574720,1,240,40
5958420550786220032,1,40,40
5958420619505696768,1,26,13
5958421684657586176,1,80,53
5958422784169213952,1,400,40
5958428522245521408,1,280,40
5958428762763689984,1,13,13
5958432095658311680,1,200,40
5958442197421391872,1,13,13
5958575375767306240,1,120,40
5958590872009310208,1,2,2
5958590975088525312,2,82,41
5958591009448263680,1,2,2
5958600183498407936,1,160,40
5958602176363233280,1,2,2
5958609735505674240,1,13,13
5958633031408287744,1,26,13
5958778166943154176,1,135,27
5958779335174258688,1,135,27
5958779472613212160,1,162,27
5958780091088502784,1,135,27
5958782668068880384,1,80,40
5958796927360303104,1,594,27
5958798679706959872,1,40,40
5958799366901727232,1,80,40
5958805689093586944,1,80,40
5958806101410447360,1,120,53
5958809571744022528,1,40,40
5958826820332683264,1,40,40
5958830840422072320,1,40,40
5958838914960588800,1,12,3
5958892000756367360,1,40,40
5958930140065955840,1,39,13
5958976525712752640,1,442,13
5958977522145165312,1,13,13
5959024904224374784,1,12,3
5959028099680043008,1,40,40
5959038545040506880,1,40,40
5959040572265070592,1,2,2
5959044592354459648,1,208,13
5959045520067395584,1,40,40
5959048303206203392,1,40,40
5959048578084110336,1,40,40
5959049093480185856,1,80,40
5959049505797046272,1,40,40
5959049815034691584,1,120,53
5959049849394429952,1,40,40
5959050021193121792,1,40,40
5959050089912598528,1,80,53
5959050158632075264,1,120,53
5959050192991813632,1,80,40
5959050399150243840,1,312,13
5959050433509982208,5,131,53
5959050536589197312,1,3036,40
5959050570948935680,1,7,7
5959050845826842624,2,91,7
5959050880186580992,8,189,7
5959050948906057728,11,318,7
5959050983265796096,6,114,7
5959051051985272832,24,745,7
5959051086345011200,1,42,7
5959051292503441408,1,247,13
5959051464302133248,1,80,53
5959051498661871616,1,80,53
5959051704820301824,2,150,13
5959052151496900608,1,14,7
5959052460734545920,1,80,40
5959053216648790016,1,40,40
5959054316160417792,1,169,13
5959056377744719872,1,40,40
5959056652622626816,1,208,13
5959056755701841920,1,7,7
5959056790061580288,1,2,2
5959056858781057024,1,42,7
5959056927500533760,1,7,7
5959057271097917440,5,10,2
5959057511616086016,1,120,53
5959058267530330112,1,78,13
5959058679847190528,1,78,13
5959059435761434624,1,182,13
5959060329114632192,1,208,13
5959060947589922816,1,52,13
5959063971246899200,1,169,13
5959064143045591040,1,130,13
5959065002039050240,1,208,13
5959065895392247808,1,40,40
5959071564749078528,1,120,53
5959073282735996928,1,40,40
5959074657125531648,1,40,40
5959074966363176960,6,274,44
5959078161818845184,1,40,40
5959079811086286848,1,40,40
5959080807518699520,1,2,2
5959093589341372416,1,13,13
5959095376047767552,1,13,13
5959109841497620480,1,113,51
5959112487197474816,1,40,40
5959122073564479488,1,80,53
5959122142283956224,1,40,40
5959124306947473408,1,40,40
5959124959782502400,1,40,40
5959128223957647360,1,40,40
5959131831730176000,1,80,40
5959132072248344576,1,40,40
5959132793802850304,1,80,40
5959133206119710720,1,40,40
5959133790235262976,1,40,40
5959136435935117312,1,33,33
5959137294928576512,1,40,40
5959137466727268352,1,80,53
5959137741605175296,1,40,40
5959140971420581888,1,40,40
5959141658615349248,1,80,40
5959142139651686400,1,40,40
5959142655047761920,2,80,40
5959146606417674240,1,80,40
5959148152605900800,1,40,40
5959149973672034304,1,40,40
5959152103975813120,1,746,41
5959152344493981696,1,91,13
5959152516292673536,1,26,13
5959153134767964160,1,234,13
5959153203487440896,1,40,40
5959153684523778048,1,80,53
5959153890682208256,1,287,41
5959156089705463808,1,26,13
5959156605101539328,1,40,40
5959157910771597312,1,208,13
5959159869276684288,1,40,40
5959160212874067968,1,40,40
5959160384672759808,1,40,40
5959160762629881856,1,40,40
5959160831349358592,1,120,53
5959160900068835328,2,364,41
5959161037507788800,1,156,40
5959161655983079424,1,106,54
5959161724702556160,1,160,53
5959162137019416576,1,240,40
5959162996012875776,1,470,41
5959163133451829248,1,536,41
5959163373969997824,1,596,41
5959163786286858240,1,80,53
5959164645280317440,1,53,44
5959164851438747648,1,13,13
5959165607352991744,1,378,41
5959166947382788096,1,120,53
5959167497138601984,1,80,53
5959171070551392256,1,80,53
5959171139270868992,1,66,44
5959171242350084096,1,13,13
5959174540884967424,1,159,54
5959175915274502144,1,13,13
5959176636829007872,1,40,40
5959179076370432000,2,26,13
5959189693529587712,1,273,39
5959189934047756288,1,275,40
5959190758681477120,1,196,40
5959195637764325376,1,208,13
5959197664988889088,1,39,13
5959199692213452800,1,195,13
5959207560593539072,1,40,40
5959211821201096704,1,221,13
5959219517782491136,1,240,40
5959222266561560576,2,26,13
5959222369640775680,1,40,40
5959222678878420992,1,13,13
5959223400432926720,1,160,40
5959224018908217344,1,40,40
5959224499944554496,1,40,40
5959228382594990080,1,80,53
5959229482106617856,1,40,40
5959266796782485504,1,120,53
5959279303727251456,1,13,13
5959280059641495552,1,13,13
5959283667414024192,1,1035,40
5959312048557916160,1,719,40
5959328541232332800,1,13,13
5959357918808637440,1,80,53
5959406331679997952,1,40,40
5959430830173454336,1,120,40
5959452682967056384,1,200,40
5959460963664003072,1,13,13
5959461101102956544,1,13,13
5959480170757750784,1,80,53
5959483778530279424,1,26,13
5959486355510657024,1,53,44
5959486664748302336,1,80,53
5959491234593505280,1,80,40
5959491612550627328,1,280,40
5959491715629842432,1,13,13
5959492368464871424,1,40,40
5959492849501208576,1,40,40
5959492918220685312,1,40,40
5959493364897284096,1,79,53
5959493433616760832,1,40,40
5959493605415452672,1,40,40
5959494258250481664,1,40,40
5959538788471406592,1,13,13
5959540643897278464,1,200,40
5959540850055708672,1,13,13
5959544938864574464,1,26,13
5959545041943789568,1,240,40
5959561672057159680,1,33,33
5959561809496113152,1,240,40
5959564901872566272,1,78,13
5959594691765731328,2,46,35
5959631456685785088,1,13,13
5959657879324590080,1,80,53
5959663651760635904,2,80,40
5959663754839851008,2,160,40
5959676742820954112,1,40,40
5959790370475737088,1,13,13
5959872352811483136,1,40,40
5959912553705373696,1,13,13
5959915302484443136,1,2,2
5960018209900855296,1,120,53
5960028071145766912,1,40,40
5960052191682101248,1,160,53
5960094763397939200,1,80,40
5960095519312183296,1,800,40
5960099195804188672,1,80,40
5960101600985874432,1,33,33
5960115173082529792,1,40,40
5960115619759128576,1,40,40
5960116066435727360,1,160,53
5960117612623953920,1,200,40
5960118024940814336,1,2,2
5960122972743139328,1,13,13
5960154549342699520,1,160,40
5960154652421914624,1,13,13
5960154858580344832,1,13,13
5960157847877582848,1,40,40
5960157950956797952,1,13,13
5960157985316536320,1,160,40
5960158054036013056,1,40,40
5960158088395751424,1,80,53
5960159359706071040,1,73,51
5960159428425547776,1,40,40
5960159737663193088,2,53,42
5960159772022931456,1,40,40
5960159806382669824,1,40,40
5960159840742408192,2,80,40
5960159875102146560,1,80,40
5960160493577437184,1,40,40
5960160527937175552,1,40,40
5960160596656652288,1,40,40
5960160905894297600,1,80,53
5960163104917553152,1,40,40
5960163860831797248,1,40,40
5960164479307087872,1,2,2
5960167399884849152,1,40,40
5960179425793277952,1,40,40
5960180456585428992,1,40,40
5960186332100689920,1,2,2
5960187362892840960,1,2,2
5960187706490224640,1,2,2
5960190661427724288,1,40,40
5960194544078159872,1,80,40
5960207841296908288,1,80,40
5960208253613768704,1,80,40
5960208425412460544,1,2,2
5960209215686443008,1,2,2
5960209250046181376,1,40,40
5960210418277285888,1,80,53
5960251272006205440,1,40,40
5960323393097039872,1,33,33
5960328375259103232,1,40,40
5960414961799790592,1,40,40
5960421077833220096,1,40,40
5960434134533799936,1,26,13
5960435508923334656,1,80,40
5960435612002549760,1,13,13
5960454990894989312,1,53,44
5960489247554142208,1,40,40
5960500277030158336,1,200,40
5960533640336113664,1,40,40
5960542814386257920,1,40,40
5960549170937856000,1,240,40
5960553087948029952,1,40,40
5960555802367361024,1,13,13
5960558344988000256,1,40,40
5960558757304860672,1,240,40
5960562846113726464,1,40,40
5960563567668232192,3,93,44
5960564461021429760,1,13,13
5960565354374627328,1,160,40
5960568893427679232,1,40,40
5960569099586109440,1,40,40
5960570061658783744,1,40,40
5960582912200933376,1,40,40
5960739249010507776,1,80,40
5961020861426171904,1,40,40
5961025809228496896,1,240,40
5961028798525734912,1,40,40
5961031100628205568,1,80,40
5961032200139833344,1,40,40
5961033883767013376,1,40,40
5961040102879657984,1,40,40
5961043848091140096,1,40,40
5961062161831690240,1,80,53
5961210355383271424,1,80,53
5961435446029320192,1,9,3
5961441665141964800,1,9,3
5961442489775685632,1,15,3
5961443280049668096,1,9,3
5961444757518417920,1,9,3
5961458467054026752,1,12,3
5961472142229897216,1,9,3
5961517084767682560,1,13,13
5962391814987055104,1,13,13
5963005342475354112,1,160,40
5963116358790021120,1,120,40
5963116839826358272,1,200,40
5964561735544209408,1,993,40
5964899766650273792,1,40,40
5964923749747654656,1,33,33
5965158151882801152,1,13,13
5965202269786865664,1,33,33
5965258241800667136,1,40,40
5965258276160405504,1,40,40
5965307307507056640,1,40,40
5965342320080453632,1,13,13
5965498107134214144,1,80,40
5965514359290462208,1,39,13
5965597784735219712,1,2,2
5965627196671262720,1,26,13
5965889567633440768,1,26,13
5965895202630533120,1,13,13
5965907847014252544,1,13,13
5965984056913952768,1,33,33
5965999140839096320,1,13,13
5966048928099991552,1,13,13
5966141149637771264,1,33,33
