cid,nPts,nObs,nAnalytes
9716062527246303232,1,68,34
9716063901635837952,1,102,34
9716064004715053056,2,68,34
9716075343428714496,2,80,40
9716075377788452864,4,200,40
9716075583946883072,1,160,40
9716077473732493312,6,286,43
9716077508092231680,1,41,38
9716077576811708416,6,12,1
9716077611171446784,91,523,41
9716077748610400256,1,80,40
9716077782970138624,7,87,41
9716077954768830464,7,205,41
9716080806627115008,1,80,40
9716080840986853376,2,80,40
9716080875346591744,1,37,36
9716080909706330112,2,111,36
9716081047145283584,3,259,36
9716081287663452160,1,40,40
9716081803059527680,3,114,38
9716081871779004416,3,152,38
9716083727204876288,1,37,36
9716130078491934720,1,21,3
9716286999417061376,1,38,38
9716289576397438976,1,38,38
9716290538470113280,1,37,37
9716498311808024576,1,38,38
9716511712105988096,1,3,1
9716512261861801984,1,2,1
9716635956919926784,1,76,38
9738487101254533120,1,76,38
9738528195501621248,1,76,38
9738914330241400832,1,37,37
9739011293423075328,1,76,38
9739066921839493120,1,76,38
9739255797321302016,2,120,40
9739256243997900800,4,160,40
9739403647275499520,1,37,37
9739570120207892480,1,76,38
9739891899157708800,2,74,37
9739892036596662272,2,111,37
9739892139675877376,4,228,40
9739892174035615744,1,76,38
9739892208395354112,4,152,38
9739893548425150464,7,304,38
9739893617144627200,4,190,38
9739893651504365568,7,383,38
9739893685864103936,3,228,38
9739893720223842304,1,38,38
9739893823303057408,1,74,37
9739893857662795776,1,37,37
9739893926382272512,1,38,38
9739898496227475456,2,76,38
9739898908544335872,1,38,38
9739899080343027712,6,280,40
9739899217781981184,6,266,38
9739899252141719552,5,228,38
9739899286501457920,8,418,38
9739899320861196288,1,38,38
9739899423940411392,1,38,38
9739899904976748544,2,80,40
9739899939336486912,9,342,38
9739899973696225280,3,313,45
9739900008055963648,5,197,41
9739900042415702016,2,114,38
9739900076775440384,1,38,38
9739901038848114688,1,38,38
9739901279366283264,2,76,38
9739901313726021632,8,358,45
9739901657323405312,1,38,38
9739938731481104384,1,17,16
9739941136662790144,3,148,36
9739941445900435456,1,74,36
9739998689224556544,2,76,38
9740039886550859776,1,76,38
9740063629130072064,4,158,44
9740063663489810432,1,38,38
9740063732209287168,2,120,40
9740064453763792896,3,152,38
9740065175318298624,2,76,38
9740178665534128128,1,38,38
9740178768613343232,3,228,38
9740178802973081600,1,38,38
9740178906052296704,2,76,38
9740182788702732288,1,76,38
9740186465194737664,1,38,38
9740196601317556224,1,38,38
9740235256023220224,1,38,38
9740249549674381312,1,38,38
9740250374308102144,1,38,38
9740254497476706304,1,38,38
9740378742290644992,1,76,37
9740397468348055552,1,76,37
9740397502707793920,1,76,37
9740398636579160064,1,76,37
9740404202856775680,1,76,37
9740425231016656896,1,76,37
9740447599206334464,5,200,40
9740447633566072832,1,40,40
9740457185573339136,1,9,3
