stateName	countyName	nCells	nTierA	medScore	maxNgL	nPfasFac	nRingPfasFac
Indiana	Starke County	1	0	31.805526848612573		0	1
Indiana	Steuben County	1	0	24.61206502877874		0	1
Kansas	Doniphan County	1	0	26.590990278143796		0	1
Maine	Piscataquis County	1	0	46.09616980131194	68.2	0	1
Massachusetts	Bristol County	1	0	38.77349381408502		0	6
Massachusetts	Hampshire County	1	0	48.70707070707072		0	15
Minnesota	Aitkin County	1	0	20.78555442559234	6.88	0	1
Minnesota	Big Stone County	1	0	18.7820471984544	5.47	0	1
Minnesota	Chippewa County	1	0	24.737279421908855	4.4	0	1
Minnesota	Chisago County	1	0	37.3284010777601	66.8	0	1
Minnesota	Goodhue County	1	0	36.29254138081897	87.5	0	1
Minnesota	Houston County	1	0	32.95806024337521	12.2	0	2
Minnesota	Kanabec County	1	0	15.5604310903061	4.1	0	1
Minnesota	Lincoln County	1	0	18.20670921968324	6.11	0	1
Minnesota	Lyon County	1	0	25.784264468438412	0.818	0	2
Minnesota	Martin County	1	0	26.975204282896584		0	1
Minnesota	Redwood County	1	0	31.1923145637818	27.5	0	1
Minnesota	Rice County	1	0	23.177969124102002	14.3	0	1
Minnesota	Todd County	1	0	42.92819225163496	45.7	0	1
Minnesota	Winona County	1	0	25.86623167217882	12.1	0	1
New Hampshire	Cheshire County	1	0	37.95970661107027		0	2
New Hampshire	Merrimack County	1	0	47.47927390969562		0	6
Vermont	Chittenden County	1	0	28.879675531039183		0	2
