cid,nPts,nObs,nAnalytes
9667910033983143936,1,13,13
9668588844974342144,1,13,13
9670490244176150528,1,13,13
9935228798486183936,1,33,33
9935250685639524352,2,46,35
9935251132316123136,1,13,13
9935263501821935616,1,13,13
9935273981542137856,3,59,35
9935287691077746688,2,46,35
9935406026016686080,1,13,13
9935434372800839680,2,26,13
9935437465177292800,1,13,13
9935526113302282240,1,13,13
9935620808741224448,3,59,35
9935671248837148672,1,341,44
9935671317556625408,1,176,66
9935677433590054912,1,27,27
9935680663405461504,1,110,66
9935680903923630080,1,294,30
9935680938283368448,6,195,28
9935681007002845184,1,216,66
9935681041362583552,1,299,30
9935682553191071744,2,365,48
9935685370689617920,1,28,7
9935688806663454720,1,11,6
9935689184620576768,8,315,68
9935689287699791872,1,16,4
9935689390779006976,1,341,44
9935690284132204544,1,341,44
9935696640683802624,2,99,66
9935697121720139776,1,4,4
9935697156079878144,1,338,44
9935708529153277952,1,4,4
9935709319427260416,1,4,4
9935709388146737152,1,28,7
9935710659457056768,3,89,30
9935710762536271872,2,59,30
9935712755401097216,4,156,13
9935712892840050688,4,52,13
9935713202077696000,22,686,30
9935713270797172736,11,327,30
9935713305156911104,9,248,30
9935713751833509888,1,341,44
9935713854912724992,1,296,30
9935713889272463360,6,104,17
9935713923632201728,16,409,32
9935713992351678464,14,340,17
9935714610826969088,2,8,4
9935752990654726144,1,13,13
9935755155318243328,1,33,33
9935758178975219712,1,4,4
9935789411977396224,1,13,13
9935792882310971392,1,13,13
9935807485199777792,1,4,4
9935962619418509312,1,4,4
9935965677435224064,1,4,4
9935970384719380480,2,26,13
9935988217423593472,1,4,4
9936019759663415296,1,33,33
9936226399129960448,2,46,35
9936334288708435968,1,13,13
9936841644605177856,1,33,33
9936865799501250560,1,33,33
9936871984254156800,1,13,13
9936873289924214784,1,13,13
9942563812353769472,1,4,4
