cid,nDet,nDetAnalytes,maxNgL
5522341972783661056,6,6,1.16
5522342453819998208,13,8,2.01
5522342488179736576,20,12,4.35
5522348638572904448,5,5,2.6
5522349016530026496,1,1,2.51
5522351559150665728,8,8,1.41
5522724740269080576,4,4,2.96
5522725496183324672,132,16,104.0
5522725564902801408,24,10,3.15
5522750406993641472,16,10,2.48
5522750613152071680,12,12,4.46
5522751437785792512,8,8,4.82
5522751506505269248,31,12,3.92
5522751643944222720,3,3,1.3
5522751678303961088,14,10,4.68
5522751712663699456,4,4,0.629
5522751987541606400,15,10,6.35
5522752090620821504,223,24,361.0
5522752124980559872,10,10,2.27
5522752159340298240,3,3,0.607
5522752468577943552,15,10,2.66
5522752502937681920,58,16,97.8
5522752606016897024,3,3,2.8
5522752709096112128,18,7,59.5
5522755354795966464,9,6,0.632
5522757622538698752,8,6,2.3
5522789920692764672,1,1,0.29
5522796345963839488,14,7,5.65
5522796380323577856,59,15,15.7
5522796414683316224,19,13,11.68
5522796449043054592,131,26,2290.0
5522796483402792960,1,1,1.01
5522870288120807424,4,4,1.84
5522895645607723008,9,9,4.73
5522903617067024384,8,8,22.9
5522903651426762752,109,20,4430.0
5522904922737082368,157,20,42.2
5522906984321384448,134,17,87.3
5522923683154231296,8,8,42.2
5522923820593184768,26,11,11.2
5522924232910045184,28,10,14.4
5522924267269783552,1,1,0.772
5522924920104812544,37,11,33.2
5522934128514695168,1,1,0.36
5522973229896957952,58,13,13.6
5522973332976173056,2,1,4.53
5523088300660752384,9,9,7.8
5523089949928194048,4,4,8.74
5523089984287932416,1,1,5.13
5523092939225432064,85,18,326.0
5523094519773396992,132,14,53.4
5523100910684733440,22,14,11.0
5523101013763948544,22,11,17.7
5523101048123686912,1,1,0.354
5523101082483425280,43,19,153.74
5523864280992055296,10,10,14.9
5523871049860513792,1,1,0.398
5523872458609786880,22,11,16.1
5523881598300192768,3,3,1.47
5523881632659931136,151,18,76.4
5523882010617053184,2039,25,1674.87
5523882044976791552,36,14,144421
5523890944149028864,39,13,89.9
5523891356465889280,136,15,54.9
5523895273476063232,20,10,6.58
5523896338627952640,3,3,4.92
5523905547037835264,9,6,1.47
5523905787556003840,45,11,329.97
5523905821915742208,9,9,55.24
5523905924994957312,439,31,1208.0
5523906165513125888,37,12,916.577
5523906268592340992,13,5,4.01
5524834840521736192,107,20,984.0
5524834874881474560,13,10,4.19
5524834943600951296,9,5,3.63
5524837383142375424,18,10,5.23
5524845595119845376,157,22,22.9
5525178059948294144,143,17,94.7
5525214481270964224,22,15,390.0
5525218570079830016,44,12,71.3
5525218604439568384,35,10,45.8
5525219085475905536,493,23,5495.2
5525219875749888000,13,13,29.175
5525219978829103104,50,22,http://w3id.org/coso/v1/contaminoso#non-detect
5525220288066748416,4,4,5.41
5525220425505701888,180,22,7444.49
5525220494225178624,330,25,104265
5525220528584916992,2010,23,7901.0
5525220597304393728,44,4,8800.0
5525220631664132096,139,15,2043.15
5525220666023870464,115,14,1264.97
5525220803462823936,185,23,160.0
5525221250139422720,22,12,15.1
5525221525017329664,37,14,115.231
5525221628096544768,14,14,92.121
5525224479954829312,285,19,1730.0
5525224651753521152,38,14,6.95
5525224686113259520,18,6,1.34
5525224720472997888,22,10,4.58
5525224754832736256,7,5,0.92
5525224926631428096,3,3,2.38
5525229977512968192,87,20,870.0
5525230114951921664,81,14,83.279
5525233138608898048,164,20,280.0
5525233413486804992,10,10,8.64
5525233482206281728,26,17,90.5
5525233516566020096,186,19,407.8
5525235921747705856,155,20,27.7
5525236334064566272,8,8,2.53
5525236471503519744,7,7,17.8
5525236505863258112,76,15,48.8
5525240457233170432,176,15,36.0
5525241934701920256,8,5,1.851
5525242072140873728,5,5,4.12
5525242106500612096,13,10,6.06
5525245782992617472,5,5,12.1
5525247535339274240,6,4,0.755
5525286258764414976,153,17,40.3
5525286636721537024,45,13,26.9
5525289248061652992,18,11,2.25
5525289454220083200,42,12,11.5
5525298971867611136,173,19,91.8
5525299315464994816,137,15,44.8
5525300380616884224,153,21,49.5
5525300861653221376,184,22,1670.0
5525308764393046016,176,23,101.0
5525308798752784384,87,19,1180.0
5525311238294208512,25,5,342.0
5525312990640865280,62,15,1960.0
5525313025000603648,26,13,1359.0
5525314846066737152,46,13,170.0
5525315155304382464,6,6,1.12
5525315464542027776,1,1,1.1
5525326631456997376,13,13,265.0
5525327765328363520,32,16,644.3
