cid,stateFips,stateName,countyFips,countyName
9840030401693745152,01,Alabama,01021,"Chilton County, Alabama"
9840047169246068736,01,Alabama,01021,"Chilton County, Alabama"
9840060157227171840,01,Alabama,01001,"Autauga County, Alabama"
9840115167168299008,01,Alabama,01047,"Dallas County, Alabama"
9840138600509865984,01,Alabama,01007,"Bibb County, Alabama"
9840264013554909184,01,Alabama,01047,"Dallas County, Alabama"
9869686635476549632,45,South Carolina,45065,"McCormick County, South Carolina"
9869686635476549632,13,Georgia,13073,"Columbia County, Georgia"
9870770650862321664,45,South Carolina,45013,"Beaufort County, South Carolina"
9870809511726415872,45,South Carolina,45019,"Charleston County, South Carolina"
9870829577813622784,45,South Carolina,45019,"Charleston County, South Carolina"
9870829577813622784,45,South Carolina,45029,"Colleton County, South Carolina"
9871372289881145344,45,South Carolina,45019,"Charleston County, South Carolina"
9871394692430561280,45,South Carolina,45019,"Charleston County, South Carolina"
9871705201386192896,45,South Carolina,45055,"Kershaw County, South Carolina"
9871886998761897984,45,South Carolina,45041,"Florence County, South Carolina"
9871886998761897984,45,South Carolina,45067,"Marion County, South Carolina"
9871945032360001536,45,South Carolina,45043,"Georgetown County, South Carolina"
9871953313056948224,45,South Carolina,45043,"Georgetown County, South Carolina"
9872026396220456960,45,South Carolina,45051,"Horry County, South Carolina"
9934245800731213824,25,Massachusetts,25003,"Berkshire County, Massachusetts"
9935138913410613248,25,Massachusetts,25003,"Berkshire County, Massachusetts"
9935145201242734592,25,Massachusetts,25003,"Berkshire County, Massachusetts"
9935169081260900352,25,Massachusetts,25011,"Franklin County, Massachusetts"
9935228798486183936,33,New Hampshire,33005,"Cheshire County, New Hampshire"
9935228798486183936,50,Vermont,50025,"Windham County, Vermont"
9935250685639524352,33,New Hampshire,33005,"Cheshire County, New Hampshire"
9935250685639524352,50,Vermont,50025,"Windham County, Vermont"
9935251132316123136,33,New Hampshire,33005,"Cheshire County, New Hampshire"
9935251132316123136,50,Vermont,50025,"Windham County, Vermont"
9935263501821935616,25,Massachusetts,25011,"Franklin County, Massachusetts"
9935264601333563392,25,Massachusetts,25011,"Franklin County, Massachusetts"
9935270511208562688,25,Massachusetts,25011,"Franklin County, Massachusetts"
9935273981542137856,25,Massachusetts,25011,"Franklin County, Massachusetts"
9935275081053765632,25,Massachusetts,25011,"Franklin County, Massachusetts"
9935287691077746688,25,Massachusetts,25011,"Franklin County, Massachusetts"
9935296143573385216,25,Massachusetts,25027,"Worcester County, Massachusetts"
9935296452811030528,25,Massachusetts,25027,"Worcester County, Massachusetts"
9935406026016686080,33,New Hampshire,33005,"Cheshire County, New Hampshire"
9935406026016686080,50,Vermont,50025,"Windham County, Vermont"
9935434372800839680,33,New Hampshire,33019,"Sullivan County, New Hampshire"
9935434372800839680,50,Vermont,50027,"Windsor County, Vermont"
9935437465177292800,33,New Hampshire,33019,"Sullivan County, New Hampshire"
9935437465177292800,50,Vermont,50027,"Windsor County, Vermont"
9935526113302282240,33,New Hampshire,33013,"Merrimack County, New Hampshire"
9935531335982514176,33,New Hampshire,33013,"Merrimack County, New Hampshire"
9935575763124224000,33,New Hampshire,33013,"Merrimack County, New Hampshire"
9935620808741224448,33,New Hampshire,33013,"Merrimack County, New Hampshire"
9935628642761572352,33,New Hampshire,33013,"Merrimack County, New Hampshire"
9935671248837148672,33,New Hampshire,33017,"Strafford County, New Hampshire"
9935671248837148672,23,Maine,23031,"York County, Maine"
9935671317556625408,23,Maine,23031,"York County, Maine"
9935671317556625408,33,New Hampshire,33017,"Strafford County, New Hampshire"
9935677433590054912,23,Maine,23031,"York County, Maine"
9935680663405461504,23,Maine,23031,"York County, Maine"
9935680903923630080,23,Maine,23031,"York County, Maine"
9935680938283368448,23,Maine,23031,"York County, Maine"
9935681007002845184,23,Maine,23031,"York County, Maine"
9935681041362583552,23,Maine,23031,"York County, Maine"
9935682484471595008,23,Maine,23031,"York County, Maine"
9935682553191071744,23,Maine,23031,"York County, Maine"
9935682553191071744,33,New Hampshire,33017,"Strafford County, New Hampshire"
9935685370689617920,23,Maine,23031,"York County, Maine"
9935688772303716352,23,Maine,23031,"York County, Maine"
9935688806663454720,23,Maine,23031,"York County, Maine"
9935689184620576768,23,Maine,23031,"York County, Maine"
9935689287699791872,23,Maine,23031,"York County, Maine"
9935689390779006976,23,Maine,23031,"York County, Maine"
9935690284132204544,23,Maine,23031,"York County, Maine"
9935690455930896384,23,Maine,23031,"York County, Maine"
9935696503244849152,23,Maine,23031,"York County, Maine"
9935696640683802624,23,Maine,23031,"York County, Maine"
9935697121720139776,23,Maine,23031,"York County, Maine"
9935697156079878144,23,Maine,23031,"York County, Maine"
9935708529153277952,23,Maine,23031,"York County, Maine"
9935709319427260416,23,Maine,23031,"York County, Maine"
9935709388146737152,23,Maine,23031,"York County, Maine"
9935710659457056768,23,Maine,23031,"York County, Maine"
9935710693816795136,23,Maine,23031,"York County, Maine"
9935710762536271872,23,Maine,23031,"York County, Maine"
9935712755401097216,23,Maine,23031,"York County, Maine"
9935712892840050688,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935712892840050688,23,Maine,23031,"York County, Maine"
9935713202077696000,23,Maine,23031,"York County, Maine"
9935713270797172736,23,Maine,23031,"York County, Maine"
9935713305156911104,23,Maine,23031,"York County, Maine"
9935713717473771520,23,Maine,23031,"York County, Maine"
9935713751833509888,23,Maine,23031,"York County, Maine"
9935713751833509888,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935713854912724992,23,Maine,23031,"York County, Maine"
9935713889272463360,23,Maine,23031,"York County, Maine"
9935713923632201728,23,Maine,23031,"York County, Maine"
9935713992351678464,23,Maine,23031,"York County, Maine"
9935713992351678464,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935714610826969088,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935752990654726144,25,Massachusetts,25009,"Essex County, Massachusetts"
9935755155318243328,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935756426628562944,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935757182542807040,25,Massachusetts,25009,"Essex County, Massachusetts"
9935757182542807040,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935758178975219712,25,Massachusetts,25009,"Essex County, Massachusetts"
9935758178975219712,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935767078147457024,33,New Hampshire,33015,"Rockingham County, New Hampshire"
9935789411977396224,25,Massachusetts,25009,"Essex County, Massachusetts"
9935792813591494656,25,Massachusetts,25009,"Essex County, Massachusetts"
9935792882310971392,25,Massachusetts,25009,"Essex County, Massachusetts"
9935793638225215488,25,Massachusetts,25009,"Essex County, Massachusetts"
9935793913103122432,25,Massachusetts,25009,"Essex County, Massachusetts"
9935795528010825728,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935795528010825728,25,Massachusetts,25009,"Essex County, Massachusetts"
9935798757826232320,25,Massachusetts,25009,"Essex County, Massachusetts"
9935807485199777792,25,Massachusetts,25009,"Essex County, Massachusetts"
9935813360715038720,25,Massachusetts,25009,"Essex County, Massachusetts"
9935814769464311808,25,Massachusetts,25009,"Essex County, Massachusetts"
9935823325039165440,25,Massachusetts,25009,"Essex County, Massachusetts"
9935928122241187840,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935932485927960576,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935939186076942336,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935940285588570112,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935940354308046848,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935943859001360384,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935943927720837120,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935944202598744064,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935945473909063680,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935953548447580160,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935954785398161408,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935960523474468864,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935961829144526848,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935961863504265216,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935962138382172160,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935962619418509312,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935962756857462784,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935965539996270592,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935965677435224064,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935970384719380480,25,Massachusetts,25009,"Essex County, Massachusetts"
9935988217423593472,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935988251783331840,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935988320502808576,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935989213856006144,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9935989213856006144,33,New Hampshire,33011,"Hillsborough County, New Hampshire"
9936019759663415296,33,New Hampshire,33011,"Hillsborough County, New Hampshire"
9936020446858182656,33,New Hampshire,33011,"Hillsborough County, New Hampshire"
9936035874380709888,25,Massachusetts,25027,"Worcester County, Massachusetts"
9936036389776785408,25,Massachusetts,25027,"Worcester County, Massachusetts"
9936038417001349120,25,Massachusetts,25027,"Worcester County, Massachusetts"
9936040993981726720,25,Massachusetts,25027,"Worcester County, Massachusetts"
9936041028341465088,25,Massachusetts,25027,"Worcester County, Massachusetts"
9936041200140156928,25,Massachusetts,25027,"Worcester County, Massachusetts"
9936043089925767168,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9936043605321842688,25,Massachusetts,25017,"Middlesex County, Massachusetts"
9936043605321842688,25,Massachusetts,25027,"Worcester County, Massachusetts"
9936047797209923584,25,Massachusetts,25027,"Worcester County, Massachusetts"
9936048072087830528,25,Massachusetts,25027,"Worcester County, Massachusetts"
