pt,cid,lat,lon,layer
samplePoint.39899,5522903651426762752,45.653970,-68.602056,EGAD
samplePoint.39902,5522903651426762752,45.656567,-68.601623,EGAD
samplePoint.39905,5522903651426762752,45.657550,-68.601030,EGAD
samplePoint.39906,5522903651426762752,45.655276,-68.602384,EGAD
samplePoint.150045,5522904922737082368,45.636276,-68.671611,EGAD
samplePoint.150041,5522906984321384448,45.619935,-68.569796,EGAD
samplePoint.146238,5522923683154231296,45.453523,-68.418327,EGAD
samplePoint.148055,5522923683154231296,45.456830,-68.412880,EGAD
samplePoint.146233,5522923820593184768,45.451558,-68.368880,EGAD
samplePoint.146235,5522923820593184768,45.453804,-68.367449,EGAD
samplePoint.146236,5522923820593184768,45.455177,-68.366870,EGAD
samplePoint.146237,5522923820593184768,45.457098,-68.367908,EGAD
samplePoint.153985,5522924164190568448,45.424321,-68.417356,EGAD
samplePoint.153976,5522924232910045184,45.416197,-68.446722,EGAD
samplePoint.153977,5522924232910045184,45.416967,-68.442152,EGAD
samplePoint.153980,5522924232910045184,45.416450,-68.446441,EGAD
samplePoint.153981,5522924232910045184,45.416712,-68.446352,EGAD
samplePoint.153983,5522924232910045184,45.415978,-68.446630,EGAD
samplePoint.153984,5522924232910045184,45.416147,-68.439413,EGAD
samplePoint.154014,5522924232910045184,45.416546,-68.444262,EGAD
samplePoint.153997,5522924267269783552,45.431127,-68.433458,EGAD
samplePoint.153994,5522924920104812544,45.433292,-68.442961,EGAD
samplePoint.153996,5522924920104812544,45.432975,-68.441323,EGAD
samplePoint.153998,5522924920104812544,45.432065,-68.440736,EGAD
samplePoint.153982,5522924954464550912,45.420478,-68.446915,EGAD
samplePoint.146231,5522934128514695168,45.443611,-68.357325,EGAD
samplePoint.150108,5522973229896957952,45.242402,-67.628476,EGAD
samplePoint.149092,5522973332976173056,45.240821,-67.630329,EGAD
samplePoint.65570,5523088300660752384,45.267649,-67.477946,EGAD
samplePoint.132008,5523089949928194048,45.218050,-67.550011,EGAD
samplePoint.132009,5523089984287932416,45.220689,-67.571023,EGAD
samplePoint.145973,5523092939225432064,45.187476,-67.430911,EGAD
samplePoint.145978,5523092939225432064,45.188002,-67.432949,EGAD
samplePoint.137183,5523094519773396992,45.188788,-67.271800,EGAD
samplePoint.146494,5523094519773396992,45.189816,-67.277482,EGAD
samplePoint.149995,5523094519773396992,45.190536,-67.271574,EGAD
samplePoint.154837,5523100910684733440,45.163584,-67.242005,EGAD
samplePoint.154839,5523100910684733440,45.165233,-67.243231,EGAD
samplePoint.154840,5523100910684733440,45.165290,-67.246019,EGAD
samplePoint.154841,5523101013763948544,45.167914,-67.244197,EGAD
samplePoint.108970,5523101048123686912,45.168237,-67.271838,EGAD
samplePoint.108972,5523101082483425280,45.170247,-67.272922,EGAD
samplePoint.108973,5523101082483425280,45.168996,-67.275428,EGAD
samplePoint.143654,5523101082483425280,45.172827,-67.277337,EGAD
samplePoint.153420,5523864280992055296,44.863289,-67.411029,EGAD
samplePoint.153434,5523871015500775424,44.905547,-67.061069,EGAD
samplePoint.153430,5523871049860513792,44.900695,-67.054491,EGAD
samplePoint.153431,5523871049860513792,44.899973,-67.055242,EGAD
samplePoint.153432,5523871049860513792,44.901253,-67.054462,EGAD
samplePoint.153612,5523872355530571776,44.909846,-67.021710,EGAD
samplePoint.153615,5523872355530571776,44.909214,-67.018379,EGAD
samplePoint.153616,5523872458609786880,44.908051,-67.012517,EGAD
samplePoint.138215,5523872492969525248,44.902883,-66.996337,EGAD
samplePoint.150581,5523872492969525248,44.902879,-66.996269,EGAD
samplePoint.137576,5523873764279844864,44.855031,-66.982832,EGAD
samplePoint.146349,5523881598300192768,44.704230,-67.290855,EGAD
samplePoint.146614,5523881598300192768,44.699884,-67.287646,EGAD
samplePoint.143068,5523881632659931136,44.698332,-67.294261,EGAD
samplePoint.143620,5523881632659931136,44.695874,-67.291209,EGAD
samplePoint.142227,5523882010617053184,44.700391,-67.295397,EGAD
samplePoint.143062,5523882010617053184,44.699264,-67.300226,EGAD
samplePoint.143063,5523882010617053184,44.698409,-67.299909,EGAD
samplePoint.143067,5523882010617053184,44.698589,-67.300051,EGAD
samplePoint.143072,5523882010617053184,44.698758,-67.299370,EGAD
samplePoint.143120,5523882010617053184,44.700421,-67.294951,EGAD
samplePoint.143164,5523882010617053184,44.699335,-67.298338,EGAD
samplePoint.143165,5523882010617053184,44.699527,-67.297088,EGAD
samplePoint.55654,5523882010617053184,44.697301,-67.299811,EGAD
samplePoint.55655,5523882010617053184,44.697160,-67.299682,EGAD
samplePoint.55656,5523882010617053184,44.697464,-67.299684,EGAD
samplePoint.55657,5523882010617053184,44.697451,-67.299413,EGAD
samplePoint.55658,5523882010617053184,44.698074,-67.299488,EGAD
samplePoint.55659,5523882010617053184,44.697442,-67.297772,EGAD
samplePoint.55660,5523882010617053184,44.697322,-67.298316,EGAD
samplePoint.55661,5523882010617053184,44.699194,-67.300536,EGAD
samplePoint.55662,5523882010617053184,44.698130,-67.298479,EGAD
samplePoint.55663,5523882010617053184,44.697402,-67.298486,EGAD
samplePoint.55664,5523882010617053184,44.697469,-67.298947,EGAD
samplePoint.55692,5523882010617053184,44.698145,-67.298118,EGAD
samplePoint.55709,5523882010617053184,44.698942,-67.300385,EGAD
samplePoint.55711,5523882010617053184,44.699432,-67.300561,EGAD
samplePoint.55712,5523882010617053184,44.699714,-67.300559,EGAD
samplePoint.55713,5523882010617053184,44.699917,-67.300670,EGAD
samplePoint.55714,5523882010617053184,44.699323,-67.299275,EGAD
samplePoint.55715,5523882010617053184,44.698123,-67.298687,EGAD
samplePoint.55717,5523882010617053184,44.698905,-67.298509,EGAD
samplePoint.55721,5523882010617053184,44.697665,-67.299371,EGAD
samplePoint.55722,5523882010617053184,44.698155,-67.297960,EGAD
samplePoint.142224,5523882044976791552,44.700468,-67.294642,EGAD
samplePoint.142225,5523882044976791552,44.701048,-67.294635,EGAD
samplePoint.142226,5523882044976791552,44.700597,-67.294797,EGAD
samplePoint.153440,5523889157442633728,44.781332,-67.399342,EGAD
samplePoint.153443,5523889157442633728,44.781889,-67.399982,EGAD
samplePoint.151418,5523890944149028864,44.711340,-67.474258,EGAD
samplePoint.137578,5523891356465889280,44.720141,-67.453588,EGAD
samplePoint.150111,5523891356465889280,44.717642,-67.451482,EGAD
samplePoint.146495,5523892078020395008,44.740530,-67.385998,EGAD
samplePoint.153438,5523895239116324864,44.663870,-67.456356,EGAD
samplePoint.153425,5523895273476063232,44.665150,-67.458991,EGAD
samplePoint.153427,5523895273476063232,44.663703,-67.464960,EGAD
samplePoint.153428,5523895273476063232,44.664328,-67.462009,EGAD
samplePoint.153429,5523895273476063232,44.664531,-67.461538,EGAD
samplePoint.153437,5523895273476063232,44.664829,-67.458314,EGAD
samplePoint.148690,5523896338627952640,44.700494,-67.475698,EGAD
samplePoint.142230,5523905547037835264,44.663097,-67.296465,EGAD
samplePoint.142231,5523905547037835264,44.663534,-67.296788,EGAD
samplePoint.142232,5523905547037835264,44.663099,-67.297015,EGAD
samplePoint.142233,5523905547037835264,44.662699,-67.296919,EGAD
samplePoint.142228,5523905787556003840,44.641070,-67.294173,EGAD
samplePoint.142229,5523905787556003840,44.640538,-67.293729,EGAD
samplePoint.143124,5523905821915742208,44.645213,-67.283234,EGAD
samplePoint.106005,5523905924994957312,44.663590,-67.293112,EGAD
samplePoint.106006,5523905924994957312,44.662975,-67.294877,EGAD
samplePoint.106007,5523905924994957312,44.662559,-67.294942,EGAD
samplePoint.106008,5523905924994957312,44.662860,-67.295392,EGAD
samplePoint.106009,5523905924994957312,44.663721,-67.295454,EGAD
samplePoint.106017,5523905924994957312,44.663678,-67.294343,EGAD
samplePoint.106018,5523905924994957312,44.663910,-67.294781,EGAD
samplePoint.106075,5523905924994957312,44.663678,-67.294343,EGAD
samplePoint.106076,5523905924994957312,44.663910,-67.294781,EGAD
samplePoint.106077,5523905924994957312,44.664005,-67.294293,EGAD
samplePoint.106078,5523905924994957312,44.664300,-67.294232,EGAD
samplePoint.140919,5523905924994957312,44.665772,-67.286367,EGAD
samplePoint.73176,5523905924994957312,44.666074,-67.285757,EGAD
samplePoint.73178,5523905924994957312,44.666238,-67.284947,EGAD
samplePoint.73180,5523905924994957312,44.666198,-67.285040,EGAD
samplePoint.73181,5523905924994957312,44.665490,-67.285882,EGAD
samplePoint.73185,5523905924994957312,44.665704,-67.286655,EGAD
samplePoint.73186,5523905924994957312,44.665570,-67.286859,EGAD
samplePoint.73188,5523905924994957312,44.665299,-67.286682,EGAD
samplePoint.84666,5523905924994957312,44.665492,-67.285933,EGAD
