pt,cid,lat,lon,layer
samplePoint.65463,5527000672270024704,44.504951,-70.675420,EGAD
samplePoint.146472,5527000775349239808,44.493404,-70.694577,EGAD
USGS-443021071092501,5527037093592694784,44.506833,-71.156314,WQP
OST_SHPD-NRS18_NH_10002,5527140894362304512,44.243090,-72.048190,WQP
OST_SHPD-NRSA1314-NHR9-0901,5527140894362304512,44.243080,-72.048180,WQP
OST_SHPD-NRS18_NH_10004,5527254247139180544,43.865810,-72.178220,WQP
OST_SHPD-NRSA1314-NHR9-0903,5527254247139180544,43.865810,-72.178220,WQP
OST_SHPD-NRSA0809-VT016,5527265139176243200,43.659770,-72.339740,WQP
OST_SHPD-NRSA1314-VTR9-0904,5527282834441502720,43.797490,-72.500900,WQP
OST_SHPD-NRSA1314-VTR9-0902,5527368493269254144,43.792970,-72.676310,WQP
OST_SHPD-NRSA0809-VT018,5527502049572290560,44.318230,-72.726940,WQP
OST_SHPD-NRS18_NH_10007,5527772254554816512,44.863970,-71.548170,WQP
OST_SHPD-NRSA1314-NHRM-1001,5527772254554816512,44.863970,-71.548170,WQP
samplePoint.138745,5528928803348283392,45.650417,-68.724757,EGAD
samplePoint.146480,5528930074658603008,45.663699,-68.706400,EGAD
OST_SHPD-NRSA1314-MER9-0903,5528958009125896192,45.878670,-68.620340,WQP
samplePoint.136983,5528958009125896192,45.878679,-68.620340,EGAD
OST_SHPD-NRS18_ME_10007,5528962338452930560,45.898670,-68.614120,WQP
OST_SHPD-NRSA1314-MERM-1001,5528962338452930560,45.898670,-68.614110,WQP
samplePoint.136995,5528962338452930560,45.898679,-68.614110,EGAD
samplePoint.148991,5528964881073569792,45.967178,-68.510872,EGAD
samplePoint.152250,5528965946225459200,45.984799,-68.440520,EGAD
samplePoint.63793,5528965946225459200,45.982215,-68.439440,EGAD
samplePoint.148570,5529086480187654144,46.477459,-68.454411,EGAD
samplePoint.149989,5529118675262504960,46.638369,-68.412845,EGAD
samplePoint.148557,5529364690989219840,47.089169,-69.023756,EGAD
OST_SHPD-NRSA1314-MER9-0902,5529365549982679040,47.154280,-68.944240,WQP
samplePoint.136981,5529365549982679040,47.154290,-68.944240,EGAD
OST_SHPD-NRS18_ME_10013,5529371562936893440,47.208660,-68.822820,WQP
samplePoint.151377,5529374346075701248,47.209421,-68.793448,EGAD
samplePoint.150598,5529383657564798976,47.209040,-68.553749,EGAD
samplePoint.149967,5529383691924537344,47.208607,-68.552139,EGAD
samplePoint.150201,5529384550917996544,47.249467,-68.603956,EGAD
samplePoint.148465,5529388021251571712,47.274853,-68.409295,EGAD
samplePoint.148467,5529388021251571712,47.275319,-68.409322,EGAD
samplePoint.148468,5529388021251571712,47.274903,-68.408421,EGAD
samplePoint.148469,5529388055611310080,47.275443,-68.408367,EGAD
samplePoint.151344,5529390598231949312,47.165563,-68.516427,EGAD
samplePoint.152008,5529399566123663360,47.036907,-68.571381,EGAD
samplePoint.70089,5529399566123663360,47.035976,-68.579013,EGAD
samplePoint.146483,5529457805880197120,46.916295,-68.249232,EGAD
samplePoint.153506,5529476497577869312,46.690826,-68.116479,EGAD
samplePoint.149089,5529476669376561152,46.697029,-68.127409,EGAD
samplePoint.150225,5529476669376561152,46.694654,-68.131575,EGAD
samplePoint.138586,5529480345868566528,46.632225,-68.052734,EGAD
samplePoint.138585,5529480517667258368,46.633315,-68.047285,EGAD
samplePoint.140173,5529480517667258368,46.639130,-68.050474,EGAD
samplePoint.138584,5529480552026996736,46.633215,-68.044873,EGAD
samplePoint.133805,5529480723825688576,46.623174,-68.043622,EGAD
samplePoint.137582,5529480723825688576,46.630152,-68.043039,EGAD
samplePoint.137587,5529480723825688576,46.626838,-68.042447,EGAD
samplePoint.137588,5529480723825688576,46.626186,-68.039435,EGAD
samplePoint.137589,5529480723825688576,46.625169,-68.044094,EGAD
samplePoint.138583,5529480723825688576,46.632739,-68.045135,EGAD
samplePoint.145688,5529480723825688576,46.626964,-68.049071,EGAD
samplePoint.145689,5529480723825688576,46.625414,-68.047643,EGAD
samplePoint.145690,5529480723825688576,46.624129,-68.044410,EGAD
samplePoint.42100,5529480723825688576,46.626964,-68.049071,EGAD
samplePoint.42101,5529480723825688576,46.625366,-68.047500,EGAD
samplePoint.42102,5529480723825688576,46.624086,-68.044245,EGAD
samplePoint.42103,5529480723825688576,46.626316,-68.043667,EGAD
samplePoint.42104,5529480723825688576,46.628053,-68.043171,EGAD
samplePoint.42107,5529480723825688576,46.625264,-68.047501,EGAD
samplePoint.42109,5529480723825688576,46.623963,-68.044268,EGAD
samplePoint.42110,5529480723825688576,46.627333,-68.050344,EGAD
samplePoint.138587,5529480792545165312,46.613001,-68.042697,EGAD
samplePoint.137584,5529480826904903680,46.608844,-68.041132,EGAD
samplePoint.137585,5529480826904903680,46.607986,-68.036742,EGAD
samplePoint.137586,5529480826904903680,46.607486,-68.042400,EGAD
samplePoint.146224,5529481239221764096,46.584449,-68.070952,EGAD
samplePoint.140174,5529481307941240832,46.588444,-68.063900,EGAD
samplePoint.140176,5529481307941240832,46.586745,-68.065301,EGAD
samplePoint.151345,5529481307941240832,46.587144,-68.065213,EGAD
samplePoint.140177,5529481342300979200,46.583140,-68.066046,EGAD
samplePoint.140178,5529481342300979200,46.582835,-68.065976,EGAD
samplePoint.140180,5529481342300979200,46.584555,-68.066430,EGAD
samplePoint.145141,5529481342300979200,46.580682,-68.064792,EGAD
samplePoint.150312,5529481342300979200,46.584275,-68.067295,EGAD
samplePoint.150314,5529481342300979200,46.584356,-68.067999,EGAD
samplePoint.150315,5529481342300979200,46.583806,-68.067236,EGAD
samplePoint.151346,5529481342300979200,46.584555,-68.066430,EGAD
samplePoint.151347,5529481342300979200,46.582691,-68.064630,EGAD
samplePoint.113911,5529481514099671040,46.596151,-68.036923,EGAD
samplePoint.138042,5529481548459409408,46.602964,-68.035596,EGAD
samplePoint.150004,5529481548459409408,46.602889,-68.035912,EGAD
samplePoint.70552,5529481548459409408,46.603032,-68.035671,EGAD
samplePoint.82787,5529481548459409408,46.602527,-68.036464,EGAD
samplePoint.88896,5529481548459409408,46.602632,-68.039666,EGAD
samplePoint.146482,5529486083944873984,46.704134,-68.007506,EGAD
samplePoint.150103,5529486083944873984,46.703260,-68.008109,EGAD
samplePoint.65550,5529487252175978496,46.678641,-68.086555,EGAD
samplePoint.145143,5529488042449960960,46.741191,-68.023745,EGAD
samplePoint.148572,5529488935803158528,46.776260,-67.970287,EGAD
samplePoint.139219,5529489038882373632,46.765907,-67.977375,EGAD
samplePoint.137592,5529489829156356096,46.749627,-67.978369,EGAD
samplePoint.137593,5529489829156356096,46.748536,-67.976138,EGAD
samplePoint.137594,5529489829156356096,46.747535,-67.976105,EGAD
samplePoint.138589,5529489829156356096,46.747296,-67.971958,EGAD
samplePoint.148328,5529491066106937344,46.727410,-67.818275,EGAD
samplePoint.148233,5529491306625105920,46.751926,-67.847239,EGAD
samplePoint.148243,5529491340984844288,46.744910,-67.840678,EGAD
samplePoint.148319,5529491340984844288,46.743459,-67.840438,EGAD
samplePoint.148234,5529491444064059392,46.734012,-67.822148,EGAD
samplePoint.148236,5529491444064059392,46.729973,-67.818211,EGAD
samplePoint.148326,5529491444064059392,46.733887,-67.817508,EGAD
samplePoint.148327,5529491444064059392,46.730966,-67.818535,EGAD
samplePoint.148244,5529491478423797760,46.740943,-67.818280,EGAD
samplePoint.148325,5529491478423797760,46.739109,-67.817851,EGAD
samplePoint.148343,5529491478423797760,46.739409,-67.818801,EGAD
samplePoint.148341,5529491512783536128,46.748474,-67.818320,EGAD
samplePoint.148342,5529491512783536128,46.745491,-67.818314,EGAD
samplePoint.148250,5529491547143274496,46.749405,-67.819341,EGAD
samplePoint.148338,5529491547143274496,46.751404,-67.819064,EGAD
samplePoint.148339,5529491547143274496,46.750855,-67.819117,EGAD
samplePoint.148340,5529491547143274496,46.751847,-67.821778,EGAD
samplePoint.148235,5529491581503012864,46.747828,-67.800425,EGAD
samplePoint.148251,5529491615862751232,46.759921,-67.803571,EGAD
samplePoint.148249,5529491650222489600,46.762306,-67.805779,EGAD
samplePoint.148253,5529491650222489600,46.760688,-67.805180,EGAD
samplePoint.148322,5529491650222489600,46.764885,-67.806323,EGAD
samplePoint.148323,5529491650222489600,46.763769,-67.806075,EGAD
samplePoint.148324,5529491650222489600,46.762883,-67.805911,EGAD
samplePoint.148242,5529491822021181440,46.769643,-67.852358,EGAD
samplePoint.148336,5529491822021181440,46.769303,-67.851513,EGAD
samplePoint.148337,5529491822021181440,46.769445,-67.852860,EGAD
samplePoint.148248,5529491856380919808,46.775994,-67.864907,EGAD
samplePoint.148237,5529491925100396544,46.760944,-67.856119,EGAD
samplePoint.148245,5529491925100396544,46.760215,-67.859317,EGAD
samplePoint.148246,5529491925100396544,46.759460,-67.859054,EGAD
samplePoint.148247,5529492852813332480,46.777440,-67.857756,EGAD
samplePoint.138033,5529492887173070848,46.778400,-67.844957,EGAD
samplePoint.148239,5529492887173070848,46.781129,-67.847436,EGAD
samplePoint.148240,5529492887173070848,46.782055,-67.847016,EGAD
samplePoint.148321,5529492887173070848,46.781921,-67.848669,EGAD
samplePoint.150199,5529492887173070848,46.779122,-67.843053,EGAD
samplePoint.153462,5529492921532809216,46.774198,-67.834172,EGAD
samplePoint.148329,5529493505648361472,46.820155,-67.789703,EGAD
samplePoint.150200,5529496254427430912,46.850186,-67.955029,EGAD
samplePoint.65454,5529496254427430912,46.854310,-67.956417,EGAD
samplePoint.90009,5529496254427430912,46.850256,-67.955075,EGAD
samplePoint.153460,5529496323146907648,46.842881,-67.945572,EGAD
samplePoint.152435,5529496529305337856,46.855952,-67.901461,EGAD
samplePoint.152436,5529496529305337856,46.855952,-67.901575,EGAD
samplePoint.152437,5529496529305337856,46.857399,-67.901823,EGAD
samplePoint.152438,5529496529305337856,46.855585,-67.901789,EGAD
samplePoint.152439,5529496529305337856,46.855923,-67.901616,EGAD
samplePoint.148677,5529496563665076224,46.863428,-67.901075,EGAD
samplePoint.42140,5529496598024814592,46.864246,-67.909340,EGAD
samplePoint.42148,5529496598024814592,46.864142,-67.913089,EGAD
samplePoint.42153,5529496598024814592,46.862373,-67.911243,EGAD
samplePoint.148549,5529496701104029696,46.862750,-67.943323,EGAD
samplePoint.146484,5529497079061151744,46.856135,-68.003078,EGAD
samplePoint.153458,5529497079061151744,46.855837,-68.001965,EGAD
samplePoint.132000,5529497353939058688,46.873179,-68.015068,EGAD
samplePoint.80589,5529498693968855040,46.829396,-67.996256,EGAD
samplePoint.149991,5529500343236296704,46.763493,-68.139408,EGAD
samplePoint.80590,5529505016160714752,46.900737,-68.107691,EGAD
samplePoint.148551,5529507043385278464,46.966329,-68.013501,EGAD
samplePoint.66917,5529511647590219776,46.964795,-67.876356,EGAD
samplePoint.73579,5529511647590219776,46.964464,-67.875577,EGAD
samplePoint.80588,5529511647590219776,46.966320,-67.872064,EGAD
samplePoint.122273,5529511681949958144,46.969384,-67.890951,EGAD
samplePoint.122274,5529511681949958144,46.969332,-67.890646,EGAD
samplePoint.122276,5529511681949958144,46.969582,-67.890751,EGAD
samplePoint.122277,5529511681949958144,46.969139,-67.892702,EGAD
samplePoint.122278,5529511681949958144,46.969582,-67.890752,EGAD
samplePoint.122279,5529511681949958144,46.969459,-67.890501,EGAD
samplePoint.122280,5529511681949958144,46.969066,-67.890257,EGAD
samplePoint.122309,5529511991187603456,46.952122,-67.911195,EGAD
samplePoint.66409,5529511991187603456,46.953732,-67.910123,EGAD
samplePoint.66474,5529511991187603456,46.952305,-67.911042,EGAD
samplePoint.80577,5529511991187603456,46.952089,-67.911135,EGAD
samplePoint.122310,5529512025547341824,46.958933,-67.903195,EGAD
samplePoint.128418,5529512025547341824,46.954838,-67.894329,EGAD
samplePoint.128419,5529512025547341824,46.956520,-67.895418,EGAD
samplePoint.128438,5529512025547341824,46.955701,-67.894609,EGAD
samplePoint.128439,5529512025547341824,46.955874,-67.893477,EGAD
