cid,nPts,nObs,nAnalytes
9280279133756063744,1,76,38
9281061573718179840,1,33,33
9281391014889652224,1,76,38
9281427195694153728,1,13,13
9281428776242118656,1,38,38
9282260522428792832,1,13,13
9282260625508007936,1,76,38
9282270108795797504,1,13,13
9282298249421520896,1,68,34
9282461836135890944,1,38,38
9282461870495629312,5,229,38
9282461904855367680,5,228,38
9282461939215106048,2,76,38
9282533373111173120,1,76,38
9282662978044297216,1,76,38
9282663287281942528,1,76,37
9283266128891609088,1,2,1
9283268224835649536,1,4,1
9283268912030416896,1,2,1
9283272416723730432,1,2,1
9283272554162683904,1,3,1
9283525922873409536,1,2,1
9283562172397387776,1,1,1
9283696553334145024,1,2,1
9283703700159725568,2,3,1
9283703906318155776,1,2,1
9283706242780364800,1,3,1
9283706620737486848,1,2,1
9283740843036901376,1,1,1
9283741083555069952,1,1,1
9283760909124108288,1,2,1
9283771423204048896,1,152,38
9283877113759268864,1,76,38
9283877251198222336,1,76,38
9283878144551419904,3,152,38
9283878178911158272,3,227,38
