tier	nCells	medScore	medDetFreq	medMaxNgL	nDetections
A	184	48.61848040583736	0.26282894736842105	36.8	10358
B	414	37.96255733132488	0.23199535363964896	29.6	25202
C	1061	18.0952380952381	0.2	16.2945	66140
D	443	13.166466903279847	0.18181818181818182	7.985	26643
N	435		0.0		0
X	412				0
