cid,neighborCid,frsId,facName,naics
5525435998504222720,5525436032863961088,110025247800,AIR NATIONAL GUARD 101ST AIR REFUEL WING,928110
5525435998504222720,5525436101583437824,110000865617,MAINE ARMY NATIONAL GUARD,811118
5525435998504222720,5525436101583437824,110000865617,MAINE ARMY NATIONAL GUARD,928110
5525435998504222720,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,221320
5525435998504222720,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,488119
5525435998504222720,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,811118
5525435998504222720,5525436101583437824,110060253951,"C & L AVIATION SERVICES, LLC",481111
5525435998504222720,5525436101583437824,110060253951,"C & L AVIATION SERVICES, LLC",488190
5525436032863961088,5525435964144484352,110037143221,U.S. ARMY MAINE NATIONAL GUARD BANGOR TRAINING SITE RANGE,928110
5525436032863961088,5525436101583437824,110000865617,MAINE ARMY NATIONAL GUARD,811118
5525436032863961088,5525436101583437824,110000865617,MAINE ARMY NATIONAL GUARD,928110
5525436032863961088,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,221320
5525436032863961088,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,488119
5525436032863961088,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,811118
5525436032863961088,5525436101583437824,110060253951,"C & L AVIATION SERVICES, LLC",481111
5525436032863961088,5525436101583437824,110060253951,"C & L AVIATION SERVICES, LLC",488190
5525436170302914560,5525435964144484352,110037143221,U.S. ARMY MAINE NATIONAL GUARD BANGOR TRAINING SITE RANGE,928110
5525436170302914560,5525436101583437824,110000865617,MAINE ARMY NATIONAL GUARD,811118
5525436170302914560,5525436101583437824,110000865617,MAINE ARMY NATIONAL GUARD,928110
5525436170302914560,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,221320
5525436170302914560,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,488119
5525436170302914560,5525436101583437824,110041432170,BANGOR INTERNATIONAL AIRPORT,811118
5525436170302914560,5525436101583437824,110060253951,"C & L AVIATION SERVICES, LLC",481111
5525436170302914560,5525436101583437824,110060253951,"C & L AVIATION SERVICES, LLC",488190
5525436788778205184,5525436685698990080,110038921619,IRVING ENERGY DISTRIBUTION AND MARKETING BREWER,42471
5525436788778205184,5525436685698990080,110038921619,IRVING ENERGY DISTRIBUTION AND MARKETING BREWER,424710
5525436788778205184,5525436685698990080,110038921619,IRVING ENERGY DISTRIBUTION AND MARKETING BREWER,454311
5525436788778205184,5525436685698990080,110038921619,IRVING ENERGY DISTRIBUTION AND MARKETING BREWER,811411
5525436788778205184,5525436823137943552,110000314561,EASTERN FINE PAPER,237990
