pt,cid,lat,lon,layer
samplePoint.136911,9801268321847345152,43.032065,-87.914519,EGAD
OST_SHPD-NRSA1314-ILRM-1001,9802262142919901184,42.478330,-89.056040,WQP
USGS-412059088495201,9802458955501273088,41.349583,-88.831139,WQP
USGS-05553700,9802463937663336448,41.324756,-88.983969,WQP
USGS-411904089040401,9802469744459120640,41.317639,-89.067861,WQP
OST_SHPD-NRSA0809-IL022,9802555884323209216,41.900020,-89.482150,WQP
OST_SHPD-NRSA1314-ILR9-0907,9802555884323209216,41.900020,-89.482150,WQP
OST_SHPD-NRS18_IL_10024,9802607733168406528,41.713760,-89.906750,WQP
OST_SHPD-NRSA1314-ILR9-0902,9802629379803578368,41.485850,-89.848480,WQP
USGS-404848089325301,9802735448315920384,40.813417,-89.547972,WQP
USGS-05563590,9802745034682925056,40.635038,-89.622322,WQP
USGS-05568500,9802798532795564032,40.553439,-89.777272,WQP
USGS-403307089434701,9802802037488877568,40.552000,-89.729639,WQP
OST_SHPD-NRSA0809-IL036,9802867286632038400,40.153770,-89.675510,WQP
USGS-05558300,9803155083800608768,41.107278,-89.356222,WQP
USGS-411123088061201,9803725111860133888,41.189778,-88.103361,WQP
OST_SHPD-NRSA0809-IL018,9803734320270016512,41.151960,-87.914180,WQP
OST_SHPD-NRSA1314-ILR9-0906,9803734320270016512,41.151960,-87.914180,WQP
USGS-410123087385601,9803757478733676544,41.023083,-87.649083,WQP
USGS-405942087334101,9803762186017832960,40.995111,-87.561333,WQP
USGS-410925087333201,9803765450192977920,41.156972,-87.559000,WQP
USGS-410859087370001,9803766171747483648,41.149889,-87.616917,WQP
USGS-413832087334301,9803809465017827328,41.642400,-87.562169,WQP
USGS-413908087403101,9803812351235850240,41.652481,-87.675470,WQP
USGS-413909087392101,9803812488674803712,41.652681,-87.655950,WQP
USGS-413944087370901,9803813038430617600,41.662461,-87.619239,WQP
USGS-414029087351601,9803816165166809088,41.674739,-87.587839,WQP
USGS-414319087323701,9803817367757651968,41.722020,-87.543520,WQP
USGS-415322087362801,9803821044249657344,41.889472,-87.607764,WQP
USGS-415236087364001,9803821112969134080,41.876722,-87.611028,WQP
EPA_GLNPO-J,9803821868883378176,41.834444,-87.624722,WQP
USGS-414952087392701,9803822040682070016,41.831055,-87.657389,WQP
USGS-05536118,9803822693517099008,41.892333,-87.642361,WQP
USGS-415035087395101,9803823689949511680,41.843269,-87.664339,WQP
USGS-414841087461301,9803827675679162368,41.811333,-87.770222,WQP
USGS-05536140,9803827744398639104,41.816722,-87.753472,WQP
USGS-05536152,9803848394601398272,41.700587,-87.939502,WQP
USGS-05536700,9803848394601398272,41.696389,-87.941667,WQP
USGS-05537980,9803886499551248384,41.536472,-88.083694,WQP
USGS-05537000,9803886980587585536,41.570278,-88.079444,WQP
USGS-412302088154701,9803918797705314304,41.383833,-88.262917,WQP
USGS-05539670,9803920996728569856,41.414444,-88.214444,WQP
USGS-412012088274601,9803948553238740992,41.336667,-88.462778,WQP
USGS-05543010,9803957864727838720,41.299889,-88.614194,WQP
USGS-05543500,9803962400213303296,41.327000,-88.717083,WQP
USGS-420012088191101,9804060084949483520,42.003444,-88.319806,WQP
USGS-420114088141802,9804062077814308864,42.020556,-88.238333,WQP
OST_SHPD-NRSA0809-IL027,9804066785098465280,42.216450,-88.188910,WQP
