cid,nRingFac
5525921776485269504,3
5525953009487446016,1
5525954212078288896,1
5525954521315934208,16
5525954555675672576,14
5525954727474364416,32
5525955174150963200,26
5525961839940206592,3
5525961874299944960,1
5525962011738898432,14
5525962424055758848,2
5525963042531049472,2
5525963076890787840,2
5525963179970002944,2
5525963214329741312,1
5525963248689479680,1
5525963626646601728,9
5525963695366078464,7
5525963729725816832,5
5525963798445293568,7
5525983177337733120,13
5526007847629881344,5
5526007916349358080,4
5526027398321012736,1
5526027432680751104,2
5526027467040489472,1
5526052206052114432,20
5526052309131329536,18
5526097251669114880,11
5526208302343520256,1
5526231117209796608,2
5526231151569534976,2
5526263484083339264,1
5526263518443077632,3
5526263552802816000,2
5526264446156013568,2
5526311244119670784,2
5526311278479409152,2
5526322720272285696,1
5526336498527371264,48
5526336807765016576,21
5526336979563708416,2
5526337048283185152,8
5526337254441615360,17
5526338834989580288,3
5526339212946702336,3
5526344538706149376,6
5526344573065887744,10
5526345878735945728,10
5526347528003387392,5
5526347562363125760,12
5526348180838416384,4
5526348215198154752,12
5526349761386381312,38
5526352681964142592,3
5526354915347136512,1
5526356942571700224,1
5526357595406729216,1
5526361237538996224,1
5526367972047716352,19
5526368006407454720,12
5526368246925623296,14
5526369518235942912,24
5526391508468498432,1
5526401953828962304,28
5526402194347130880,2
5526407863703961600,31
5526409650410356736,9
5526409719129833472,2
5526410749921984512,48
5526412364829687808,6
5526412399189426176,7
5526412433549164544,5
5526413842298437632,9
5526413911017914368,1
5526414357694513152,1
5526416350559338496,2
5526416487998291968,1
5526416728516460544,54
5526429304180703232,12
5526429338540441600,7
5526429372900179968,11
5526429579058610176,5
5526430094454685696,2
5526430197533900800,2
5526430231893639168,1
5526430334972854272,1
5526432637075324928,4
5526432705794801664,3
5526432808874016768,1
5526435798171254784,2
5526439337224306688,1
5526441433168347136,2
5526441536247562240,1
5526444388105846784,1
5526445796855119872,10
5526445831214858240,10
5526445899934334976,24
5526445934294073344,32
5526446003013550080,22
5526447858439421952,9
5526448236396544000,68
5526448339475759104,72
5526448408195235840,41
5526448923591311360,41
5526449129749741568,8
5526449645145817088,15
5526449713865293824,39
5526449816944508928,7
5526450194901630976,7
5526450366700322816,12
5526450641578229760,1
5526450779017183232,4
5526450882096398336,3
5526450950815875072,2
5526451156974305280,1
5526451191334043648,1
5526451260053520384,1
5526451294413258752,2
5526451328772997120,1
5526451363132735488,2
5526451397492473856,2
5526451431852212224,1
5526451500571688960,1
5526451534931427328,3
5526451569291165696,2
5526451603650904064,3
5526451638010642432,1
5526451672370380800,3
5526451706730119168,3
5526451741089857536,6
5526451775449595904,7
5526451844169072640,28
5526451878528811008,37
5526451912888549376,18
5526451947248287744,8
5526452015967764480,9
5526452050327502848,11
5526452084687241216,2
5526452119046979584,1
5526452153406717952,1
5526452290845671424,9
5526452325205409792,3
5526452359565148160,6
5526452462644363264,11
5526452771882008576,1
5526452806241746944,3
5526452978040438784,1
5526453012400177152,1
5526453046759915520,2
5526453115479392256,2
5526453149839130624,3
5526453355997560832,1
5526453390357299200,1
5526453733954682880,1
5526453768314421248,1
5526453802674159616,1
5526453837033897984,2
5526453871393636352,1
5526457204288258048,1
5526461808493199360,1
5526461980291891200,1
5526462014651629568,2
5526462049011367936,3
5526462083371106304,1
5526462186450321408,4
5526462255169798144,4
5526462323889274880,4
5526462358249013248,1
5526470089190146048,4
