cid,nDet,nDetAnalytes
5522341972783661056,6,6
5522342453819998208,13,8
5522342488179736576,20,12
5522348638572904448,5,5
5522349016530026496,1,1
5522351559150665728,23,17
5522724740269080576,4,4
5522725496183324672,132,16
5522725564902801408,55,20
5522750406993641472,31,19
5522750613152071680,76,29
5522751437785792512,8,8
5522751506505269248,31,12
5522751643944222720,3,3
5522751678303961088,14,10
5522751712663699456,4,4
5522751850102652928,15,8
5522751987541606400,15,10
5522752090620821504,245,25
5522752124980559872,10,10
5522752159340298240,3,3
5522752468577943552,49,21
5522752502937681920,58,16
5522752606016897024,3,3
5522752709096112128,18,7
5522755354795966464,25,14
5522757622538698752,8,6
5522789920692764672,1,1
5522796345963839488,14,7
5522796380323577856,59,15
5522796414683316224,19,13
5522796449043054592,131,26
5522796483402792960,1,1
5522870288120807424,4,4
5522879084213829632,14,8
5522895645607723008,22,16
5522903617067024384,8,8
5522903651426762752,109,20
5522904922737082368,157,20
5522906984321384448,134,17
5522923683154231296,8,8
5522923820593184768,26,11
5522924232910045184,28,10
5522924267269783552,1,1
5522924920104812544,37,11
5522934128514695168,1,1
5522973229896957952,58,13
5522973332976173056,2,1
5523088300660752384,22,16
5523089949928194048,4,4
5523089984287932416,1,1
5523092939225432064,85,18
5523094519773396992,138,14
5523100910684733440,22,14
5523101013763948544,22,11
5523101048123686912,1,1
5523101082483425280,43,19
5523864280992055296,10,10
5523871049860513792,1,1
5523872458609786880,22,11
5523872492969525248,4,4
5523873764279844864,7,4
5523881598300192768,3,3
5523881632659931136,151,18
5523882010617053184,2039,25
5523882044976791552,36,14
5523890944149028864,39,13
5523891356465889280,144,15
5523895273476063232,20,10
5523896338627952640,3,3
5523905547037835264,9,6
5523905787556003840,45,11
5523905821915742208,15,9
5523905924994957312,526,32
5523906165513125888,37,12
5523906268592340992,13,5
5524834840521736192,107,20
5524834874881474560,13,10
5524834943600951296,9,5
5524837383142375424,18,10
5524845595119845376,157,22
5525178059948294144,143,17
5525211938650324992,4,2
5525211973010063360,12,2
5525214481270964224,67,15
5525214653069656064,1,1
5525214687429394432,1,1
5525214721789132800,12,2
5525218570079830016,44,12
5525218604439568384,35,10
5525219085475905536,493,23
5525219360353812480,4,2
5525219875749888000,13,13
5525219978829103104,50,22
5525220288066748416,4,4
5525220425505701888,451,22
5525220459865440256,2,2
5525220494225178624,601,25
5525220528584916992,2669,23
5525220597304393728,147,15
5525220631664132096,273,15
5525220666023870464,167,14
5525220803462823936,190,23
5525221250139422720,55,20
5525221525017329664,37,14
5525221628096544768,14,14
5525224479954829312,327,23
5525224651753521152,38,14
5525224686113259520,21,7
5525224720472997888,22,10
5525224754832736256,7,5
5525224926631428096,3,3
5525225338948288512,7,4
5525229977512968192,87,20
5525230114951921664,81,14
5525233138608898048,170,20
5525233413486804992,10,10
5525233482206281728,26,17
5525233516566020096,186,19
5525235921747705856,155,20
5525236334064566272,8,8
5525236471503519744,7,7
5525236505863258112,76,15
5525240457233170432,204,17
5525241934701920256,8,5
5525242072140873728,5,5
5525242106500612096,13,10
5525245782992617472,5,5
5525247535339274240,6,4
5525286258764414976,153,17
5525286636721537024,45,13
5525289248061652992,18,11
5525289454220083200,42,12
5525298971867611136,175,19
5525299315464994816,137,15
5525299349824733184,17,17
5525300380616884224,153,21
5525300861653221376,184,22
5525308764393046016,176,23
5525308798752784384,87,19
5525309211069644800,3,3
5525311238294208512,25,5
5525312990640865280,96,15
5525313025000603648,42,14
5525314846066737152,46,13
5525315155304382464,6,6
5525315464542027776,1,1
5525326631456997376,13,13
5525327765328363520,32,16
5525328486882869248,28,14
5525329792552927232,44,11
5525330720265863168,178,14
5525330754625601536,27,10
5525330823345078272,23,12
5525331201302200320,11,11
5525331579259322368,10,10
5525331613619060736,43,14
5525332197734612992,63,14
5525332232094351360,14,14
5525335736787664896,3,3
5525335908586356736,8,8
5525336561421385728,100,11
5525337282975891456,9,9
5525339069682286592,10,10
5525340959467896832,26,19
5525341955900309504,3,3
5525342162058739712,3,3
5525344773398855680,152,17
5525345220075454464,5,5
5525345598032576512,10,10
5525346010349436928,12,7
5525347006781849600,8,8
5525349789920657408,57,12
5525353191534755840,48,19
5525355459277488128,117,19
5525355665435918336,24,17
5525355699795656704,3,3
5525355768515133440,17,15
5525357452142313472,12,9
5525358070617604096,42,17
5525358620373417984,109,16
5525358723452633088,20,11
5525358929611063296,257,18
5525359341927923712,90,13
5525359994762952704,297,19
5525360063482429440,2,2
5525360097842167808,7,7
5525360716317458432,20,11
5525362262505684992,11,11
5525363155858882560,20,8
5525363533816004608,1,1
5525370715001323520,7,7
5525371951951904768,2,2
5525372673506410496,47,21
5525372707866148864,7,6
5525372810945363968,11,3
5525374391493328896,3,3
5525376075120508928,4,2
5525376521797107712,4,4
5525376556156846080,16,10
5525376727955537920,8,8
5525377655668473856,19,14
5525377758747688960,120,17
5525377827467165696,1,1
5525377861826904064,105,16
5525377896186642432,6,6
5525378308503502848,17,10
5525378342863241216,47,14
5525378377222979584,5,5
5525378652100886528,2,2
5525378686460624896,6,6
5525378789539840000,28,14
5525378823899578368,4,2
5525378858259316736,262,19
5525378892619055104,37,12
5525378926978793472,545,19
5525378961338531840,552,41
5525378995698270208,46,19
5525379030058008576,3,3
5525379064417746944,3,3
5525379098777485312,25,12
5525379133137223680,5,5
5525379167496962048,77,19
5525379201856700416,76,13
5525379785972252672,124,29
5525379820331991040,6,6
5525379854691729408,87,14
5525379889051467776,261,16
5525380267008589824,74,13
5525380370087804928,253,21
5525380404447543296,190,14
5525380438807281664,129,16
5525380473167020032,93,19
5525380541886496768,86,15
5525380644965711872,39,20
5525380782404665344,4,4
5525380816764403712,50,11
5525380851124142080,14,10
5525380919843618816,24,19
5525380954203357184,72,14
5525380988563095552,40,12
5525381057282572288,151,18
5525381091642310656,86,13
5525381126002049024,84,16
5525381229081264128,32,13
5525381263441002496,2,2
5525381469599432704,33,10
5525381538318909440,8,8
5525381572678647808,242,19
5525381675757862912,35,13
5525382053714984960,5,5
5525382191153938432,3,3
5525382466031845376,20,11
5525382912708444160,4,1
5525383806061641728,16,8
5525383840421380096,203,18
5525383874781118464,1,1
5525383943500595200,9,9
5525384046579810304,30,21
5525384424536932352,40,12
5525384458896670720,106,15
5525384493256409088,10,10
5525384527616147456,27,14
5525384596335624192,60,17
5525384699414839296,21,14
5525384802494054400,16,9
5525385008652484608,392,15
5525385180451176448,530,18
5525385283530391552,1,1
5525385317890129920,142,20
5525385627127775232,28,10
5525385695847251968,230,19
5525385764566728704,4,4
5525385798926467072,25,13
5525386417401757696,14,10
5525386589200449536,9,9
5525387448193908736,37,12
5525387482553647104,926,24
5525387929230245888,151,21
5525387963589984256,193,16
5525388272827629568,124,17
5525388307187367936,9,9
5525388341547106304,1,1
5525388375906844672,747,27
5525388410266583040,385,23
5525388444626321408,209,21
5525388547705536512,582,27
