cid,nDet,nDetAnalytes
5955253029585289216,1,1
5955273954665955328,22,2
5955276840883978240,9,7
5955433074614337536,6,6
5955478773066366976,13,5
5955480869010407424,4,1
5955487500439912448,6,6
5955487637878865920,11,4
5955502309487149056,6,3
5955502893602701312,16,5
5955502927962439680,1,1
5955512376890490880,16,5
5955516225181188096,1,1
5955871539235651584,30,5
5955882671790882816,15,4
5955884595936231424,14,4
5955889406299602944,14,6
5955890196573585408,20,7
5955890265293062144,6,6
5955892533035794432,20,7
5955896312607014912,15,5
5955906002053234688,26,7
5955946958861369344,1,1
5955949948158607360,21,6
5955950188676775936,1,1
5955987159755259904,58,14
5956154388601896960,3,3
5956197372634595328,15,5
5956197681872240640,20,6
5956200052694188032,3,2
5956202801473257472,16,4
5956202904552472576,1,1
5956207233879506944,85,11
5956207508757413888,1,1
5957694151557382144,2,1
5957747168633683968,6,2
5957749951772491776,7,7
5957750020491968512,24,8
5957750089211445248,10,10
5957752322594439168,4,4
5957752528752869376,5,1
5957752597472346112,2,2
5957754452898217984,6,1
5957778951391674368,27,14
5957779054470889472,118,19
5957779088830627840,130,19
5957779226269581312,77,12
5957779432428011520,5,1
5957784070992691200,38,9
5957784174071906304,20,5
5957785033065365504,4,1
5957789912148213760,3,2
5957790805501411328,22,5
5957791011659841536,5,5
5957999094235398144,108,13
5958006137981763584,58,12
5958006275420717056,1,1
5958010295510106112,13,4
5958053142103851008,4,1
5958060254569693184,6,6
5958168247227383808,3,1
5958168968781889536,138,11
5958169140580581376,4,4
5958170892927238144,8,2
5958170927286976512,6,2
5958171064725929984,5,1
5958171099085668352,19,10
5958171477042790400,5,1
5958171614481743872,10,10
5958171683201220608,9,9
5958171717560958976,19,10
5958171854999912448,17,9
5958175909449039872,35,3
5958177696155435008,43,6
5958178486429417472,7,7
5958182678317498368,20,2
5958194154470113280,7,2
5958200820259356672,2,2
5958208997877088256,4,4
5958291186371264512,4,4
5958327367175766016,6,6
5958366502917767168,19,6
5958412270089273344,1,1
5958420241548574720,22,6
5958420550786220032,3,3
5958420619505696768,2,2
5958422784169213952,50,8
5958428522245521408,37,9
5958428762763689984,2,2
5958432095658311680,25,6
5958442197421391872,6,6
5958575375767306240,13,6
5958590975088525312,10,5
5958600183498407936,21,7
5958633031408287744,2,1
5958779335174258688,6,3
5958796927360303104,12,1
5958798679706959872,2,2
5958799366901727232,24,12
5958805689093586944,2,1
5958806101410447360,34,15
5958809571744022528,1,1
5958826820332683264,2,2
5958830840422072320,1,1
5958892000756367360,4,4
5958930140065955840,3,1
5958976525712752640,7,2
5958977522145165312,3,3
5959028099680043008,9,9
5959038545040506880,2,2
5959044592354459648,2,2
5959045520067395584,1,1
5959048303206203392,11,11
5959048578084110336,2,2
5959049093480185856,22,11
5959049505797046272,7,7
5959049815034691584,30,15
5959049849394429952,7,7
5959050021193121792,9,9
5959050089912598528,11,7
5959050158632075264,19,9
5959050192991813632,10,10
5959050399150243840,38,6
5959050433509982208,26,12
5959050536589197312,414,27
5959050570948935680,3,3
5959050845826842624,33,6
5959050880186580992,99,7
5959050948906057728,91,3
5959050983265796096,39,4
5959051051985272832,193,5
5959051086345011200,12,3
5959051292503441408,23,4
5959051464302133248,22,17
5959051498661871616,19,13
5959051704820301824,11,3
5959052151496900608,10,6
5959052460734545920,19,10
5959053216648790016,4,4
5959054316160417792,7,2
5959056377744719872,7,7
5959056652622626816,23,5
5959056858781057024,12,3
5959057511616086016,20,10
5959058267530330112,6,1
5959058679847190528,15,4
5959059435761434624,31,5
5959060329114632192,47,5
5959060947589922816,10,4
5959063971246899200,12,1
5959064143045591040,10,1
5959065002039050240,6,1
5959065895392247808,4,4
5959071564749078528,25,12
5959073282735996928,1,1
5959074657125531648,2,2
5959074966363176960,134,14
5959078161818845184,6,6
5959079811086286848,5,5
5959093589341372416,1,1
5959095376047767552,1,1
5959109841497620480,3,2
5959112487197474816,1,1
5959122073564479488,13,10
5959122142283956224,2,2
5959124306947473408,2,2
5959124959782502400,1,1
5959128223957647360,7,7
5959131831730176000,6,3
5959132072248344576,1,1
5959132793802850304,6,3
5959133206119710720,7,7
5959133790235262976,7,7
5959136435935117312,3,3
5959137294928576512,1,1
5959137466727268352,18,13
5959137741605175296,3,3
5959140971420581888,10,10
5959141658615349248,12,6
5959142139651686400,6,6
5959142655047761920,10,10
5959146606417674240,23,12
5959148152605900800,11,11
5959149973672034304,8,8
5959152103975813120,170,12
5959152344493981696,9,3
5959152516292673536,13,8
5959153134767964160,64,10
5959153203487440896,10,10
5959153684523778048,12,8
5959153890682208256,91,14
5959156089705463808,8,6
5959156605101539328,7,7
5959157910771597312,38,5
5959159869276684288,11,11
5959160212874067968,10,10
5959160384672759808,11,11
5959160762629881856,10,10
5959160831349358592,32,16
5959160900068835328,91,17
5959161037507788800,32,10
5959161655983079424,32,16
5959161724702556160,34,18
5959162137019416576,43,9
5959162996012875776,124,17
5959163133451829248,105,17
5959163373969997824,139,18
5959163786286858240,23,18
5959164645280317440,12,9
5959164851438747648,6,6
5959165607352991744,49,8
5959166947382788096,30,15
5959167497138601984,22,16
5959171070551392256,15,10
5959171139270868992,11,7
5959174540884967424,48,14
5959175915274502144,1,1
5959176636829007872,10,10
5959179076370432000,6,5
5959189693529587712,47,11
5959189934047756288,48,8
5959190758681477120,32,10
5959195637764325376,9,1
5959197664988889088,3,1
5959199692213452800,15,1
5959219517782491136,39,8
5959222266561560576,5,4
5959222369640775680,7,7
5959222678878420992,1,1
5959223400432926720,28,9
5959224018908217344,6,6
5959224499944554496,3,3
5959228382594990080,12,8
5959229482106617856,2,2
5959266796782485504,23,13
5959279303727251456,1,1
5959280059641495552,1,1
5959283667414024192,106,7
5959312048557916160,66,6
5959328541232332800,1,1
5959357918808637440,25,18
5959406331679997952,4,4
5959430830173454336,14,6
5959452682967056384,27,8
5959461101102956544,1,1
5959480170757750784,10,8
5959483778530279424,5,3
5959486355510657024,2,2
5959486664748302336,23,17
5959491234593505280,4,4
5959491612550627328,38,8
5959491715629842432,1,1
5959492368464871424,3,3
5959492849501208576,9,9
5959492918220685312,7,7
5959493364897284096,26,17
5959493433616760832,9,9
5959493605415452672,10,10
5959494258250481664,10,10
5959538788471406592,1,1
5959540643897278464,29,7
5959540850055708672,1,1
5959544938864574464,2,1
5959545041943789568,41,9
5959561672057159680,4,4
5959561809496113152,42,9
5959594691765731328,8,5
5959631456685785088,2,2
5959657879324590080,16,11
5959663651760635904,10,5
5959663754839851008,10,3
5959676742820954112,2,2
5959790370475737088,1,1
5959912553705373696,7,7
5960018209900855296,14,7
5960052191682101248,13,6
5960095519312183296,88,11
5960101600985874432,2,2
5960115619759128576,1,1
5960116066435727360,7,3
5960117612623953920,21,7
5960122972743139328,1,1
5960154549342699520,21,7
5960154652421914624,1,1
5960157950956797952,1,1
5960157985316536320,15,7
5960158054036013056,2,2
5960158088395751424,11,10
5960159359706071040,7,7
5960159428425547776,4,4
5960159737663193088,9,8
5960159772022931456,1,1
5960159806382669824,1,1
5960159840742408192,15,8
5960159875102146560,10,5
5960160493577437184,10,10
5960160527937175552,7,7
5960160596656652288,2,2
5960160905894297600,17,12
5960163104917553152,1,1
5960163860831797248,2,2
5960167399884849152,1,1
5960180456585428992,4,4
5960190661427724288,8,8
5960194544078159872,2,1
5960207841296908288,4,2
5960208253613768704,2,1
5960209250046181376,2,2
5960210418277285888,9,8
5960251272006205440,1,1
5960323393097039872,2,2
5960328375259103232,1,1
5960434134533799936,2,1
5960435508923334656,5,3
5960500277030158336,3,1
5960542814386257920,1,1
5960549170937856000,3,1
5960553087948029952,1,1
5960558757304860672,7,2
5960562846113726464,10,10
5960563567668232192,25,11
5960565354374627328,9,5
5960568893427679232,1,1
5960569099586109440,8,8
5960570061658783744,5,5
5961025809228496896,21,7
5961032200139833344,3,3
5961033883767013376,2,2
5961517084767682560,5,5
5962391814987055104,5,5
5963005342475354112,26,8
5963116358790021120,13,7
5963116839826358272,23,8
