cid,nDet,nDetAnalytes
9801268321847345152,9,4
9802262142919901184,5,5
9802555884323209216,4,3
9802607733168406528,6,6
9802629379803578368,3,3
9802867286632038400,1,1
9803734320270016512,7,6
9803821868883378176,256,20
9804066785098465280,5,4
9804287683856433152,9,7
9804288645929107456,8,8
9804315515244511232,1,1
9804323314905120768,1,1
9804626608315695104,399,19
9804626711394910208,33,15
9804627226790985728,15,9
9804637740870926336,38,11
9804648461109297152,5,5
9804667187166707712,29,12
9804672650365108224,21,6
9804677426368741376,19,6
9804687699930513408,23,8
9804713332295335936,14,5
9804724739728474112,14,8
9804734463534432256,46,9
9804734910211031040,1,1
9804736662557687808,18,7
9804777000890531840,14,8
9804783254362914816,31,13
9804786930854920192,36,8
9804786965214658560,17,7
9804788820640530432,5,5
9804795280271343616,12,8
9804796998258262016,11,6
9804797307495907328,16,9
9804824829646340096,31,9
9804827303547502592,33,11
9804827372266979328,30,8
9804827715864363008,9,9
9804827750224101376,51,13
9804829090253897728,53,13
9804830086686310400,20,12
9804830121046048768,50,12
9804832079551135744,29,12
9804836511957385216,3,3
9804855684691394560,7,7
9804856200087470080,24,7
9804859258104184832,86,18
9804862522279329792,29,16
9804862694078021632,32,19
9804863037675405312,47,18
9804863140754620416,19,19
9804864790022062080,15,10
9804872864560578560,19,10
9804877022088921088,57,17
9804878121600548864,15,8
9804881454495170560,9,9
9804881798092554240,28,10
9804907361737900032,55,9
9805029957284397056,4,4
9805064042144858112,13,4
9805089983747325952,15,7
9805130974915198976,13,4
9805134891925372928,8,4
9805147879906476032,6,3
9805148154784382976,19,7
9805149391734964224,45,10
9805183717113593856,54,10
9805184335588884480,14,7
9805185984856326144,36,12
9805191688572895232,28,9
9805205707346149376,4,3
9805209864874491904,30,11
9805210277191352320,16,7
9805225429835972608,13,4
9805226048311263232,6,3
9805226391908646912,6,3
9805226666786553856,3,3
9805231648948617216,6,3
9805298753517649920,41,11
9805331189110669312,5,3
9805332357341773824,7,7
9805339813404999680,32,12
9805365686287990784,35,8
9805366339123019776,24,7
9805374791618658304,34,10
9805378914787262464,12,6
9805432275460947968,17,7
9805489793662976000,20,7
9805496940488556544,12,6
9805537244461662208,21,12
9805537313181138944,6,6
9805538515771981824,35,19
9805538550131720192,29,16
9805538962448580608,29,16
9805542535861370880,25,9
9805542948178231296,18,6
9805556520274886656,2,1
9805578647946395648,49,12
9805585519894069248,6,4
9805594178548137984,4,4
9805594419066306560,15,7
9805595690376626176,25,8
9805595793455841280,56,18
9805596068333748224,63,17
9805596789888253952,3,1
9805597580162236416,36,9
9805598473515433984,55,21
9805607200888979456,7,4
9805607372687671296,8,4
9805607510126624768,30,9
9805607750644793344,26,10
9805613282562670592,40,10
9805619329876623360,2,1
9805649875684032512,11,6
9805651628030689280,7,7
9805656678912229376,14,7
9805658396899147776,7,7
9805663275981996032,7,7
9805664375493623808,7,7
9805667261711646720,14,8
9805687087280685056,16,9
9805703820473270272,19,12
9805716911533588480,15,8
9805757456024862720,26,9
9805759792487071744,37,10
9805759861206548480,23,8
9805759964285763584,20,7
9805760170444193792,19,9
9805760239163670528,36,12
9805773158425296896,25,10
9805783019670208512,15,8
9805805044262502400,25,7
9805806109414391808,12,7
9805813496758140928,12,7
9805828202726162432,13,8
9805849059087351808,13,7
9805902247962345472,9,6
9805902419761037312,33,11
9805937157456527360,32,10
9805940902668009472,19,8
9805963889332977664,23,9
9805963992412192768,11,6
9805966363234140160,2,1
9805993644866404352,29,12
9805994881816985600,75,15
9806006873365676032,48,25
9806007869798088704,7,7
9806013539154919424,16,11
9806017902841692160,42,14
9806026492776284160,27,9
9806041989018288128,9,5
9806055114438344704,22,15
9806059031448518656,36,12
9806066865468866560,7,7
9806068652175261696,8,5
9806076726713778176,58,11
9806082292991393792,19,19
9806087275153457152,5,5
9806089061859852288,10,6
9806101122128019456,10,10
9806101637524094976,11,11
9806114659864936448,37,21
9806120397941243904,11,7
9806132733087318016,24,17
9806135310067695616,22,11
9806138333724672000,15,8
9806141529180340224,23,13
9806143109728305152,14,14
9806158777769000960,29,9
9806161457828593664,25,9
9806164344046616576,15,7
9806164481485570048,14,8
9806164859442692096,12,6
9806177572545888256,23,10
9806187468150538240,12,7
9806197432474664960,27,7
9806199528418705408,21,7
9806200009455042560,14,7
9806200765369286656,29,8
9806239179556782080,1,1
9806239385715212288,24,15
9806239420074950656,11,11
9806239935471026176,18,10
9806242134494281728,1,1
9806242306292973568,42,17
9806242581170880512,11,7
9806250964947042304,23,9
9806256874822041600,20,11
9806268076096749568,13,7
9806276288074219520,40,13
9806280205084393472,13,10
9806282232308957184,29,14
9806285359045148672,13,8
9806289825811136512,10,7
9806301164524797952,7,7
9817156093070016512,10,6
9817277382946455552,18,11
9817281506115059712,12,12
9817292398152122368,15,8
9817319748503863296,16,11
9817324249629589504,14,9
9817807175752351744,15,11
9817808103465287680,29,11
9817809443495084032,32,15
9817847617164410880,18,8
9817847892042317824,17,6
9817848888474730496,28,13
9818358890071326720,39,9
9818364834306064384,40,10
9823860811896979456,2,2
9824034362935476224,8,8
9824181560054644736,16,12
9824187607368597504,1,1
9824540241363468288,4,4
