param	nObs	nDet	nCells	paramLabel	dtxsid	dssLabel	cas	detFreq	iceLabel	nAssayEndpoints	functionalUse	inICE	inToxCast
characteristic.64483	4991	860	317	2H-Perfluorohexanoic acid	DTXSID301035178			0.17231015828491283				False	False
parameter.PFDS_A	17349	854	40	PERFLUORODECANESULFONIC ACID	DTXSID3040148	Perfluorodecanesulfonic acid	335-77-3	0.049224739178050606	Perfluorodecanesulfonic acid		Emulsion stabilizer; Flame retardant	True	False
characteristic.20426	2671	843	322	13-H-Perfluorotridecanoic acid	DTXSID40892941		423-73-4	0.31561213028828156				False	False
parameter.PFOS	1152	811	189	PERFLUOROOCTANE SULFONATE	DTXSID80108992		45298-90-6	0.7039930555555556	Perfluorooctanesulfonate		Emulsion stabilizer; Flame retardant	True	False
characteristic.20794	2825	790	294	14-H-Perfluorotetradecanoic acid				0.27964601769911507				False	False
characteristic.20865	2929	790	181	11-H-Perfluoroundecanoate	DTXSID5061954		69681-37-4	0.2697166268350973				False	False
parameter.PFTRIA_A	18642	786	56	PERFLUOROTRIDECANOIC ACID	DTXSID90868151	Perfluorotridecanoic acid	72629-94-8	0.042162858062439655	Perfluorotridecanoic acid	465.0	Emulsion stabilizer	True	True
characteristic.64556	4333	773	260	2H-Perfluoroheptanoic acid	DTXSID401035226			0.178398338333718				False	False
characteristic.19292	4929	727	286					0.14749442077500508				False	False
characteristic.3113	2720	698	245	1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-	DTXSID3040148	Perfluorodecanesulfonic acid	335-77-3	0.2566176470588235	Perfluorodecanesulfonic acid		Emulsion stabilizer; Flame retardant	True	False
characteristic.18521	3946	675	234					0.1710593005575266				False	False
characteristic.18078	2214	648	311					0.2926829268292683				False	False
characteristic.62959	2213	588	290	5H-Perfluorohexanesulfonic acid	DTXSID101032330		2089109-56-6	0.2657026660641663				False	False
parameter.PFUNDA	733	430	137	PERFLUOROUNDECANOATE	DTXSID30892475		196859-54-8	0.5866302864938608				False	False
characteristic.3282	2895	401	77	Perfluorohexanesulfonate	DTXSID7040150	Perfluorohexanesulfonic acid	108427-53-8	0.1385146804835924	Perfluorohexanesulfonate		Emulsion stabilizer; Flame retardant	True	False
parameter.PFHXS	1035	380	80	PERFLUOROHEXANE SULFONATE	DTXSID80873012		108427-53-8	0.3671497584541063	Perfluorohexanesulfonate		Emulsion stabilizer; Flame retardant	True	False
parameter.PFDA	736	356	123	PERFLUORODECANOATE	DTXSID40892481		73829-36-4	0.483695652173913				False	False
parameter.PFDOA	736	326	114	PERFLUORODODECANOATE	DTXSID00892482		171978-95-3	0.4429347826086957				False	False
parameter.PFTRDA_A	731	300	92	PERFLUOROTRIDECANOATE	DTXSID20892489		862374-87-6	0.4103967168262654				False	False
characteristic.18574	2891	269	56					0.09304738844690419				False	False
characteristic.19383	1861	267	140					0.14347125201504568				False	False
parameter.6-2_FTS	1717	266	37	6:2 FLUOROTELOMER SULFONATE	DTXSID6067331	6:2 Fluorotelomer sulfonic acid	425670-75-3	0.15492137449039023				False	False
parameter.PFNA	741	257	90	PERFLUORONONANOATE	DTXSID80892485		72007-68-2	0.3468286099865047				False	False
characteristic.3117	1165	226	95					0.19399141630901287				False	False
characteristic.19482	2255	226	84					0.10022172949002217				False	False
parameter.PFTEA	324	211	77	PERFLUOROTETRADECANOATE	DTXSID60892488		365971-87-5	0.6512345679012346				False	False
parameter.8-2_FTS	1894	206	25	8:2 FLUOROTELOMER SULFONATE	DTXSID00192353	8:2 Fluorotelomer sulfonic acid	481071-78-7	0.10876451953537487				False	False
parameter.PFOA	697	205	69	PERFLUOROOCTANOATE	DTXSID40892486		45285-51-6	0.29411764705882354				False	False
parameter.PFNS_A	17287	179	17	PERFLUORONONANE SULFONIC ACID	DTXSID60873010		68259-12-1	0.010354601723838723	Perfluorononanesulfonic acid		Emulsion stabilizer; Flame retardant	True	False
characteristic.18456	2774	155	74					0.055875991348233595				False	False
parameter.PFHPA	740	145	46	PERFLUOROHEPTANOATE	DTXSID60892483		120885-29-2	0.19594594594594594				False	False
parameter.PFHXA	740	136	46	PERFLUOROHEXANOATE	DTXSID20892484		92612-52-7	0.1837837837837838				False	False
characteristic.3114	569	132	52					0.23198594024604569				False	False
characteristic.3112	1868	129	84	1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-	DTXSID8059920	Perfluoroheptanesulfonic acid	375-92-8	0.0690578158458244	Perfluoroheptanesulfonic acid	464.0	Emulsion stabilizer; Flame retardant	True	True
parameter.4-2_FTS_A	17272	118	32	4:2-FLUOROTELOMER SULFONIC ACID	DTXSID30891564	4:2 Fluorotelomer sulfonic acid	757124-72-4	0.00683186660490968		497.0		False	True
characteristic.31056	967	108	50	3H-Perfluorobutanoic acid	DTXSID90626970		379-90-8	0.11168562564632885	3H-Perfluorobutanoic acid		Foamer	True	False
characteristic.18755	106	106	1	6-H-Perfluorohexanoate	DTXSID20880169		1696259-63-8	1.0				False	False
characteristic.21754	541	90	48					0.16635859519408502				False	False
