cid,nFac
5526597254581846016,6
5526597288941584384,3
5526598251014258688,22
5526599556684316672,5
5526601171592019968,2
5526601618268618752,1
5526603233176322048,2
5526603611133444096,3
5526604848084025344,2
5526618076583297024,1
5526620997161058304,1
5526621340758441984,1
5526621821794779136,2
5526623161824575488,1
5526625463927046144,1
5526626838316580864,1
5526627388072394752,1
5526627422432133120,2
5526628075267162112,3
5526631408161783808,3
5526631442521522176,1
5526635015934312448,1
5526635634409603072,2
5526639723218468864,2
5526640410413236224,1
5526641131967741952,6
5526642334558584832,1
5526642746875445248,1
5526643296631259136,3
5526644293063671808,1
5526644396142886912,1
5526646148489543680,2
5526648931628351488,5
5526649412664688640,25
5526649447024427008,3
5526650031139979264,12
5526650409097101312,1
5526650512176316416,4
5526651371169775616,11
5526651611687944192,9
5526651646047682560,13
5526651852206112768,1
5526651886565851136,2
5526652951717740544,1
5526654085589106688,8
5526654119948845056,7
5526654154308583424,27
5526657487203205120,1
5526658243117449216,7
5526658792873263104,1
5526660339061489664,1
5526660373421228032,38
5526660407780966400,23
5526660751378350080,1
5526660957536780288,1
5526661026256257024,4
5526668344880529408,4
5526668722837651456,3
5526670646983000064,2
5526670784421953536,2
5526671024940122112,1
5526671437256982528,1
5526673120884162560,2
5526677690729365504,13
5526677862528057344,14
5526679580514975744,5
5526679821033144320,1
5526680611307126784,1
5526681916977184768,1
5526684803195207680,1
5526684974993899520,1
5526685009353637888,1
5526686349383434240,4
5526687139657416704,1
5526698959407415296,2
5526701330229362688,6
5526701502028054528,6
5526701708186484736,24
5526735174571655168,2
5526736514601451520,2
5526738438746800128,1
5526738473106538496,1
5526749330783862784,6
5526946109005496320,1
5526977582525841408,11
5527000672270024704,1
5527037093592694784,1
5527265139176243200,5
5527282834441502720,2
5528928803348283392,2
5529384550917996544,4
5529388055611310080,2
5529399566123663360,1
5529480723825688576,1
5529481514099671040,2
5529486083944873984,12
5529491650222489600,1
5529491822021181440,4
5529491856380919808,1
5529491925100396544,1
5529492887173070848,4
5529492921532809216,2
5529496254427430912,2
5529496529305337856,1
5529496563665076224,2
5529497079061151744,2
5529497353939058688,7
5529512128626556928,1
5529512162986295296,11
5529512197346033664,1
5529512266065510400,3
5529512369144725504,2
5529512437864202240,1
5529515049204318208,3
5529515083564056576,1
5529540544130187264,4
5529571433534980096,1
5529579370634543104,1
5529579886030618624,2
5529762851637428224,6
5529762954716643328,12
5573308631698374656,4
5573317874467995648,4
5573318286784856064,5
5955273954665955328,1
5955502893602701312,2
5955882671790882816,1
5955892533035794432,1
5955893563827945472,8
5955987022316306432,4
5956197681872240640,4
5956202801473257472,5
5957749951772491776,34
5957750020491968512,20
5957750089211445248,6
5957752219515224064,21
5957752322594439168,1
5957752528752869376,2
5957752597472346112,1
5957753868782665728,6
5957754452898217984,2
5957779088830627840,3
5957784070992691200,7
5957784174071906304,4
5957784689467981824,131
5957789912148213760,2
5957790805501411328,41
5957988270917812224,5
5958010295510106112,1
5958168247227383808,5
5958170755488284672,6
5958170892927238144,24
5958170927286976512,9
5958171064725929984,3
5958171099085668352,2
5958171683201220608,8
5958171854999912448,19
5958177696155435008,16
5958327367175766016,1
5958420550786220032,16
5958420619505696768,98
5958421684657586176,2
5958428762763689984,1
5958432095658311680,5
5958575375767306240,1
5958590975088525312,11
5958591009448263680,2
5958609735505674240,30
5958633031408287744,1
5958779335174258688,1
5958798679706959872,7
5958799366901727232,13
5958806101410447360,2
5958809571744022528,1
5958892000756367360,12
5958930140065955840,1
5959024904224374784,2
5959038545040506880,1
5959040572265070592,2
5959045520067395584,1
5959048578084110336,2
5959049505797046272,13
5959050089912598528,1
5959050158632075264,19
5959050399150243840,1
5959050845826842624,6
5959050983265796096,2
5959051051985272832,3
5959051292503441408,2
5959051498661871616,3
5959051704820301824,3
5959052460734545920,2
5959054316160417792,1
5959056377744719872,16
5959056652622626816,5
5959056755701841920,5
5959056790061580288,8
5959056858781057024,1
5959056927500533760,28
5959057271097917440,5
5959057511616086016,3
5959058267530330112,3
5959058679847190528,11
5959059435761434624,6
5959060329114632192,2
5959060947589922816,4
5959064143045591040,6
5959074657125531648,1
5959074966363176960,4
5959078161818845184,1
5959079811086286848,8
5959095376047767552,1
5959122142283956224,4
5959124959782502400,1
5959131831730176000,6
5959132072248344576,7
5959132793802850304,3
5959133206119710720,1
5959133790235262976,43
5959136435935117312,2
5959137294928576512,49
5959141658615349248,4
5959142139651686400,3
5959142655047761920,2
5959146606417674240,51
5959148152605900800,105
5959149973672034304,16
5959152344493981696,11
5959152516292673536,49
5959153134767964160,5
5959153203487440896,18
5959153684523778048,71
5959153890682208256,9
5959156089705463808,67
