cid,neighborCid
9827422782894374912,9827422095699607552
9827422782894374912,9827422130059345920
9827422782894374912,9827422164419084288
9827422782894374912,9827422336217776128
9827422782894374912,9827422370577514496
9827422782894374912,9827422714174898176
9827422782894374912,9827422748534636544
9827422782894374912,9827422817254113280
9827442471024459776,9827442367945244672
9827442471024459776,9827442402304983040
9827442471024459776,9827442436664721408
9827442471024459776,9827442505384198144
9827442471024459776,9827442539743936512
9827442471024459776,9827442745902366720
9827442471024459776,9827442780262105088
9827442471024459776,9827442814621843456
9827443364377657344,9827441852549169152
9827443364377657344,9827441886908907520
9827443364377657344,9827442608463413248
9827443364377657344,9827442642823151616
9827443364377657344,9827442677182889984
9827443364377657344,9827443330017918976
9827443364377657344,9827443398737395712
9827443364377657344,9827443433097134080
9827457761108033536,9827457554949603328
9827457761108033536,9827457692388556800
9827457761108033536,9827457726748295168
9827457761108033536,9827457795467771904
9827457761108033536,9827457829827510272
9827457761108033536,9827457864187248640
9827457761108033536,9827457898546987008
9827457761108033536,9827457932906725376
9827470096254107648,9827458379583324160
9827470096254107648,9827458413943062528
9827470096254107648,9827469993174892544
9827470096254107648,9827470027534630912
9827470096254107648,9827470061894369280
9827470096254107648,9827470130613846016
9827470096254107648,9827470233693061120
9827470096254107648,9827481847284629504
9827481881644367872,9827458242144370688
9827481881644367872,9827458345223585792
9827481881644367872,9827458379583324160
9827481881644367872,9827481812924891136
9827481881644367872,9827481847284629504
9827481881644367872,9827481916004106240
9827481881644367872,9827481950363844608
9827481881644367872,9827481984723582976
9827483530911809536,9827483462192332800
9827483530911809536,9827483496552071168
9827483530911809536,9827483565271547904
9827483530911809536,9827483599631286272
9827483530911809536,9827483633991024640
9827483530911809536,9827485180179251200
9827483530911809536,9827485283258466304
9827483530911809536,9827485317618204672
9827485901733756928,9827485798654541824
9827485901733756928,9827485833014280192
9827485901733756928,9827485867374018560
9827485901733756928,9827485936093495296
9827485901733756928,9827485970453233664
9827485901733756928,9827486107892187136
9827485901733756928,9827486554568785920
9827485901733756928,9827486588928524288
9827486176611663872,9827483427832594432
9827486176611663872,9827483462192332800
9827486176611663872,9827483496552071168
9827486176611663872,9827486073532448768
9827486176611663872,9827486107892187136
9827486176611663872,9827486142251925504
9827486176611663872,9827486210971402240
9827486176611663872,9827486314050617344
9827491708529541120,9827491021334773760
9827491708529541120,9827491055694512128
9827491708529541120,9827491502371110912
9827491708529541120,9827491639810064384
9827491708529541120,9827491674169802752
9827491708529541120,9827491742889279488
9827491708529541120,9827491777249017856
9827491708529541120,9827491811608756224
9827525690310787072,9827525484152356864
9827525690310787072,9827525518512095232
9827525690310787072,9827525621591310336
9827525690310787072,9827525655951048704
9827525690310787072,9827525724670525440
9827525690310787072,9827525759030263808
9827525690310787072,9827526102627647488
9827525690310787072,9827526136987385856
9827527270858752000,9827524350280990720
9827527270858752000,9827524384640729088
9827527270858752000,9827527167779536896
9827527270858752000,9827527202139275264
9827527270858752000,9827527236499013632
9827527270858752000,9827527305218490368
9827527270858752000,9827527339578228736
9827527270858752000,9827530225796251648
9827566681478660096,9827564860412526592
9827566681478660096,9827564894772264960
9827566681478660096,9827566612759183360
9827566681478660096,9827566647118921728
9827566681478660096,9827566715838398464
9827566681478660096,9827567368673427456
9827566681478660096,9827567403033165824
9827566681478660096,9827567437392904192
9827598395517173760,9827596918048423936
9827598395517173760,9827596952408162304
9827598395517173760,9827598361157435392
9827598395517173760,9827598429876912128
9827598395517173760,9827598464236650496
9827598395517173760,9827623271967752192
9827598395517173760,9827623306327490560
9827598395517173760,9827624783796240384
9827613548161794048,9827608119323131904
9827613548161794048,9827608153682870272
9827613548161794048,9827608600359469056
9827613548161794048,9827613101485195264
9827613548161794048,9827613135844933632
9827613548161794048,9827613479442317312
9827613548161794048,9827613513802055680
9827613548161794048,9827613582521532416
9827613823039700992,9827613754320224256
9827613823039700992,9827613788679962624
9827613823039700992,9827613857399439360
9827613823039700992,9827613891759177728
9827613823039700992,9827613926118916096
9827613823039700992,9835102046980669440
9827613823039700992,9835102150059884544
9827613823039700992,9835102184419622912
9827615025630543872,9827613238924148736
9827615025630543872,9827613273283887104
9827615025630543872,9827613376363102208
9827615025630543872,9827614922551328768
9827615025630543872,9827614956911067136
9827615025630543872,9827614991270805504
9827615025630543872,9827615059990282240
9827615025630543872,9827615094350020608
9827622894010630144,9827622206815862784
9827622894010630144,9827622241175601152
9827622894010630144,9827622275535339520
9827622894010630144,9827622447334031360
9827622894010630144,9827622481693769728
9827622894010630144,9827622825291153408
9827622894010630144,9827622859650891776
9827622894010630144,9827622928370368512
9827624646357286912,9827624440198856704
9827624646357286912,9827624474558595072
9827624646357286912,9827624577637810176
9827624646357286912,9827624611997548544
9827624646357286912,9827624680717025280
9827624646357286912,9827624715076763648
9827624646357286912,9827625058674147328
9827624646357286912,9827625093033885696
9827683092272250880,9827681443004809216
9827683092272250880,9827681546084024320
9827683092272250880,9827681580443762688
9827683092272250880,9827683023552774144
9827683092272250880,9827683057912512512
9827683092272250880,9827683126631989248
9827683092272250880,9827683160991727616
9827683092272250880,9827683195351465984
9829410734277132288,9829410012722626560
9829410734277132288,9829410047082364928
9829410734277132288,9829410631197917184
9829410734277132288,9829410665557655552
9829410734277132288,9829410699917393920
9829410734277132288,9829410768636870656
9829410734277132288,9829410871716085760
9829410734277132288,9829411490191376384
9829412143026405376,9829411936867975168
9829412143026405376,9829412074306928640
9829412143026405376,9829412108666667008
9829412143026405376,9829412177386143744
9829412143026405376,9829412211745882112
9829412143026405376,9829412246105620480
9829412143026405376,9829412280465358848
9829412143026405376,9829412314825097216
9829448117672476672,9829447396117970944
9829448117672476672,9829447430477709312
9829448117672476672,9829448014593261568
9829448117672476672,9829448048952999936
9829448117672476672,9829448083312738304
9829448117672476672,9829448152032215040
9829448117672476672,9829448255111430144
9829448117672476672,9829448873586720768
9829508453373050880,9829508350293835776
9829508453373050880,9829508384653574144
9829508453373050880,9829508419013312512
9829508453373050880,9829508487732789248
9829508453373050880,9829508522092527616
9829508453373050880,9829508659531481088
9829508453373050880,9829509106208079872
9829508453373050880,9829509140567818240
9829515290960986112,9829515222241509376
9829515290960986112,9829515256601247744
9829515290960986112,9829515325320724480
9829515290960986112,9829515359680462848
9829515290960986112,9829515462759677952
9829515290960986112,9829515497119416320
9829515290960986112,9829515668918108160
9829515290960986112,9829515703277846528
9829686436817797120,9829686265019105280
9829686436817797120,9829686299378843648
9829686436817797120,9829686333738582016
9829686436817797120,9829686368098320384
9829686436817797120,9829686402458058752
9829686436817797120,9829686471177535488
