n,beta,se,ci_lo,ci_hi,rate_elasticity,R2_count,R2_rate,t_vs_1,p_vs_1,classification,series,threshold
139,0.9894317659706414,0.007376502777264396,0.9748452391413136,1.0040182927999692,-0.01056823402935858,0.9924428957014853,0.01476130375541032,-1.4326889514542893,0.1542246470099072,linear (n.s.),arteriosclerosis,162754.79141900392
562,1.005996267210237,0.00402758850998881,0.998085240812957,1.0139072936075169,0.0059962672102369385,0.9911037984110803,0.00394246790423838,1.488798370381089,0.13710338798913194,linear (n.s.),arteriosclerosis,59874.14171519782
1746,1.0068116586167797,0.0022453845407717013,1.002407729422479,1.0112155878110805,0.006811658616779681,0.991400354769707,0.005249187832566598,3.0336267543904207,0.0024520063042942834,superlinear,arteriosclerosis,22026.465794806718
4206,1.0034063171859866,0.0013032005086634896,1.0008513555344074,1.0059612788375658,0.003406317185986607,0.9929585411921148,0.0016224815815372969,2.6138089751668296,0.008985833943905988,superlinear,arteriosclerosis,8103.083927575384
8115,1.00213679908912,0.0008069022853391042,1.000555063694992,1.0037185344832478,0.0021367990891199007,0.9947677193492619,0.0008636321079577965,2.6481509941713717,0.008108997529904504,superlinear,arteriosclerosis,2980.9579870417283
13631,1.001656571749199,0.0005382967649750946,1.0006014357724426,1.0027117077259553,0.0016565717491989762,0.9960792987054271,0.0006944025233454278,3.077432109917326,0.002092066790683205,superlinear,arteriosclerosis,1096.6331584284585
19827,1.0016279387967526,0.0003878160564854991,1.0008677868843308,1.0023880907091745,0.0016279387967526038,0.9970367855031818,0.0008880257165809671,4.197708603159587,2.7080434693992514e-05,superlinear,arteriosclerosis,403.4287934927351
24639,1.0016409447301933,0.0003091391705804178,1.0010350133215167,1.0022468761388699,0.0016409447301932722,0.997658717808188,0.0011423406016294688,5.30811002407864,1.1172597719096517e-07,superlinear,arteriosclerosis,148.4131591025766
26321,1.001677929492186,0.00028195201284543145,1.0011252882866593,1.0022305706977128,0.0016779294921860366,0.9979190631921903,0.0013438278048718618,5.951117267270201,2.6968642469072853e-09,superlinear,arteriosclerosis,54.598150033144236
26343,1.0017149984098732,0.00028150318969624087,1.0011632369432049,1.0022667598765416,0.001714998409873214,0.9979240922342938,0.0014070742967652833,6.0922876636808345,1.128504646400321e-09,superlinear,arteriosclerosis,20.085536923187668
