series,b,c,se_c,t_c,p_c,cond,turning_pop,beta_at_10k,beta_at_100k,beta_at_1M
high cholesterol,0.0017289770756125143,2.293085446342233e-05,0.00013025082638896677,0.1760515084560319,0.8602548298524043,48.489107296482494,1.2634045526564314e-13,1.0017844853534545,1.0018900858407687,1.001995686328083
asthma,-0.005465747428577339,-0.002581815932713828,0.0001806410583651783,-14.292519962402512,3.626843345967062e-46,48.489107296482494,1034.3118996561875,0.9882845004586729,0.9763947986996302,0.9645050969405874
stroke,-0.014659224603769958,0.0007175330057097752,0.00037394947490810285,1.9187966660097788,0.05502086691918838,48.489107296482494,81410728.97229499,0.9870776937263019,0.990382055331659,0.9936864169370161
copd,-0.039203624698491,-0.003922779730501664,0.00047290251177040094,-8.295112909880704,1.136065492451815e-16,48.489107296482494,20.14751701636583,0.9513005779451169,0.9332355096840123,0.9151704414229076
coronary heart disease,-0.02552403860273822,-0.000659452959154176,0.00031173682845343586,-2.115415629349288,0.03440389993462621,48.489107296482494,1.174088761293966e-05,0.9728796363174949,0.9698427432109364,0.966805850104378
depression,-0.018600093843441662,-0.005600729361593605,0.000264416939336713,-21.18143177832318,9.447714610969149e-99,48.489107296482494,566.5093612115,0.9678423284388601,0.9420500165630611,0.9162577046872621
diabetes,-0.002219619665227279,0.002433036689908031,0.00044309602229733946,5.4909919463807375,4.033711006114846e-08,48.489107296482494,4703.874642230148,1.0036699853993627,1.0148745334251423,1.026079081450922
hypertension,-0.010500326596013947,-0.0004924736343367469,0.0002676475031136751,-1.840008326651879,0.06577825931475129,48.489107296482494,0.06989223203067264,0.9883075519604428,0.98603962706221,0.9837717021639772
obesity,-0.023662871402021522,-0.0011083943115497781,0.00027619281147104794,-4.0131178854593985,6.0087590459065304e-05,48.489107296482494,0.06894871602192983,0.9736540598313036,0.9685497153934358,0.9634453709555679
