label,approval,maxPhase,isDrug,tier
ABT-126,,2.0,,investigational / trial-stage
ABT-288,,2.0,,investigational / trial-stage
ABT-384,,2.0,,investigational / trial-stage
ACETYLCYSTEINE,1963.0,4.0,True,approved (FDA year on record)
ACITRETIN,1996.0,4.0,True,approved (FDA year on record)
ADENOSINE TRIPHOSPHATE,,2.0,,investigational / trial-stage
ADUCANUMAB,2021.0,4.0,True,approved (FDA year on record)
ALANINE,,3.0,True,investigational / trial-stage
ALEPLASININ,,2.0,,investigational / trial-stage
APP-311,,2.0,,investigational / trial-stage
AQW051,,2.0,,investigational / trial-stage
ARGININE,,3.0,True,investigational / trial-stage
ARIPIPRAZOLE,2002.0,4.0,True,approved (FDA year on record)
ARUNDIC ACID,,2.0,,investigational / trial-stage
ATABECESTAT,,2.0,,investigational / trial-stage
ATOMOXETINE HYDROCHLORIDE,2002.0,4.0,True,approved (FDA year on record)
ATORVASTATIN,1996.0,4.0,True,approved (FDA year on record)
ATORVASTATIN CALCIUM,1996.0,4.0,True,approved (FDA year on record)
ATUZAGINSTAT,,2.0,,investigational / trial-stage
AUS-131,,2.0,,investigational / trial-stage
AVAGACESTAT,,2.0,,investigational / trial-stage
AZD-3839,,1.0,,investigational / trial-stage
AZD0328,,2.0,,investigational / trial-stage
AZD1446,,2.0,,investigational / trial-stage
AZELIRAGON,,3.0,True,investigational / trial-stage
BAPINEUZUMAB,,3.0,True,investigational / trial-stage
BEGACESTAT,,2.0,,investigational / trial-stage
BENFOTIAMINE,,3.0,True,investigational / trial-stage
BENZGALANTAMINE,2024.0,4.0,True,approved (FDA year on record)
BENZGALANTAMINE GLUCONATE,2024.0,4.0,True,approved (FDA year on record)
BEPRANEMAB,,2.0,,investigational / trial-stage
BEXAROTENE,1999.0,4.0,True,approved (FDA year on record)
BIFEPRUNOX,,3.0,True,investigational / trial-stage
BILIRUBIN,,1.0,,investigational / trial-stage
BLARCAMESINE HYDROCHLORIDE,,3.0,True,investigational / trial-stage
BMS-984923,,1.0,,investigational / trial-stage
BREXANOLONE,2019.0,4.0,True,approved (FDA year on record)
BREXPIPRAZOLE,2015.0,4.0,True,approved (FDA year on record)
BROMOCRIPTINE,1978.0,4.0,True,approved (FDA year on record)
BRYOSTATIN 1,,2.0,,investigational / trial-stage
BUMETANIDE,1983.0,4.0,True,approved (FDA year on record)
BUNTANETAP,,3.0,True,investigational / trial-stage
BUNTANETAP TARTRATE,,3.0,True,investigational / trial-stage
BUPROPION,1985.0,4.0,True,approved (FDA year on record)
CAFFEINE,1948.0,4.0,True,approved (FDA year on record)
CANNABIDIOL,2018.0,4.0,True,approved (FDA year on record)
CELECOXIB,1998.0,4.0,True,approved (FDA year on record)
CEPEROGNASTAT,,2.0,,investigational / trial-stage
CERLAPIRDINE,,2.0,,investigational / trial-stage
CMS-121,,1.0,,investigational / trial-stage
COPPER,1982.0,4.0,True,approved (FDA year on record)
CP-609754,,1.0,,investigational / trial-stage
CRENEZUMAB,,3.0,True,investigational / trial-stage
CROMOLYN,1982.0,4.0,True,approved (FDA year on record)
CURCUMIN,,3.0,True,investigational / trial-stage
CYANOCOBALAMIN,1982.0,4.0,True,approved (FDA year on record)
DAPAGLIFLOZIN,2012.0,4.0,True,approved (FDA year on record)
DARATUMUMAB,2015.0,4.0,True,approved (FDA year on record)
DASATINIB ANHYDROUS,2006.0,4.0,True,approved (FDA year on record)
DEXMEDETOMIDINE,1999.0,4.0,True,approved (FDA year on record)
DEXTROMETHORPHAN,1982.0,4.0,True,approved (FDA year on record)
DIVALPROEX SODIUM,1983.0,4.0,True,approved (FDA year on record)
DOCONEXENT,,3.0,True,investigational / trial-stage
DONANEMAB,,4.0,True,investigational / trial-stage
DONEPEZIL,1996.0,4.0,True,approved (FDA year on record)
DONEPEZIL HYDROCHLORIDE,1996.0,4.0,True,approved (FDA year on record)
DOXYCYCLINE,1967.0,4.0,True,approved (FDA year on record)
DRINABANT,,3.0,True,investigational / trial-stage
E-2212,,1.0,,investigational / trial-stage
EDELINONTRINE,,2.0,,investigational / trial-stage
ELENBECESTAT,,3.0,True,investigational / trial-stage
ENCENICLINE,,3.0,True,investigational / trial-stage
ENCENICLINE HYDROCHLORIDE,,3.0,True,investigational / trial-stage
EPIGALOCATECHIN GALLATE,,3.0,True,investigational / trial-stage
ERGOCALCIFEROL,1941.0,4.0,True,approved (FDA year on record)
ESCITALOPRAM,2002.0,4.0,True,approved (FDA year on record)
ESTRADIOL,1975.0,4.0,True,approved (FDA year on record)
ESTROGEN,,3.0,True,investigational / trial-stage
ETALANETUG,,2.0,,investigational / trial-stage
ETAZOLATE,,2.0,,investigational / trial-stage
FACINICLINE HYDROCHLORIDE,,2.0,,investigational / trial-stage
FK-962,,2.0,,investigational / trial-stage
FLORBETABEN,2014.0,4.0,True,approved (FDA year on record)
FLORBETABEN F18,2014.0,4.0,True,approved (FDA year on record)
FLORBETAPIR F 18,2012.0,4.0,True,approved (FDA year on record)
FLORQUINITAU,,3.0,True,investigational / trial-stage
FLORQUINITAU F18,,2.0,,investigational / trial-stage
FLORTAUCIPIR,2020.0,4.0,True,approved (FDA year on record)
FLORTAUCIPIR F 18,2020.0,4.0,True,approved (FDA year on record)
FLUCONAZOLE,1990.0,4.0,True,approved (FDA year on record)
FLUDEOXYGLUCOSE F 18,1994.0,4.0,True,approved (FDA year on record)
FLUTAFURANOL F 18,,3.0,True,investigational / trial-stage
FLUTEMETAMOL,2013.0,4.0,True,approved (FDA year on record)
FLUTEMETAMOL F 18,2013.0,4.0,True,approved (FDA year on record)
FOLIC ACID,1982.0,4.0,True,approved (FDA year on record)
FORMOTEROL,2001.0,4.0,True,approved (FDA year on record)
FOSGONIMETON,,3.0,True,investigational / trial-stage
FOSGONIMETON SODIUM,,3.0,True,investigational / trial-stage
GALANTAMINE,2001.0,4.0,True,approved (FDA year on record)
GALANTAMINE HYDROBROMIDE,2001.0,4.0,True,approved (FDA year on record)
GANTENERUMAB,,3.0,True,investigational / trial-stage
GEMFIBROZIL,1981.0,4.0,True,approved (FDA year on record)
GLYCINE,1982.0,4.0,True,approved (FDA year on record)
GOSURANEMAB,,2.0,,investigational / trial-stage
GSI-136,,1.0,,investigational / trial-stage
GSK-2647544,,1.0,,investigational / trial-stage
GSK239512,,2.0,,investigational / trial-stage
GTS-21,,2.0,,investigational / trial-stage
GUANFACINE,1986.0,4.0,True,approved (FDA year on record)
HALOPERIDOL,1967.0,4.0,True,approved (FDA year on record)
HTL-9936,,1.0,,investigational / trial-stage
HUPERZINE A,,2.0,,investigational / trial-stage
HYDRALAZINE HYDROCHLORIDE,1953.0,4.0,True,approved (FDA year on record)
HYDROMETHYLTHIONINE MESYLATE,,3.0,True,investigational / trial-stage
IBUPROFEN,1974.0,4.0,True,approved (FDA year on record)
ICLEPERTIN,,3.0,True,investigational / trial-stage
ICOSAPENT ETHYL,2012.0,4.0,True,approved (FDA year on record)
IDALOPIRDINE,,3.0,True,investigational / trial-stage
IDAZOXAN,,3.0,True,investigational / trial-stage
INDOMETHACIN,1965.0,4.0,True,approved (FDA year on record)
INOSITOL,,3.0,True,investigational / trial-stage
INTEPIRDINE,,3.0,True,investigational / trial-stage
IOFLUPANE I 123,2000.0,4.0,True,approved (FDA year on record)
ISMIDENON,,2.0,,investigational / trial-stage
ISOCARBOXAZID,1959.0,4.0,True,approved (FDA year on record)
ISOTRETINOIN,1982.0,4.0,True,approved (FDA year on record)
ISPRONICLINE,,2.0,,investigational / trial-stage
ITRACONAZOLE,1992.0,4.0,True,approved (FDA year on record)
J147,,1.0,,investigational / trial-stage
KETOCONAZOLE,1981.0,4.0,True,approved (FDA year on record)
LAMIVUDINE,1995.0,4.0,True,approved (FDA year on record)
LANABECESTAT,,3.0,True,investigational / trial-stage
LATREPIRDINE,,3.0,True,investigational / trial-stage
LAZUCIRNON,,2.0,,investigational / trial-stage
