label,approval,maxPhase,isDrug,tier
LAZUCIRNON HYDROCHLORIDE,,1.0,,investigational / trial-stage
LECANEMAB,2023.0,4.0,True,approved (FDA year on record)
LECOZOTAN,,3.0,True,investigational / trial-stage
LECOZOTAN HYDROCHLORIDE,,3.0,True,investigational / trial-stage
LEMBOREXANT,2020.0,4.0,True,approved (FDA year on record)
LEVETIRACETAM,1999.0,4.0,True,approved (FDA year on record)
"LIPOIC ACID, ALPHA",,3.0,True,investigational / trial-stage
LITHIUM CARBONATE,1970.0,4.0,True,approved (FDA year on record)
LORAZEPAM,1977.0,4.0,True,approved (FDA year on record)
LORNOXICAM,,3.0,True,investigational / trial-stage
LUMATEPERONE,2019.0,4.0,True,approved (FDA year on record)
LY-2811376,,1.0,,investigational / trial-stage
LY-2886721,,1.0,,investigational / trial-stage
MASITINIB,,3.0,True,investigational / trial-stage
MASUPIRDINE,,3.0,True,investigational / trial-stage
MEDROXYPROGESTERONE ACETATE,1959.0,4.0,True,approved (FDA year on record)
MEMANTINE,2002.0,4.0,True,approved (FDA year on record)
MEMANTINE HYDROCHLORIDE,2002.0,4.0,True,approved (FDA year on record)
METHYLENE BLUE ANHYDROUS,2011.0,4.0,True,approved (FDA year on record)
METHYLPHENIDATE,1955.0,4.0,True,approved (FDA year on record)
MEVIDALEN,,2.0,,investigational / trial-stage
MEVIDALEN HYDROXYBENZOATE,,1.0,,investigational / trial-stage
MIBAMPATOR,,2.0,,investigational / trial-stage
MIDAZOLAM,1985.0,4.0,True,approved (FDA year on record)
MIFEPRISTONE,2000.0,4.0,True,approved (FDA year on record)
MITOGLITAZONE,,2.0,,investigational / trial-stage
MK-0249,,2.0,,investigational / trial-stage
MK-7622,,2.0,,investigational / trial-stage
MK-8189,,2.0,,investigational / trial-stage
MODAFINIL,1998.0,4.0,True,approved (FDA year on record)
MONTELUKAST,1998.0,4.0,True,approved (FDA year on record)
MOXIFLOXACIN,1999.0,4.0,True,approved (FDA year on record)
MW-150,,2.0,,investigational / trial-stage
NAPROXEN,1976.0,4.0,True,approved (FDA year on record)
NAPROXEN SODIUM,1980.0,4.0,True,approved (FDA year on record)
NEFIRACETAM,,2.0,,investigational / trial-stage
NEFLAMAPIMOD,,2.0,,investigational / trial-stage
NERAMEXANE,,3.0,True,investigational / trial-stage
NIACINAMIDE,1982.0,4.0,True,approved (FDA year on record)
NILOTINIB,2007.0,4.0,True,approved (FDA year on record)
NILVADIPINE,,3.0,True,investigational / trial-stage
OBICETRAPIB,,3.0,True,investigational / trial-stage
OCTAHYDROAMINOACRIDINE SUCCINATE,,3.0,True,investigational / trial-stage
OMEGA-3-ACID ETHYL ESTERS,2004.0,4.0,True,approved (FDA year on record)
OMEPRAZOLE,1989.0,4.0,True,approved (FDA year on record)
ORM-12741,,2.0,,investigational / trial-stage
OSORESNONTRINE,,2.0,,investigational / trial-stage
OXALOACETATE,,2.0,,investigational / trial-stage
PALIRODEN,,2.0,,investigational / trial-stage
PEPINEMAB,,2.0,,investigational / trial-stage
PERINDOPRIL,1993.0,4.0,True,approved (FDA year on record)
PF-03654746,,2.0,,investigational / trial-stage
PF-05212377,,2.0,,investigational / trial-stage
PIMAVANSERIN TARTRATE,2016.0,4.0,True,approved (FDA year on record)
PIOGLITAZONE,1999.0,4.0,True,approved (FDA year on record)
PIROMELATINE,,2.0,,investigational / trial-stage
PONEZUMAB,,2.0,,investigational / trial-stage
POSDINEMAB,,2.0,,investigational / trial-stage
POZANICLINE,,2.0,,investigational / trial-stage
PRAMIPEXOLE,1997.0,4.0,True,approved (FDA year on record)
PREDNISONE,1955.0,4.0,True,approved (FDA year on record)
PROGESTERONE,1976.0,4.0,True,approved (FDA year on record)
PRX-03140,,2.0,,investigational / trial-stage
PYRIDOXINE,1982.0,4.0,True,approved (FDA year on record)
QUERCETIN,,3.0,True,investigational / trial-stage
RALOXIFENE,1997.0,4.0,True,approved (FDA year on record)
RASAGILINE,2005.0,4.0,True,approved (FDA year on record)
RAZPIPADON,,2.0,,investigational / trial-stage
REMTERNETUG,,3.0,True,investigational / trial-stage
RESEQUINIL,,2.0,,investigational / trial-stage
RESVERATROL,,3.0,True,investigational / trial-stage
RIFAMPIN,1971.0,4.0,True,approved (FDA year on record)
RIFAXIMIN,2004.0,4.0,True,approved (FDA year on record)
RILAPLADIB,,2.0,,investigational / trial-stage
RILUZOLE,1995.0,4.0,True,approved (FDA year on record)
RISPERIDONE,1993.0,4.0,True,approved (FDA year on record)
RIVASTIGMINE,1998.0,4.0,True,approved (FDA year on record)
RIVASTIGMINE TARTRATE,1998.0,4.0,True,approved (FDA year on record)
ROFECOXIB,1999.0,4.0,True,approved (FDA year on record)
ROSIGLITAZONE,1999.0,4.0,True,approved (FDA year on record)
ROTIGOTINE,2006.0,4.0,True,approved (FDA year on record)
SABIRNETUG,,2.0,,investigational / trial-stage
SALSALATE,,2.0,,investigational / trial-stage
SAPROPTERIN,2007.0,4.0,True,approved (FDA year on record)
SARACATINIB,,3.0,True,investigational / trial-stage
SCOPOLAMINE,1979.0,4.0,True,approved (FDA year on record)
SCYLLITOL,,2.0,,investigational / trial-stage
SELEGILINE HYDROCHLORIDE,1989.0,4.0,True,approved (FDA year on record)
SELENIUM,,3.0,True,investigational / trial-stage
SELTOREXANT,,3.0,True,investigational / trial-stage
SEMAGACESTAT,,3.0,True,investigational / trial-stage
SEMORINEMAB,,2.0,,investigational / trial-stage
SERINE,,3.0,True,investigational / trial-stage
SGS-742,,2.0,,investigational / trial-stage
SIMUFILAM,,3.0,True,investigational / trial-stage
SIMUFILAM HYDROCHLORIDE,,1.0,,investigational / trial-stage
SIMVASTATIN,1991.0,4.0,True,approved (FDA year on record)
SIROLIMUS,1999.0,4.0,True,approved (FDA year on record)
SODIUM CHLORIDE,1982.0,4.0,True,approved (FDA year on record)
SOLANEZUMAB,,3.0,True,investigational / trial-stage
SPG-302,,2.0,,investigational / trial-stage
SSR180711,,2.0,,investigational / trial-stage
SUVOREXANT,2014.0,4.0,True,approved (FDA year on record)
T-817 MALEATE,,2.0,,investigational / trial-stage
TAK-071,,2.0,,investigational / trial-stage
TALSACLIDINE,,2.0,,investigational / trial-stage
TAMIBAROTENE,2005.0,4.0,True,approved (FDA year on record)
TARENFLURBIL,,3.0,True,investigational / trial-stage
TELMISARTAN,1998.0,4.0,True,approved (FDA year on record)
TESOFENSINE,,2.0,,investigational / trial-stage
THALIDOMIDE,1956.0,4.0,True,approved (FDA year on record)
THIETHYLPERAZINE,1961.0,4.0,True,approved (FDA year on record)
TIDEGLUSIB,,2.0,,investigational / trial-stage
TILAVONEMAB,,2.0,,investigational / trial-stage
TRAMIPROSATE,,3.0,True,investigational / trial-stage
TRAZODONE,1981.0,4.0,True,approved (FDA year on record)
TRICAPRILIN,,3.0,True,investigational / trial-stage
TRONTINEMAB,,2.0,,investigational / trial-stage
UDENAFIL,,3.0,True,investigational / trial-stage
VAFIDEMSTAT,,2.0,,investigational / trial-stage
VALILTRAMIPROSATE,,3.0,True,investigational / trial-stage
VALPROIC ACID,1978.0,4.0,True,approved (FDA year on record)
VARENICLINE,2006.0,4.0,True,approved (FDA year on record)
VAROGLUTAMSTAT,,2.0,,investigational / trial-stage
VELUSETRAG,,2.0,,investigational / trial-stage
VENLAFAXINE HYDROCHLORIDE,1993.0,4.0,True,approved (FDA year on record)
VERUBECESTAT,,3.0,True,investigational / trial-stage
VORINOSTAT,2006.0,4.0,True,approved (FDA year on record)
WARFARIN,1954.0,4.0,True,approved (FDA year on record)
XALIPRODEN,,3.0,True,investigational / trial-stage
"XENON XE-129, HYPERPOLARIZED",2022.0,4.0,True,approved (FDA year on record)
ZAGOCIGUAT,,2.0,,investigational / trial-stage
ZAGOTENEMAB,,2.0,,investigational / trial-stage
ZATOLMILAST,,3.0,True,investigational / trial-stage
