assayName,sym,dir,log2fc,adjp
'Alzheimers disease' vs 'normal' in 'hippocampus',AC004951.1,up,1.5,0.00922832
'Alzheimers disease' vs 'normal' in 'hippocampus',AC004951.6,up,1.5,0.00922832
'progressive supranuclear palsy' vs 'normal',AC004951.1,up,1.1,0.00755108
'progressive supranuclear palsy' vs 'normal',AC004951.6,up,1.1,0.00755108
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC004951.1,up,2.3,2.47351e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC004951.6,up,2.3,2.47351e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC004951.1,up,2.4,0.000180665
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC004951.6,up,2.4,0.000180665
'Pick disease' vs 'normal',AL589880.1,up,1.2,0.00151384
'Pick disease' vs 'normal',RP11-111F16.2,up,1.2,0.00151384
'Pick disease' vs 'normal',AC021078.1,up,1.1,4.18605e-06
'Pick disease' vs 'normal',CTB-89H12.4,up,1.1,4.18605e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AL139241.1,up,1.3,0.000106766
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-34A14.3,up,1.3,0.000106766
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AL691447.2,down,-1.0,0.0021438
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-307E17.8,down,-1.0,0.0021438
'Pick disease' vs 'normal',AL683813.1,up,1.1,7.42803e-05
'Pick disease' vs 'normal',RP11-1114A5.4,up,1.1,7.42803e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AL683813.1,up,1.0,0.00109747
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',RP11-1114A5.4,up,1.0,0.00109747
'Alzheimers disease' vs 'normal' in 'hippocampus',AL683813.1,up,1.2,2.9265e-07
'Alzheimers disease' vs 'normal' in 'hippocampus',RP11-1114A5.4,up,1.2,2.9265e-07
'Pick disease' vs 'normal',AL161457.2,up,1.3,0.0094086
