go,goLabel,ns,k,K,expected,fold,p,fdr,n,N
http://purl.obolibrary.org/obo/GO_0032733,positive regulation of interleukin-10 production,Biological Process,3,24,0.5471652593486128,5.482804232804233,0.01659637698079936,0.031646138185610254,189,8290
http://purl.obolibrary.org/obo/GO_0032735,positive regulation of interleukin-12 production,Biological Process,3,24,0.5471652593486128,5.482804232804233,0.01659637698079936,0.031646138185610254,189,8290
http://purl.obolibrary.org/obo/GO_0048678,response to axon injury,Biological Process,3,24,0.5471652593486128,5.482804232804233,0.01659637698079936,0.031646138185610254,189,8290
http://purl.obolibrary.org/obo/GO_0042981,regulation of apoptotic process,Biological Process,7,117,2.6674306393244875,2.624248179803735,0.01731901121866458,0.0329061213154627,189,8290
http://purl.obolibrary.org/obo/GO_0034446,substrate adhesion-dependent cell spreading,Biological Process,3,25,0.5699638118214716,5.263492063492064,0.0185493396472087,0.035118322748452065,189,8290
http://purl.obolibrary.org/obo/GO_0007623,circadian rhythm,Biological Process,4,46,1.0487334137515079,3.814124683689901,0.020266822592773882,0.03809876190585055,189,8290
http://purl.obolibrary.org/obo/GO_0031667,response to nutrient levels,Biological Process,4,46,1.0487334137515079,3.814124683689901,0.020266822592773882,0.03809876190585055,189,8290
http://purl.obolibrary.org/obo/GO_0003774,cytoskeletal motor activity,Molecular Function,3,26,0.5927623642943305,5.061050061050062,0.02062435284875543,0.03823050771964421,189,8290
http://purl.obolibrary.org/obo/GO_0098553,lumenal side of endoplasmic reticulum membrane,Cellular Component,3,26,0.5927623642943305,5.061050061050062,0.02062435284875543,0.03823050771964421,189,8290
http://purl.obolibrary.org/obo/GO_0044853,plasma membrane raft,Cellular Component,3,26,0.5927623642943305,5.061050061050062,0.02062435284875543,0.03823050771964421,189,8290
http://purl.obolibrary.org/obo/GO_0001530,lipopolysaccharide binding,Molecular Function,3,26,0.5927623642943305,5.061050061050062,0.02062435284875543,0.03823050771964421,189,8290
http://purl.obolibrary.org/obo/GO_0005925,focal adhesion,Cellular Component,13,303,6.907961399276236,1.8818866013585487,0.021024465872663933,0.03883686057033754,189,8290
