disease,study,title,tech,pmid
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-MEXP-2280,Transcription profiling of patients with four neurodegenerative disorders distinguishes tauopathies and identifies shared molecular pathways,,19714246.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-MTAB-6094,Whole genome transcriptional analysis of Alzheimer's disease patients compared with age-matched non-demented controls,,
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-31,Proteomic Atlas of the human brain in Alzheimer's disease,,30735395.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-32,Proteomic signatures of brain regions affected by tau pathology in early and late stages of Alzheimer's disease,,31207390.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-51,Proteome analysis of the drosolateral prefrontal cortex of human brain from Adult Changes in Thought Study collection,,32284590.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-53,Proteome analysis of the drosolateral prefrontal cortex of human brain from Adult Changes in Thought Study collection,,32284590.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-54,Protein expression in the dorsolateral prefrontal cortex brain samples from the Baltimore Longitudinal Study of Aging (BLSA),,32284590.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-55,Protein expression in precuneus cortex brain samples from the Baltimore Longitudinal Study of Aging (BLSA),,32284590.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-56,Protein expression in temporal cortex brain samples from the Mayo Clinic Brain Bank,,32284590.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-57,The Mount Sinai cohort of large-scale proteomic data in Alzheimer's disease,,30204156.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-58,Protein expression in the dorsolateral prefrontal complex brain samples from the University of Pennsylvania School of Medicine Brain Bank,,32284590.0
http://purl.obolibrary.org/obo/MONDO_0004975,http://purl.org/okn/wobd/study/E-PROT-61,Proteomic Atlas of the Human Brain in Alzheimer's Disease,,30735395.0
http://purl.obolibrary.org/obo/MONDO_0004976,http://purl.org/okn/wobd/study/E-GEOD-3307,Comparative profiling in 13 muscle disease groups,,16478798.0
http://purl.obolibrary.org/obo/MONDO_0004976,http://purl.org/okn/wobd/study/E-GEOD-52202,iPSC derived motor neuron cultures from C9ORF72 carriers,,24154603.0
http://purl.obolibrary.org/obo/MONDO_0004976,http://purl.org/okn/wobd/study/E-GEOD-60424,Next generation sequencing of human immune cell subsets across diseases,,25314013.0
http://purl.obolibrary.org/obo/MONDO_0004976,http://purl.org/okn/wobd/study/E-MTAB-1925,Transcription profiling by array of post-mortem brain cortex from healthy control patients and amyotrophic lateral sclerosis patients that carry an expanded GGGGCC repeat mutation in the chromosome 9 open reading frame 72 (C9ORF72) gene,,24139042.0
