sym,go,goLabel,ns
A2M,http://purl.obolibrary.org/obo/GO_0001869,"negative regulation of complement activation, lectin pathway",Biological Process
A2M,http://purl.obolibrary.org/obo/GO_0002020,protease binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0004866,endopeptidase inhibitor activity,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0004867,serine-type endopeptidase inhibitor activity,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0005102,signaling receptor binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0005515,protein binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0005576,extracellular region,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0005615,extracellular space,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0019838,growth factor binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0019899,enzyme binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0019959,interleukin-8 binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0019966,interleukin-1 binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0030414,peptidase inhibitor activity,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0031012,extracellular matrix,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0031093,platelet alpha granule lumen,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0043120,tumor necrosis factor binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0048306,calcium-dependent protein binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0070062,extracellular exosome,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0072562,blood microparticle,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0000166,nucleotide binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005102,signaling receptor binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005515,protein binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005524,ATP binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005548,phospholipid transporter activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005768,endosome,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0005789,endoplasmic reticulum membrane,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0005794,Golgi apparatus,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0006629,lipid metabolic process,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0007040,lysosome organization,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0007186,G protein-coupled receptor signaling pathway,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0007584,response to nutrient,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0008035,high-density lipoprotein particle binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0008202,steroid metabolic process,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0008203,cholesterol metabolic process,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0008320,protein transmembrane transporter activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0009306,protein secretion,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0009410,response to xenobiotic stimulus,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0009897,external side of plasma membrane,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0009986,cell surface,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0010745,negative regulation of macrophage derived foam cell differentiation,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0010875,positive regulation of cholesterol efflux,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0010887,negative regulation of cholesterol storage,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0015485,cholesterol binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0015850,organic hydroxy compound transport,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0015914,phospholipid transport,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0016020,membrane,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0016197,endosomal transport,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0016323,basolateral plasma membrane,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0016887,ATP hydrolysis activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0019905,syntaxin binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0023061,signal release,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0030139,endocytic vesicle,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0030301,cholesterol transport,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0031210,phosphatidylcholine binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0031267,small GTPase binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0031667,response to nutrient levels,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0032367,intracellular cholesterol transport,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0032489,regulation of Cdc42 protein signal transduction,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0033344,cholesterol efflux,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0033552,response to vitamin B3,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0033700,phospholipid efflux,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0034185,apolipoprotein binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0034186,apolipoprotein A-I binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0034188,apolipoprotein A-I receptor activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0034380,high-density lipoprotein particle assembly,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0034616,response to laminar fluid shear stress,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0038027,apolipoprotein A-I-mediated signaling pathway,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0042158,lipoprotein biosynthetic process,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0042626,ATPase-coupled transmembrane transporter activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0042632,cholesterol homeostasis,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0043691,reverse cholesterol transport,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0045121,membrane raft,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0045332,phospholipid translocation,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0045335,phagocytic vesicle,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0046623,sphingolipid floppase activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0048471,perinuclear region of cytoplasm,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0051117,ATPase binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0055085,transmembrane transport,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0055091,phospholipid homeostasis,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0060155,platelet dense granule organization,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0071222,cellular response to lipopolysaccharide,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0071300,cellular response to retinoic acid,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0071345,cellular response to cytokine stimulus,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0071397,cellular response to cholesterol,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0071404,cellular response to low-density lipoprotein particle stimulus,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0071466,cellular response to xenobiotic stimulus,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0071806,protein transmembrane transport,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0090107,regulation of high-density lipoprotein particle assembly,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0090108,positive regulation of high-density lipoprotein particle assembly,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0090554,phosphatidylcholine floppase activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0090556,phosphatidylserine floppase activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0097708,intracellular vesicle,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0099039,sphingolipid translocation,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0120020,cholesterol transfer activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0140115,export across plasma membrane,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0140326,ATPase-coupled intramembrane lipid transporter activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0140328,floppase activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0140359,ABC-type transporter activity,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0000166,nucleotide binding,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0001573,ganglioside metabolic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0005524,ATP binding,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0005764,lysosome,Cellular Component
ABCA2,http://purl.obolibrary.org/obo/GO_0005765,lysosomal membrane,Cellular Component
ABCA2,http://purl.obolibrary.org/obo/GO_0005768,endosome,Cellular Component
ABCA2,http://purl.obolibrary.org/obo/GO_0005815,microtubule organizing center,Cellular Component
ABCA2,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,Cellular Component
ABCA2,http://purl.obolibrary.org/obo/GO_0006629,lipid metabolic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0006684,sphingomyelin metabolic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0006687,glycosphingolipid metabolic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0007626,locomotory behavior,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0009410,response to xenobiotic stimulus,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0010008,endosome membrane,Cellular Component
ABCA2,http://purl.obolibrary.org/obo/GO_0016020,membrane,Cellular Component
ABCA2,http://purl.obolibrary.org/obo/GO_0016887,ATP hydrolysis activity,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0031410,cytoplasmic vesicle,Cellular Component
ABCA2,http://purl.obolibrary.org/obo/GO_0032289,central nervous system myelin formation,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0032383,regulation of intracellular cholesterol transport,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0042626,ATPase-coupled transmembrane transporter activity,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0042632,cholesterol homeostasis,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0042986,positive regulation of amyloid precursor protein biosynthetic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0045540,regulation of cholesterol biosynthetic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0048545,response to steroid hormone,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0051247,positive regulation of protein metabolic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0055085,transmembrane transport,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0061135,endopeptidase regulator activity,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0070723,response to cholesterol,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0071072,negative regulation of phospholipid biosynthetic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0090155,negative regulation of sphingolipid biosynthetic process,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0090156,intracellular sphingolipid homeostasis,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0099038,ceramide floppase activity,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0099040,ceramide translocation,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_0140328,floppase activity,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0140359,ABC-type transporter activity,Molecular Function
ABCA2,http://purl.obolibrary.org/obo/GO_0150104,transport across blood-brain barrier,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_1902004,positive regulation of amyloid-beta formation,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_1904375,regulation of protein localization to cell periphery,Biological Process
ABCA2,http://purl.obolibrary.org/obo/GO_2000008,regulation of protein localization to cell surface,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0000139,Golgi membrane,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0000166,nucleotide binding,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0001891,phagocytic cup,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0005515,protein binding,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0005524,ATP binding,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0005548,phospholipid transporter activity,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0005737,cytoplasm,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0005783,endoplasmic reticulum,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0005794,Golgi apparatus,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0006869,lipid transport,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0006909,phagocytosis,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0007613,memory,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0008542,visual learning,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0009986,cell surface,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0010875,positive regulation of cholesterol efflux,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0016020,membrane,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0016887,ATP hydrolysis activity,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0019216,regulation of lipid metabolic process,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0030054,cell junction,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0031901,early endosome membrane,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0032587,ruffle membrane,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0033344,cholesterol efflux,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0033700,phospholipid efflux,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0034188,apolipoprotein A-I receptor activity,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0034205,amyloid-beta formation,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0034380,high-density lipoprotein particle assembly,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0034504,protein localization to nucleus,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0038027,apolipoprotein A-I-mediated signaling pathway,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0042985,negative regulation of amyloid precursor protein biosynthetic process,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0043409,negative regulation of MAPK cascade,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0044857,plasma membrane raft organization,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0045332,phospholipid translocation,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0045806,negative regulation of endocytosis,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0050766,positive regulation of phagocytosis,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0055085,transmembrane transport,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0070374,positive regulation of ERK1 and ERK2 cascade,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_0090554,phosphatidylcholine floppase activity,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0090556,phosphatidylserine floppase activity,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0097386,glial cell projection,Cellular Component
ABCA7,http://purl.obolibrary.org/obo/GO_0140326,ATPase-coupled intramembrane lipid transporter activity,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0140328,floppase activity,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0140359,ABC-type transporter activity,Molecular Function
ABCA7,http://purl.obolibrary.org/obo/GO_0150094,amyloid-beta clearance by cellular catabolic process,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_1900223,positive regulation of amyloid-beta clearance,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_1901076,positive regulation of engulfment of apoptotic cell,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_1902430,negative regulation of amyloid-beta formation,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_1902991,regulation of amyloid precursor protein catabolic process,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_1902995,positive regulation of phospholipid efflux,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_1903898,negative regulation of PERK-mediated unfolded protein response,Biological Process
ABCA7,http://purl.obolibrary.org/obo/GO_2000010,positive regulation of protein localization to cell surface,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0001822,kidney development,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0001974,blood vessel remodeling,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0002003,angiotensin maturation,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0002019,regulation of renal output by angiotensin,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0002446,neutrophil mediated immunity,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0002474,antigen processing and presentation of peptide antigen via MHC class I,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0003081,regulation of systemic arterial blood pressure by renin-angiotensin,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0004175,endopeptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0004180,carboxypeptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0004181,metallocarboxypeptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0004222,metalloendopeptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0005516,calmodulin binding,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0005576,extracellular region,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0005615,extracellular space,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0005737,cytoplasm,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0005764,lysosome,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0005768,endosome,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0006508,proteolysis,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0007283,spermatogenesis,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0008217,regulation of blood pressure,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0008233,peptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0008237,metallopeptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0008238,exopeptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0008240,tripeptidyl-peptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0008241,peptidyl-dipeptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0008270,zinc ion binding,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0008584,male gonad development,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0009897,external side of plasma membrane,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0010608,post-transcriptional regulation of gene expression,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0010629,negative regulation of gene expression,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0010814,substance P catabolic process,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0010815,bradykinin catabolic process,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0014910,regulation of smooth muscle cell migration,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0016020,membrane,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0016787,hydrolase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0019229,regulation of vasoconstriction,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0031404,chloride ion binding,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0031434,mitogen-activated protein kinase kinase binding,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0031711,bradykinin receptor binding,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0032943,mononuclear cell proliferation,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0038166,angiotensin-activated signaling pathway,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0042445,hormone metabolic process,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0042447,hormone catabolic process,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0043171,peptide catabolic process,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0046872,metal ion binding,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0048167,regulation of synaptic plasticity,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0050435,amyloid-beta metabolic process,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0050482,arachidonate secretion,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0051019,mitogen-activated protein kinase binding,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0060047,heart contraction,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0060177,regulation of angiotensin metabolic process,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0060218,hematopoietic stem cell differentiation,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0070062,extracellular exosome,Cellular Component
ACE,http://purl.obolibrary.org/obo/GO_0070573,metallodipeptidase activity,Molecular Function
ACE,http://purl.obolibrary.org/obo/GO_0071838,cell proliferation in bone marrow,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0086091,regulation of heart rate by cardiac conduction,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_0097746,blood vessel diameter maintenance,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_1902033,regulation of hematopoietic stem cell proliferation,Biological Process
ACE,http://purl.obolibrary.org/obo/GO_1903597,negative regulation of gap junction assembly,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0000139,Golgi membrane,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0001701,in utero embryonic development,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0004175,endopeptidase activity,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0004222,metalloendopeptidase activity,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0005178,integrin binding,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0005515,protein binding,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0005737,cytoplasm,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0005788,endoplasmic reticulum lumen,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0005794,Golgi apparatus,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0005798,Golgi-associated vesicle,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0005912,adherens junction,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0005925,focal adhesion,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0006508,proteolysis,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0006509,membrane protein ectodomain proteolysis,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0007162,negative regulation of cell adhesion,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0007219,Notch signaling pathway,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0007229,integrin-mediated signaling pathway,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0007267,cell-cell signaling,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0008233,peptidase activity,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0008237,metallopeptidase activity,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0008284,positive regulation of cell population proliferation,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0008593,regulation of Notch signaling pathway,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0009986,cell surface,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0010820,positive regulation of T cell chemotaxis,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0014069,postsynaptic density,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0016020,membrane,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0016485,protein processing,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0016787,hydrolase activity,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0017124,SH3 domain binding,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0022617,extracellular matrix disassembly,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0030136,clathrin-coated vesicle,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0030307,positive regulation of cell growth,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0030335,positive regulation of cell migration,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0030424,axon,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0030425,dendrite,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0031410,cytoplasmic vesicle,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0032760,positive regulation of tumor necrosis factor production,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0034332,adherens junction organization,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0034612,response to tumor necrosis factor,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0035579,specific granule membrane,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0038004,epidermal growth factor receptor ligand maturation,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0042117,monocyte activation,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0042803,protein homodimerization activity,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0042985,negative regulation of amyloid precursor protein biosynthetic process,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0042987,amyloid precursor protein catabolic process,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0046872,metal ion binding,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0046931,pore complex assembly,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0051089,constitutive protein ectodomain proteolysis,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0070062,extracellular exosome,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0070573,metallodipeptidase activity,Molecular Function
ADAM10,http://purl.obolibrary.org/obo/GO_0070821,tertiary granule membrane,Cellular Component
ADAM10,http://purl.obolibrary.org/obo/GO_0090102,cochlea development,Biological Process
ADAM10,http://purl.obolibrary.org/obo/GO_0097038,perinuclear endoplasmic reticulum,Cellular Component
