traitLabel,entrez,sym,weight,scoreType,method
beta-amyloid 1-42 measurement,341,APOC1,1.8,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,344,APOC2,1.27,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,57486,NLN,2.36,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,54778,RNF111,1.63,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,54769,DIRAS2,1.82,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,494470,RNF165,3.4,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,63948,DMRTB1,3.63,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,64147,KIF9,1.1,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,56897,WRNIP1,1.06,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,51393,TRPV2,2.39,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,55959,SULF2,2.38,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,5272,SERPINB9,1.33,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,624,BDKRB2,2.16,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,54557,SGTB,2.35,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,91608,RASL10B,1.18,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,8502,PKP4,1.48,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,8091,HMGA2,3.07,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,9211,LGI1,1.74,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,9133,CCNB2,1.61,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,863,CBFA2T3,4.36,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,7314,UBB,1.92,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,79148,MMP28,1.74,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,8148,TAF15,1.28,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,112616,CMTM7,1.32,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10284,SAP18,1.01,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10079,ATP9A,1.33,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,100127206,MINAR2,1.64,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,132320,SCLT1,1.2,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1581,CYP7A1,1.94,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1048,CEACAM5,1.67,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10082,GPC6,1.43,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,112840,WDR89,3.11,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10912,GADD45G,1.9,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,191585,PLAC4,1.06,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1356,CP,1.53,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10956,OS9,2.15,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,1806,DPYD,1.21,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,10452,TOMM40,1.65,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,166863,RBM46,1.92,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,219409,GSX1,1.22,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,140290,TCP10L,1.9,PIGEANCombinedScore,PIGEAN
