traitLabel,entrez,sym,weight,scoreType,method
neurofibrillary tangles measurement,9444,QKI,2.83,PIGEANCombinedScore,PIGEAN
neurofibrillary tangles measurement,9024,BRSK2,1.34,PIGEANCombinedScore,PIGEAN
neurofibrillary tangles measurement,8851,CDK5R1,3.0,PIGEANCombinedScore,PIGEAN
neurofibrillary tangles measurement,94234,FOXQ1,3.82,PIGEANCombinedScore,PIGEAN
neurofibrillary tangles measurement,9051,PSTPIP1,2.36,PIGEANCombinedScore,PIGEAN
neurofibrillary tangles measurement,91768,CABLES1,2.62,PIGEANCombinedScore,PIGEAN
neurofibrillary tangles measurement,885,CCK,2.8,PIGEANCombinedScore,PIGEAN
neurofibrillary tangles measurement,7037,TFRC,3.14,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,100526794,NT5C1B-RDH14,2.21,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,152118,C3orf79,2.55,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,154215,NKAIN2,1.75,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,219844,HYLS1,1.29,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,10561,IFI44,1.41,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,1040,CDS1,3.29,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,23059,CLUAP1,1.04,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,10347,ABCA7,1.03,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,121214,SDR9C7,1.66,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,149647,FAM71A,1.82,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,1272,CNTN1,3.22,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,10419,PRMT5,1.31,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,220382,FAM181B,2.81,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,114,ADCY8,2.77,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,10981,RAB32,2.17,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,10452,TOMM40,1.65,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,114798,SLITRK1,1.68,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,204,AK2,2.92,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,146434,ZNF597,1.62,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,23034,SAMD4A,1.95,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,2034,EPAS1,2.6,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,10345,TRDN,2.73,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,1209,CLPTM1,1.04,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,142910,LIPJ,2.02,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,112885,PHF21B,2.15,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,389073,C2orf80,1.1,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,348,APOE,2.04,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,333926,PPM1J,1.16,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,3347,HTN3,1.26,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,3773,KCNJ16,2.77,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,23355,VPS8,1.04,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,253559,CADM2,1.74,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,387890,TMEM233,2.69,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,3818,KLKB1,1.53,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,4343,MOV10,1.06,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,285440,CYP4V2,1.55,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,3346,HTN1,1.4,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,284467,FAM19A3,1.13,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,389,RHOC,1.18,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,344,APOC2,1.27,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,341,APOC1,1.8,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,285643,KIF4B,2.71,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,389792,IER5L,1.84,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,2786,GNG4,3.45,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,4064,CD180,2.09,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,346,APOC4,1.35,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,23779,ARHGAP8,2.75,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,4325,MMP16,2.6,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,2879,GPX4,1.35,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,23526,HMHA1,1.41,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,29118,DDX25,1.65,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,23604,DAPK2,2.36,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,3667,IRS1,3.49,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,29947,DNMT3L,1.19,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,23308,ICOSLG,1.59,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,23254,KAZN,2.98,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,613,BCR,1.94,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,54930,HAUS4,1.41,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,54879,ST7L,1.66,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,539,ATP5O,2.63,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,646174,C16orf90,1.16,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,467,ATF3,2.51,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,5434,POLR2E,1.42,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,64110,MAGEF1,1.94,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,5069,PAPPA,1.69,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,4729,NDUFV2,3.15,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,642597,C18orf42,2.94,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,5097,PCDH1,2.73,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,55328,RNLS,2.37,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,51112,TRAPPC12,1.35,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,55147,RBM23,1.24,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,55286,C4orf19,1.82,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,54495,TMX3,2.62,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,6310,ATXN1,2.54,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,9904,RBM19,2.55,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,8925,HERC1,1.68,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,79839,CCDC102B,2.56,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,8608,RDH16,1.06,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,9915,ARNT2,2.72,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,7727,ZNF174,1.07,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,93034,NT5C1B,2.21,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,83480,PUS3,1.48,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,84962,AJUBA,1.26,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,7260,TSSC1,1.45,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,9369,NRXN3,1.83,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,9609,RAB36,2.17,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,79903,NAA60,1.61,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,944,TNFSF8,2.65,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,7482,WNT2B,1.47,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,9812,KIAA0141,1.18,PIGEANCombinedScore,PIGEAN
cerebral amyloid deposition measurement,7111,TMOD1,3.52,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,10452,TOMM40,1.53,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,129684,CNTNAP5,2.65,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,120237,DBX1,3.27,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,1740,DLG2,2.84,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,163590,TOR1AIP2,1.24,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,1209,CLPTM1,1.24,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,208,AKT2,1.3,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,128346,C1orf162,1.07,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,2203,FBP1,1.91,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,122183,PRR20A,1.28,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,221357,GSTA5,1.2,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,131616,TMEM42,1.18,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,23016,EXOSC7,1.58,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,344,APOC2,1.45,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,348,APOE,1.77,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,26092,TOR1AIP1,1.14,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,2940,GSTA3,3.71,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,2941,GSTA4,1.2,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,23566,LPAR3,3.35,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,341,APOC1,1.84,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,23742,NPAP1,3.67,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,3275,PRMT2,2.14,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,391475,DYTN,1.92,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,25956,SEC31B,1.42,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,346,APOC4,1.52,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,25771,TBC1D22A,2.16,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,5092,PCBD1,1.63,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,54386,TERF2IP,2.16,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,4714,NDUFB8,2.15,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,6285,S100B,2.89,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,5016,OVGP1,2.31,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,51304,ZDHHC3,2.87,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,57623,ZFAT,3.4,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,515,ATP5F1,1.76,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,55662,HIF1AN,2.9,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,8516,ITGA8,1.63,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,8707,B3GALT2,3.53,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,729250,PRR20E,1.28,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,79822,ARHGAP28,2.96,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,85445,CNTNAP4,3.36,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,9293,GPR52,2.26,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,80032,ZNF556,1.02,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,79084,WDR77,1.76,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,8789,FBP2,3.54,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,80013,FAM188A,2.89,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,729246,PRR20D,1.28,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,84251,SGIP1,3.22,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,729240,PRR20C,1.28,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,93166,PRDM6,2.4,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,729233,PRR20B,1.28,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,673,BRAF,1.54,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,7047,TGM4,1.58,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,79370,BCL2L14,3.4,PIGEANCombinedScore,PIGEAN
t-tau:beta-amyloid 1-42 ratio measurement,414229bdbf5b7c7bca7a,LOC200726,1.73,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,1209,CLPTM1,1.3,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,10715,CERS1,1.56,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,1548,CYP2A6,1.72,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,11316,COPE,1.9,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,10452,TOMM40,1.46,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,163590,TOR1AIP2,2.53,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,1670,DEFA5,4.22,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,196374,KRT78,1.97,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,148753,FAM163A,1.37,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,112398,EGLN2,1.95,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,338785,KRT79,1.56,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,341,APOC1,1.83,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,2657,GDF1,1.56,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,344,APOC2,1.51,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,348,APOE,1.72,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,346,APOC4,1.58,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,3856,KRT8,2.07,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,26092,TOR1AIP1,2.21,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,23331,TTC28,3.17,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,25771,TBC1D22A,4.13,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,54555,DDX49,1.9,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,5092,PCBD1,3.14,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,53916,RAB4B,1.49,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,64781,CERK,1.05,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,9454,HOMER3,1.74,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,93166,PRDM6,3.82,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,79694,MANEA,3.26,PIGEANCombinedScore,PIGEAN
p-tau:beta-amyloid 1-42 ratio measurement,8190,MIA,1.4,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2045,EPHA7,2.6,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,122183,PRR20A,1.34,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1137,CHRNA4,1.83,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1316,KLF6,1.61,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,23102,TBC1D2B,1.88,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,154141,MBOAT1,1.41,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2254,FGF9,1.41,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,113220,KIF12,2.54,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2044,EPHA5,3.09,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,165829,GPR156,1.83,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1129,CHRM2,1.6,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,123,PLIN2,1.64,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,157855,KCNU1,2.35,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,11010,GLIPR1,1.51,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,121256,TMEM132D,1.35,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10855,HPSE,1.08,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,19,ABCA1,1.96,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,144195,SLC2A14,1.43,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,131149,OTOL1,2.77,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,154467,CCDC167,2.22,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10146,G3BP1,1.04,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,116449,CLNK,1.66,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,116255,MOGAT1,1.74,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,175,AGA,2.54,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10076,PTPRU,1.41,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,112802,KRT71,1.08,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,154661,RUNDC3B,1.77,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10100,TSPAN2,4.0,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,127795,C1orf87,1.51,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10776,ARPP19,1.56,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,151648,SGO1,2.13,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10461,MERTK,1.25,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,125058,TBC1D16,2.3,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,153572,IRX2,1.23,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1908,EDN3,1.56,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2180,ACSL1,1.43,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10253,SPRY2,3.12,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,148753,FAM163A,1.11,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1029,CDKN2A,1.38,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1488,CTBP2,1.41,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1734,DIO2,2.2,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1009,CDH11,2.07,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,118856,MMP21,1.96,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,200734,SPRED2,1.88,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,118427,OLFM3,1.51,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10531,PITRM1,3.14,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2162,F13A1,1.68,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10345,TRDN,2.16,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,137970,UNC5D,3.18,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,134288,TMEM174,1.65,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1030,CDKN2B,1.11,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10529,NEBL,2.07,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,222236,NAPEPLD,2.17,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10477,UBE2E3,1.86,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,214,ALCAM,2.2,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,153571,C5orf38,1.21,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,11103,KRR1,1.56,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,152404,IGSF11,2.12,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,105,ADARB2,1.34,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1005,CDH7,3.25,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10056,FARSB,2.15,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1376,CPT2,1.02,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2257,FGF12,2.08,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,114800,CCDC85A,2.79,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,133060,OTOP1,1.74,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,221908,PPP1R35,1.02,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,163589,TDRD5,1.38,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,10983,CCNI,1.6,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1539,CYLC2,1.41,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1036,CDO1,1.11,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,202865,C7orf33,2.06,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1131,CHRM3,2.79,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,1063,CENPF,1.14,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,11221,DUSP10,3.2,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2569,GABRR1,1.33,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,23283,CSTF2T,1.64,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,29,ABR,1.95,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,3485,IGFBP2,1.6,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2898,GRIK2,1.2,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,337880,KRTAP11-1,1.04,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,25816,TNFAIP8,1.71,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,346007,EYS,2.06,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,3738,KCNA3,1.13,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,348801,LNP1,1.11,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,27250,PDCD4,1.37,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,23163,GGA3,1.02,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,27074,LAMP3,1.57,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,4481,MSR1,3.16,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,3002,GZMB,3.16,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,30010,NXPH1,1.58,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,3786,KCNQ3,1.54,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,4543,MTNR1A,1.55,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,3298,HSF2,1.4,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,399947,C11orf87,2.35,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,285605,DTWD2,1.35,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,253430,IPMK,1.72,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,29995,LMCD1,1.69,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2999,GZMH,1.11,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,4255,MGMT,1.84,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,29988,SLC2A8,2.55,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,27164,SALL3,2.21,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,4609,MYC,1.65,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,387914,SHISA2,1.48,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2903,GRIN2A,1.92,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2791,GNG11,1.27,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,2792,GNGT1,1.17,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,4589,MUC7,1.13,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,3983,ABLIM1,1.37,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,23768,FLRT2,1.01,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,312,ANXA13,1.27,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,25913,POT1,2.8,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,308,ANXA5,2.55,PIGEANCombinedScore,PIGEAN
cognitive decline measurement,23252,OTUD3,1.71,PIGEANCombinedScore,PIGEAN
