go,K
http://purl.obolibrary.org/obo/GO_0000479,1
http://purl.obolibrary.org/obo/GO_0000492,3
http://purl.obolibrary.org/obo/GO_0000493,1
http://purl.obolibrary.org/obo/GO_0000494,1
http://purl.obolibrary.org/obo/GO_0000495,1
http://purl.obolibrary.org/obo/GO_0000511,1
http://purl.obolibrary.org/obo/GO_0000512,2
http://purl.obolibrary.org/obo/GO_0000514,2
http://purl.obolibrary.org/obo/GO_0000515,2
http://purl.obolibrary.org/obo/GO_0000578,1
http://purl.obolibrary.org/obo/GO_0000701,1
http://purl.obolibrary.org/obo/GO_0000710,3
http://purl.obolibrary.org/obo/GO_0000712,2
http://purl.obolibrary.org/obo/GO_0000720,1
http://purl.obolibrary.org/obo/GO_0000721,1
http://purl.obolibrary.org/obo/GO_0000722,3
http://purl.obolibrary.org/obo/GO_0000723,26
http://purl.obolibrary.org/obo/GO_0000724,38
http://purl.obolibrary.org/obo/GO_0000725,2
http://purl.obolibrary.org/obo/GO_0000729,7
http://purl.obolibrary.org/obo/GO_0000730,2
http://purl.obolibrary.org/obo/GO_0000731,7
http://purl.obolibrary.org/obo/GO_0000768,1
http://purl.obolibrary.org/obo/GO_0000774,8
http://purl.obolibrary.org/obo/GO_0000775,46
http://purl.obolibrary.org/obo/GO_0000776,95
http://purl.obolibrary.org/obo/GO_0000779,9
http://purl.obolibrary.org/obo/GO_0000781,82
http://purl.obolibrary.org/obo/GO_0000785,432
http://purl.obolibrary.org/obo/GO_0000791,41
http://purl.obolibrary.org/obo/GO_0000792,37
http://purl.obolibrary.org/obo/GO_0000793,23
http://purl.obolibrary.org/obo/GO_0000794,30
http://purl.obolibrary.org/obo/GO_0000795,10
http://purl.obolibrary.org/obo/GO_0000800,6
http://purl.obolibrary.org/obo/GO_0000801,1
http://purl.obolibrary.org/obo/GO_0000805,1
http://purl.obolibrary.org/obo/GO_0000806,1
http://purl.obolibrary.org/obo/GO_0000819,1
http://purl.obolibrary.org/obo/GO_0000822,2
http://purl.obolibrary.org/obo/GO_0000827,1
http://purl.obolibrary.org/obo/GO_0000828,1
http://purl.obolibrary.org/obo/GO_0000829,1
http://purl.obolibrary.org/obo/GO_0000832,1
http://purl.obolibrary.org/obo/GO_0000900,7
http://purl.obolibrary.org/obo/GO_0000902,17
http://purl.obolibrary.org/obo/GO_0000915,1
