go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0005769,early endosome,Cellular Component,18
http://purl.obolibrary.org/obo/GO_0002376,immune system process,Biological Process,18
http://purl.obolibrary.org/obo/GO_0005856,cytoskeleton,Cellular Component,18
http://purl.obolibrary.org/obo/GO_0010008,endosome membrane,Cellular Component,18
http://purl.obolibrary.org/obo/GO_0003723,RNA binding,Molecular Function,17
http://purl.obolibrary.org/obo/GO_0019899,enzyme binding,Molecular Function,17
http://purl.obolibrary.org/obo/GO_0000139,Golgi membrane,Cellular Component,17
http://purl.obolibrary.org/obo/GO_0005102,signaling receptor binding,Molecular Function,17
http://purl.obolibrary.org/obo/GO_0044877,protein-containing complex binding,Molecular Function,16
http://purl.obolibrary.org/obo/GO_0005789,endoplasmic reticulum membrane,Cellular Component,16
http://purl.obolibrary.org/obo/GO_0003677,DNA binding,Molecular Function,16
http://purl.obolibrary.org/obo/GO_0030424,axon,Cellular Component,16
http://purl.obolibrary.org/obo/GO_0045121,membrane raft,Cellular Component,15
http://purl.obolibrary.org/obo/GO_0043025,neuronal cell body,Cellular Component,15
http://purl.obolibrary.org/obo/GO_0030425,dendrite,Cellular Component,15
http://purl.obolibrary.org/obo/GO_0030154,cell differentiation,Biological Process,15
http://purl.obolibrary.org/obo/GO_0043066,negative regulation of apoptotic process,Biological Process,15
http://purl.obolibrary.org/obo/GO_0045944,positive regulation of transcription by RNA polymerase II,Biological Process,15
http://purl.obolibrary.org/obo/GO_0005768,endosome,Cellular Component,15
http://purl.obolibrary.org/obo/GO_0045087,innate immune response,Biological Process,14
http://purl.obolibrary.org/obo/GO_0030335,positive regulation of cell migration,Biological Process,14
http://purl.obolibrary.org/obo/GO_0005765,lysosomal membrane,Cellular Component,14
http://purl.obolibrary.org/obo/GO_0000122,negative regulation of transcription by RNA polymerase II,Biological Process,14
http://purl.obolibrary.org/obo/GO_0006629,lipid metabolic process,Biological Process,14
http://purl.obolibrary.org/obo/GO_0045893,positive regulation of DNA-templated transcription,Biological Process,13
http://purl.obolibrary.org/obo/GO_0008284,positive regulation of cell population proliferation,Biological Process,13
http://purl.obolibrary.org/obo/GO_0016301,kinase activity,Molecular Function,13
http://purl.obolibrary.org/obo/GO_0005925,focal adhesion,Cellular Component,13
http://purl.obolibrary.org/obo/GO_0010629,negative regulation of gene expression,Biological Process,12
http://purl.obolibrary.org/obo/GO_0004888,transmembrane signaling receptor activity,Molecular Function,12
http://purl.obolibrary.org/obo/GO_0043065,positive regulation of apoptotic process,Biological Process,12
http://purl.obolibrary.org/obo/GO_0001540,amyloid-beta binding,Molecular Function,12
http://purl.obolibrary.org/obo/GO_0031012,extracellular matrix,Cellular Component,12
http://purl.obolibrary.org/obo/GO_0004175,endopeptidase activity,Molecular Function,12
http://purl.obolibrary.org/obo/GO_0004672,protein kinase activity,Molecular Function,11
http://purl.obolibrary.org/obo/GO_0007399,nervous system development,Biological Process,11
http://purl.obolibrary.org/obo/GO_0006974,DNA damage response,Biological Process,11
http://purl.obolibrary.org/obo/GO_0008289,lipid binding,Molecular Function,10
http://purl.obolibrary.org/obo/GO_0055085,transmembrane transport,Biological Process,10
http://purl.obolibrary.org/obo/GO_1904646,cellular response to amyloid-beta,Biological Process,10
http://purl.obolibrary.org/obo/GO_0038023,signaling receptor activity,Molecular Function,10
http://purl.obolibrary.org/obo/GO_0019901,protein kinase binding,Molecular Function,10
http://purl.obolibrary.org/obo/GO_0031901,early endosome membrane,Cellular Component,10
http://purl.obolibrary.org/obo/GO_0006897,endocytosis,Biological Process,10
http://purl.obolibrary.org/obo/GO_0006954,inflammatory response,Biological Process,9
http://purl.obolibrary.org/obo/GO_0046718,symbiont entry into host cell,Biological Process,9
