gene,n_sources,sources,evidence_types,n_evidence_types,curated,genetic,differential,secondary_support,n_secondary,pigean_score,n_uniprot_variants,de_regions,de_direction,de_conflict,druggable,drugs,biotype,score,tier
USP42,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,4,up,1,0,,protein-coding,10.0,C
VPS16,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,10.0,C
VPS8,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,CSF/imaging endophenotype;DE >=2 regions,2,,0,3,down,0,0,,protein-coding,10.0,C
VTI1A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,family-history proxy;DE >=2 regions,2,,0,3,up,0,0,,protein-coding,10.0,C
WDYHV1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,CSF/imaging endophenotype;DE >=2 regions,2,,0,3,down,0,0,,protein-coding,10.0,C
WWTR1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,10.0,C
YAP1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,family-history proxy;DE >=2 regions,2,,0,3,up,0,0,,protein-coding,10.0,C
YWHAH,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,10.0,C
Y_RNA,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,10.0,C
ZC3H7B,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,10.0,C
ZCCHC17,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,10.0,C
ZDHHC23,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,10.0,C
AATF,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.97,0,0,,0,0,,protein-coding,9.98,C
NAGLU,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.93,0,0,,0,0,,protein-coding,9.95,C
RPA3,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,3.9,0,1,down,0,0,,protein-coding,9.93,C
RTN1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.9,0,0,,0,0,,protein-coding,9.93,C
SLC2A13,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.87,0,0,,0,0,,protein-coding,9.9,C
FGFR2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;DE >=2 regions,2,1.19,0,2,up,1,0,,protein-coding,9.89,C
EFNA3,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.84,0,0,,0,0,,protein-coding,9.88,C
GPX3,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,2.49,0,2,down,0,0,,protein-coding,9.87,C
RANBP9,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.83,0,0,,0,0,,protein-coding,9.87,C
FLOT2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.8,0,0,,0,0,,protein-coding,9.85,C
CISD1,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype;DE >=2 regions,2,1.12,0,2,down,0,0,,protein-coding,9.84,C
HAP1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.79,0,0,,0,0,,protein-coding,9.84,C
TMCC2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.77,0,0,,0,0,,protein-coding,9.83,C
PAWR,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.75,0,0,,0,0,,protein-coding,9.81,C
MIR107,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR153-1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR15B,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR186,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR24-1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR298,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR29A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR29B1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR29C,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR339,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR361,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR455,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.7,0,0,,0,0,,non-coding RNA,9.78,C
MIR144,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.69,0,0,,0,0,,non-coding RNA,9.77,C
MIR17,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.69,0,0,,0,0,,non-coding RNA,9.77,C
AGO2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,protein-coding,9.76,C
MIR101-1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
MIR106A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
MIR147A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
MIR206,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
MIR20A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
MIR31,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
MIR323A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
MIR520C,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
MIR644A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.68,0,0,,0,0,,non-coding RNA,9.76,C
ATG16L1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,3.66,0,1,down,0,0,,protein-coding,9.75,C
CPSF3,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,2.33,0,2,down,0,0,,protein-coding,9.75,C
LDLRAP1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.64,0,0,,0,0,,protein-coding,9.73,C
ITM2A,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.62,0,0,,0,0,,protein-coding,9.72,C
BECN1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,3.56,0,1,down,0,0,,protein-coding,9.67,C
EXOC3L2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,2.19,0,1,up,0,0,,protein-coding,9.64,C
ZNF462,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,2.11,0,2,up,0,0,,protein-coding,9.58,C
FNBP4,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,2.1,0,2,down,0,0,,protein-coding,9.57,C
ROCK1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.4,0,0,,0,0,,protein-coding,9.55,C
DAPK1,1,prokn,genetic association,1,0,1,0,DE >=2 regions,1,,2,2,down,0,0,,protein-coding,9.5,C
LRRTM3,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,3.33,0,0,,0,0,,protein-coding,9.5,C
RNF144B,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,2.0,0,1,up,0,0,,protein-coding,9.5,C
NEU2,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,4.62,0,0,,0,0,,protein-coding,9.46,C
FAM63B,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,3.11,0,1,up,0,0,,protein-coding,9.33,C
MED7,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.77,0,2,down,0,0,,protein-coding,9.33,C
GNPNAT1,1,digcfdekg,genetic association,1,0,1,0,family-history proxy,1,4.41,0,0,,0,0,,protein-coding,9.31,C
KCTD1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.65,0,2,down,0,0,,protein-coding,9.24,C
LPAR1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.66,0,2,up,0,0,,protein-coding,9.24,C
MAF,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,2.97,0,1,up,0,0,,protein-coding,9.23,C
MTCH2,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.6,0,2,down,0,0,,protein-coding,9.2,C
TNS3,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.6,0,2,up,0,0,,protein-coding,9.2,C
GNPDA2,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.55,0,2,down,0,0,,protein-coding,9.16,C
PTPRC,1,digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,2.88,0,0,,0,0,,protein-coding,9.16,C
HINT1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.54,0,2,down,0,0,,protein-coding,9.15,C
WIPI2,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.46,0,2,down,0,0,,protein-coding,9.1,C
DCTD,1,digcfdekg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,2.77,0,1,down,0,0,,protein-coding,9.08,C
EXOC3,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.43,0,2,down,0,0,,protein-coding,9.07,C
MAFK,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.43,0,2,up,0,0,,protein-coding,9.07,C
COX6C,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.42,0,2,down,0,0,,protein-coding,9.06,C
COX7C,1,digcfdekg,genetic association,1,0,1,0,,0,4.07,0,1,down,0,0,,protein-coding,9.05,C
ASCL1,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.39,0,2,up,0,0,,protein-coding,9.04,C
PDCD6IP,1,digcfdekg,genetic association,1,0,1,0,DE >=2 regions,1,1.38,0,2,down,0,0,,protein-coding,9.04,C
AARS,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AARS1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AC005495.1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AC036222.1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AC069503.1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AC093535.2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AC106881.1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,non-coding RNA,9.0,C
AC127502.2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,non-coding RNA,9.0,C
AC245297.2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ACACB,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ACBD6,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ACKR3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ACOT13,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ACTR1A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ADAM22,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ADAM23,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ADD3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AFTPH,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AGK,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AHSA1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AIF1L,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AK4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AKR1A1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AL049834.1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ALS2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AMER2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ANKRD10-IT1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ANLN,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AP003716.1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
AP2M1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AP2S1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
APMAP,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,non-coding RNA,9.0,C
APOA1BP,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,non-coding RNA,9.0,C
APOO,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AQP4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ARF1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ARFGEF3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ARHGAP18,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ARHGAP32,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ARHGEF1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ARHGEF26,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ARHGEF9,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATG5,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATL1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP11C,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ATP13A4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ATP1A1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP1A2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
ATP2A2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP5A1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP5G1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP5MC1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP5MJ,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP5MPL,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP5PB,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP6AP1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP6V1B2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP6V1C1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP6V1D,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP6V1H,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
ATP8A2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
AUXG01000058.1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
B4GAT1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
BAG3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
BCAS2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
BEX3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
BMP7,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
BMPR1B,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
BNIP2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
BOLA3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
BTBD10,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
BTF3L4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
BUD31,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
C10orf35,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
C12orf76,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
C14orf119,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
C14orf2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CAB39,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CABLES1,1,biomarkerkg,genetic association,1,0,1,0,CSF/imaging endophenotype;DE >=2 regions,2,,0,2,up,0,0,,protein-coding,9.0,C
CACNA2D3,1,biomarkerkg,genetic association,1,0,1,0,family-history proxy;DE >=2 regions,2,,0,2,down,0,0,,protein-coding,9.0,C
CCDC184,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CCDC28A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CCT2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CCT4,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CCT7,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CD163,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
CD99L2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CDK10,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,1,0,,protein-coding,9.0,C
CEBPD,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
CECR2,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
CEP295,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
CFAP20,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CFAP36,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CHMP2A,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CHMP4B,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CHN1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CHP1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CHRM3,1,biomarkerkg,genetic association,1,0,1,0,CSF/imaging endophenotype,1,,0,1,down,0,1,TALSACLIDINE,protein-coding,9.0,C
CLTC,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CMAS,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
CNTRL,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,9.0,C
COA1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
COA3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
COG1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
COG3,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
COPG2IT1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
COPS5,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
COX4I1,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
COX5B,1,gene-expression-atlas-okn,differential molecular activity,1,0,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,9.0,C
