gene,n_sources,sources,evidence_types,n_evidence_types,curated,genetic,differential,secondary_support,n_secondary,pigean_score,n_uniprot_variants,de_regions,de_direction,de_conflict,druggable,drugs,biotype,score,tier
MS4A4A,4,biomarkerkg;digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,4.13,0,0,,0,0,,protein-coding,20.1,A
NFIC,3,biomarkerkg;gene-expression-atlas-okn;spoke-okn,curated knowledge;differential molecular activity;genetic association,3,1,1,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,20.0,A
ACHE,3,digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,3.95,0,0,,0,1,BENZGALANTAMINE GLUCONATE;DONEPEZIL HYDROCHLORIDE;GALANTAMINE HYDROBROMIDE;HUPERZINE A,protein-coding,19.96,A
ZCWPW1,4,biomarkerkg;digcfdekg;prokn;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,1.49,1,0,,0,0,,protein-coding,19.87,A
EPHA1,4,biomarkerkg;digcfdekg;prokn;rdkg,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,2.45,1,0,,0,0,,protein-coding,19.59,A
APH1B,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,8.61,0,0,,0,0,,protein-coding,19.5,A
GSK3B,3,prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,DE >=2 regions,1,,2,2,down,0,1,TIDEGLUSIB,protein-coding,19.5,A
TNF,3,digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,5.89,0,0,,0,0,,protein-coding,19.42,A
AP2A2,3,biomarkerkg;digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.84,0,4,down,0,0,,protein-coding,19.38,A
PLCG2,3,digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,5.71,0,1,up,0,0,,protein-coding,19.28,A
ABI3,4,biomarkerkg;digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,2.58,0,0,,0,0,,protein-coding,18.93,A
FERMT2,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,DE >=2 regions,1,3.78,0,2,up,0,0,,protein-coding,18.84,A
MS4A6A,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,4.73,0,0,,0,0,,protein-coding,18.55,A
BDNF,3,prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,CSF/imaging endophenotype;DE >=2 regions,2,,2,2,down,0,0,,protein-coding,18.5,A
CASS4,4,biomarkerkg;digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,3.13,0,0,,0,0,,protein-coding,18.35,A
CASP3,3,digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,4.27,0,0,,0,0,,protein-coding,18.2,A
ERC2,3,biomarkerkg;digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.44,0,3,down,0,0,,protein-coding,18.08,A
