sym,pw,pwLabel
ADAMTS4,https://identifiers.org/reactome/R-HSA-5173214,O-glycosylation of TSR domain-containing proteins
ADK,https://identifiers.org/reactome/R-HSA-74217,Purine salvage
ADK,https://identifiers.org/reactome/R-HSA-9755088,Ribavirin ADME
AGER,https://identifiers.org/reactome/R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  
AGER,https://identifiers.org/reactome/R-HSA-879415,Advanced glycosylation endproduct receptor signaling
AGER,https://identifiers.org/reactome/R-HSA-933542,TRAF6 mediated NF-kB activation
AKT1,https://identifiers.org/reactome/R-HSA-111447,Activation of BAD and translocation to mitochondria 
AKT1,https://identifiers.org/reactome/R-HSA-1257604,PIP3 activates AKT signaling
AKT1,https://identifiers.org/reactome/R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling
AKT1,https://identifiers.org/reactome/R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
AKT1,https://identifiers.org/reactome/R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"
AKT1,https://identifiers.org/reactome/R-HSA-165159,MTOR signalling
AKT1,https://identifiers.org/reactome/R-HSA-198323,AKT phosphorylates targets in the cytosol
AKT1,https://identifiers.org/reactome/R-HSA-198693,AKT phosphorylates targets in the nucleus
AKT1,https://identifiers.org/reactome/R-HSA-199418,Negative regulation of the PI3K/AKT network
AKT1,https://identifiers.org/reactome/R-HSA-203615,eNOS activation
AKT1,https://identifiers.org/reactome/R-HSA-211163,AKT-mediated inactivation of FOXO1A
AKT1,https://identifiers.org/reactome/R-HSA-354192,Integrin signaling
AKT1,https://identifiers.org/reactome/R-HSA-3769402,Deactivation of the beta-catenin transactivating complex
AKT1,https://identifiers.org/reactome/R-HSA-389357,CD28 dependent PI3K/Akt signaling
AKT1,https://identifiers.org/reactome/R-HSA-389513,Co-inhibition by CTLA4
AKT1,https://identifiers.org/reactome/R-HSA-392451,G beta:gamma signalling through PI3Kgamma
AKT1,https://identifiers.org/reactome/R-HSA-450385,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
