gene
ABCA1
ABCA6
ABCA7
ABCG8
ABHD1
ABI3
ABLIM2
ABRAXAS2
ACBD5
ACE
ACER1
ACOX1
ACP7
ADAM10
ADAM17
ADAMTS17
ADAMTS2
ADAMTS4
ADAMTS9-AS2
ADARB1
ADARB2
ADCK1
ADGRA3
ADGRB3
ADGRE1
ADGRE3
ADH5
ADK
ADRA1B
AFF1
AFF3
AHCYL2
AHNAK
AHNAK2
AIM2
AIPL1
AKAP6
AKR1C3
ALDH1A2
ALDH4A1
ALLC
ALPK2
ANAPC1
ANAPC10
ANKRD11
ANKRD55
ANO1
ANO4
ANTXR1
ANXA2R-OT1
AP2A2
APH1B
APOBEC1
APOC1
APOE
APP
ARFGEF1-DT
ARFGEF2
ARHGAP20
ARHGAP45
ARHGEF10L
ARHGEF2
ARHGEF28
ARIH2
ARL6IP6
ARMH3
ASCC1
ASMER1
ASTN2
ATOSA
ATP11B
ATP11B-DT
ATP2C1
ATP6V0A2
ATXN2-AS
ATXN7L1
AUTS2
AXIN1
BAZ1B
BCAM
BCAS3
BCCIP
BCL3
BFSP2
BIN1
BLTP3A
BMP6
BMP8A
BMPER
BORCS5
BRF1
BTBD9
BZW2
C12orf42
C2CD3
C2orf42
C3orf33
C8orf44-SGK3
CA5A
CABLES1
CABLES2
CABP1
CACNA1G
CACNA1H
CACNA2D3
CACNB2
CAGE1
CAMK1D
CAMK4
CAMTA1
CANX
CAPZA2
CARD18
CARM1P1
CASS4
CATSPER2
CBLC
CBR4
CBX2
CCDC178
CCDC85C
CCKBR
CCM2L
CCND3
CCNJL
CCNY
CD2AP
CD33
CDH12
CDH13
CDH15
CDH18
CDH4
CDHR17P
CDIN1
CDK13
CDKAL1
CDKN3
CDON
CEACAM16-AS1
CEACAM20
CEACAM22P
CELF1
CELF2
CELF5
CEMIP
CENPE
CFAP46
CHID1
CHLSN
CHRM3
CHRNA2
CHRNE
CHST12
CHST15
CKAP5
CLASRP
CLCNKB
CLIC4
CLIP1
CLIP2
CLK2
CLMN
CLPTM1
CLPX
CLU
CNGB1
CNTN4
CNTNAP2
CNTNAP5
COBL
COL21A1
COL25A1
COL6A4P1
COL8A2
COLQ
COQ6
COX5A
CPA6
CPNE4
CPNE8
CR1
CR1L
CRADD
CRK
CRTC1
CRYBG1
CSE1L
CSMD1
CSRP3-AS1
CSTPP1
CTBP2
CTCF
CTNNA2
CTNND1
CTSH
CUL2
CUL3
CUX2
CUZD1
CWC25
CYCS
CYP2U1-AS1
DAB1
DARS2
DAZAP1
DCBLD1
DCHS2
DCLK2
DEAF1
DEDD
DENND1A
DENND3
DGKB
DGKQ
DLG2
DLGAP2
DMXL1
DNAAF2
DNAH1
DNAH12
DNAI2
DOCK3
DOCK4
DOK6
DRAXIN
DSCAM
DSCAS
DSG2
DTNB
DYM
DYNLT1
EBLN3P
ECHDC2
EEA1
EFCAB10
EFCAB12
EFHD1
EGFLAM
EGFR
EGLN3
EHHADH
EIF2B3
EIF4EBP2
ELAVL3
ELL
ELMO1
EML6
EPB41L1
EPCAM
EPHA1
EPHA1-AS1
EPSTI1
ERBB3
ERBB4
ERC2
ERCC1
ERG
ERO1B
ESPNL
EXD1
EXD3
EXO1
EXOC4
EYA4
FAM107A
FAM135B
FAM151B
FAM20B
FAM20C
FAM222B
FAM227A
FAM228B
FAM230A
FANCD2
FANCD2OS
FARP2
FBP1
FBXL13
FBXL7
FBXO34
FBXO40
FBXO47
FBXW10
FCER1G
FEM1B
FERMT2
FGD5-AS1
FGGY
FHIP1A
FHIP2A
FHIT
FHOD3
FKBP8
FLJ40194
FMN1
FMN2
FOXP2
FRAS1
FRMD4B
FRMD5
FUT10
FUZ
G3BP2
GAB2
GABRB3
GABRG3
GAK
GALM
GALNT10
GALNT13
GALNT17
GATAD2A
GATB
GGA3
GGPS1
GIGYF1
GIPC3
GLB1L3
GLI2
GLI3
GMEB1
GMPR
GNG7
GOLPH3L
GORAB
GPAT3
GPC6
GPR141
GPR149
GRAMD1B
GRAP
GRIN3B
GRIP1
GRK5
GRM3
GTF2H1
GTF2IRD1
H3C12
HACL1
HAS2-AS1
HBG2
HECW1
HLA-DQA1
HLA-DRB1
HLA-DRB9
HNF1B
HNRNPKP3
HOOK3
HOXC-AS3
HPCAL1
HRK
HS6ST3
HSD17B4
IARS2
IFT81
IGSF3
IL12B-AS1
IL19
IL1R1
IL1RAP
IL34
IMPA2
ING2
INO80D
INPP5A
INPP5B
INPP5D
INTS2
IQCK
IRAK2
ITGB3
ITGB5
JARID2
JUN-DT
JUP
KALRN
KASH5
KAT8
KAZN
KCNH1
KCNH5
KCNQ2
KDM2A
KDM5B
KIF13B
KIF1B
KIF3B
KIR3DL2
KLC1
KLC3
KLHDC1
KLHDC10
KLHDC7B-DT
KLHL10
KLHL3
KLHL42
KMT2C
KMT5B
L3MBTL4
LARP6
LCMT1
LCORL
LDLRAD4
LEF1-AS1
LGI2
LGMN
LHX6
LIMASI
LIMS2
LIN9
LINC00398
LINC00489
LINC00595
LINC00621
LINC00871
LINC00944
LINC00989
LINC01005
LINC01016
LINC01036
LINC01234
LINC01252
LINC01320
LINC01440
LINC01482
LINC01499
LINC01500
LINC01602
LINC01701
LINC01725
LINC01739
LINC01755
LINC01915
LINC01950
LINC01997
LINC01999
LINC02015
LINC02054
LINC02090
LINC02109
LINC02137
LINC02177
LINC02182
LINC02245
LINC02429
LINC02497
LINC02513
LINC02532
LINC02613
LINC02646
LINC02660
LINC02689
LINC02798
LINC02934
LINC02955
LINC03022
LINC03122
LINC03124
LNC-LBCS
LNCOB1
LNCOG
LNCRNA-IUR
LRAT
LRRC4C
LTBP1
LUC7L
LUZP2
MACF1
MACIR
MACROD2
MAILR
MAMSTR
MAP3K4
MAP4K4
MAPK7
MAPKAP1
MARCHF1
MARK2
MARK4
MAVS
MB21D2
MBD3
MCTP2
MED13
MED20
MEF2C-AS1
MEGF10
MEI1
MEIOSIN
MELK
METRN
MFSD14CP
MGMT
MIB1
MICAL2
MICALL2
MIOS-DT
MIR34AHG
MIR4280HG
MIR4300HG
MIR4432HG
MIR4527HG
MLXIPL
MMADHC-DT
MOB1A
MOBP
MORN3
MPDZ
MPHOSPH9
MPZL1
MRC1
MROH1
MS4A4A
MS4A6A
MSH6
MSRA
MSRB2
MTHFD1L
MUC6
MVD
MXI1
MYDGF
MYO16
MYO1C
MYO1E
MYOCOS
MYOM2
NAALADL2
NARS2
NAV2
NBPF11
NCK2
NCKAP5
NCOR2
NCS1
NDST4
NDUFA12
NDUFAB1
NDUFAF6
NDUFAF7
NECAB1
NECTIN2
NECTIN3-AS1
NEGR1
NEO1
NFATC2
NFIA
NFIC
NIPA2P5
NKAIN2
NKAIN3
NMD3
NPAS3
NPHP4
NPR3
NRG1
NRIP3
NRTN
NRXN1
NRXN1-DT
NRXN2
NRXN3
NTF3
NTM
NUMA1
NUMB
NUP155
NUP85
NUTF2
NXN
NYAP1
OARD1
OASL
OCSTAMP
OGA
ONECUT2
OPCML
OPTC
OPTN
ORAI1
OSBP2
OXA1L-DT
PACS2
PAK4
PAK5
PARD6G
PARN
PARVB
PAUPAR
PAX2
PBX1
PBX4
PCBD2
PCCA
PCDH11X
PCDH15
PCGF3
PCLAF
PCNT
PCNX1
PDE10A
PDE4B
PDE4D
PDE6B
PDE9A
PDZD2
PECAM1
PEX14
PGAM1P5
PGAM5P1
PGPEP1
PHACTR2
PHACTR4
PICALM
PID1
PIK3AP1
PIK3CD
PIK3IP1-DT
PIK3R6
PILRA
PIP5K1C
PITPNC1
PKN2-AS1
PKNOX2
PKP2
PLCL1
PLD2
PLEKHG1
PLEKHG4B
PLIN3
PLPP4
PLPP7
PMS1
POLN
PPIAP59
PPIG
PPM1L
PPP1R3B
PPP3R1-AS1
PPP6R2
PRAMENP
PRDM9
PRELID3A
PRICKLE1
PRICKLE2
PRKAA1
PRKAG2
PRKCH
PRKN
PROCA1
PROX1-AS1
PRPF40B
PRR5-ARHGAP8
PRRC2C
PSG11-AS1
PSME4
PSTPIP1
PTCHD4
PTDSS2
PTK2B
PTN
PTPN9
PTPRD
PTPRM
PTPRN2
PTPRO
PTPRS
PUF60
PUM3
PYM1
QDPR
R3HCC1
RAB40C
RAB6A
RAB7A
RABGEF1
RACK1
RAP1GAP2
RARB
RASA3
RASGEF1C
RASIP1
RBFOX1
RBFOX3
RBM20
RBM27
RBMS3
RCBTB1
RELB
RELN
REN
RERE
RERG
RFX2
RGS17
RHPN2
RIF1
RIMS1
RIN3
RNF220
RNF24
ROBO1
ROBO2
RORA
RPL23
RPL28
RPL6
SAMD12-AS1
SAMHD1
SAP30L
SAR1B
SBF2
SCARA3
SCGB2A1
SDK1
SDK2
SDR9C7
SEMA3F
SEMA3F-AS1
SEMA5A
SEMA5B
SEMA6B
SENP7
SEPTIN14
SETDB1
SFT2D2
SGIP1
SH3D19
SH3RF3
SHANK2
SHISA6
SIL1
SIRT4
SLC12A2-DT
SLC14A2
SLC24A4
SLC25A29
SLC28A1
SLC2A3
SLC30A3
SLC35E1
SLC35F3
SLC37A1
SLC38A9
SLC39A11
SLC3A2
SLC43A2
SLC4A1AP
SLC4A8
SLC52A3
SLC7A2
SLC7A9
SLC8A1-AS1
SLCO1C1
SMARCA4
SMARCAD1
SMARCC1
SMIM24
SMIM45
SMYD3
SNHG14
SNRPD1
SNX6
SNX8
SOBP
SORL1
SP6
SPAG16
SPATA13
SPATA21
SPATA3
SPATC1
SPATS2
SPEN
SPIRE2
SPOCK1
SPON1
SPP1
SPPL2A
SPRY4-AS1
SPTBN1
SQSTM1
SREBF1
ST13P12
ST18
ST3GAL2
ST7L
STAG1
STK24
STK32B
STPG4
STX8
STXBP6
SULT2B1
SUN3
SYMPK
SYT11
TASOR2
TBC1D13
TBL1XR1
TC2N
TCAM1P
TCF25
TCF4
TCN2
TEKT5
TENM2
TENM3
TESC
TFAP4
TFDP1
TFR2
TGFBR3
TGM6
THOC1
TIAM1
TIMP2
TJP1
TLK2
TLR5
TMEM106B
TMEM120B
TMEM132C
TMEM163
TMEM178B
TMEM184A
TMEM207
TMEM232
TMEM255B
TMEM266
TMEM41B
TMEM45B
TMEM59L
TMEM94
TMUB2
TNXB
TOMM40
TP53
TPD52
TPT1-AS1
TRAIP
TRBV6-5
TREM2
TREML5P
TRIP4
TRIP6
TRPM1
TRPM4
TRPM6
TSBP1-AS1
TSC22D1
TSEN2
TSPOAP1-AS1
TTC28
TTLL1-AS1
TUBG2
TULP3
TUSC3
TYW3
UBAP2
UBE2K
UBE2R2
UBE2R2-AS1
UBE2V2
UBE4B
UBR5
UBXN6
UGGT2
UMAD1
UNC5C-AS1
UNK
USP13
USP32
VAC14
VAT1L
VAV2
VIPR2
VRK3
VRTN
VWA5B1
VWA8
WBP1L
WDR7
WDR70
WDR88
WDTC1-DT
WNT3
XPR1
YJU2B
ZBTB20
ZBTB45
ZCCHC24
ZCWPW1
ZDHHC11B
ZFAT
ZFPM2
ZFR2
ZFTA
ZMAT4
ZMIZ1
ZNF180
ZNF208
ZNF225-AS1
ZNF318
ZNF385B
ZNF385C
ZNF385D
ZNF565
ZNF568
ZNF594-DT
ZNF627
ZNF652
ZNF652-AS1
ZNF689
ZNF880
ZNRF3
ZRANB2-DT
ZSCAN12
