gene,n_primary,primary_sources,n_secondary,secondary_sources,n_total
DLG4,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
DNAH12,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
DOC2A,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
DSCAM,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
FBXL7,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
FCER1G,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
GLI2,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
HFE,2,spoke-okn_curated_DaG;prokn_curated_variant,0,,2
HS3ST5,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
HSPG2,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
ICA1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
IDUA,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
IQCK,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
ITGB1BP1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
KAT8,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
KIR3DL2,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
KLF16,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
LRP1,2,digcfdekg_core_AD_trait;prokn_curated_variant,0,,2
MAMSTR,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
MBD3,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
MPO,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
MRC1,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
MSRA,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
MYO16,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
NECTIN2,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
NFATC2,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
NOS3,2,spoke-okn_curated_DaG;prokn_curated_variant,0,,2
OARD1,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
PLEKHA1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
PRKN,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
PRSS36,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
RASIP1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
RBCK1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
RBM20,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
RELB,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
REXO1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
RHOH,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
SENP7,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
SETD7,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
SLC24A4,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
SLC26A1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
SLCO1C1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
SNCA,2,spoke-okn_curated_DaG;prokn_curated_variant,0,,2
SNX1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
SPPL2A,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
SQSTM1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
TFR2,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
TLR4,2,spoke-okn_curated_DaG;prokn_curated_variant,0,,2
TMEM184A,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
TNFSF12-TNFSF13,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
TNFSF13,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
TNIP1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
TPCN1,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
TRPM1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
TSPAN14,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
UMAD1,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
WDR81,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
ZSCAN12,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
BRAF,1,gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
EPHA4,1,digcfdekg_core_AD_trait,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
FAM181B,1,gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
ITM2C,1,digcfdekg_core_AD_trait,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
NCALD,1,gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
PTPRN2,1,biomarkerkg_risk_variant,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
ROCK2,1,digcfdekg_core_AD_trait,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
RTN3,1,digcfdekg_core_AD_trait,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
TRAPPC12,1,gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
XRCC2,1,gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
ZIC1,1,gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,4
AATF,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
ABCG1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
ACTA2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
ADAM19,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
AGO2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
AJAP1,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
AMPH,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
ANK2,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
ANKMY2,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
APOC2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
ATP5F1,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
ATRNL1,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
BACE2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
BLOC1S3,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
C14orf166,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
C2orf80,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
CA10,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
CABLES1,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
CACNA2D3,1,biomarkerkg_risk_variant,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
CAMK1G,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
CAPRIN2,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
CCDC88A,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
CCK,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
CHRNA7,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
CISD1,1,digcfdekg_core_AD_trait,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
CLN3,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
CLNK,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
COL27A1,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
COPS3,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
CR2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
CSNK1E,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
CYC1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
CYYR1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
DDX10,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
DLG1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
DLG2,1,biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,3
DYRK1A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
EFNA1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
EFNA3,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
ENC1,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
EPAS1,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
EPC1,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
EXOC3L2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
FAM155A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
FARSB,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
FAS,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
FGF12,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
FGF14,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
FGFR2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
FHL2,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
FKBP1A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
FLOT2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
GABBR2,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
GALNT10,1,biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,3
GPD1L,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
GRAMD3,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
GSAP,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
GSTA4,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
HAP1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
HSPB3,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
HTR2A,1,prokn_curated_variant,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
IFNG,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
IFNGR1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
IGF1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
IGFBP7,1,digcfdekg_core_AD_trait,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
IL17RD,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
IRF2BP2,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
ITM2A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
ITM2B,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
KIF9,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
KLK6,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
LDLRAP1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
LGI1,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
LRRTM3,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
LTA4H,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
LYN,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MAP1S,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
MAP2K4,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
MAP4K4,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
MEPCE,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR101-1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR106A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR107,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR144,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR147A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR153-1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR15B,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR17,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR186,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR206,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR20A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR24-1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR298,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR29A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR29B1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR29C,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR31,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR323A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR339,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR361,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR455,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR520C,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MIR644A,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
MYO10,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
NAGLU,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
NECAB2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
NECAB3,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
NFIA,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
NIT2,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
NKPD1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
NPAS3,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
NRXN3,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
PAIP2,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
PAWR,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
PCP4,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
PCSK5,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
PDE4D,1,biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,3
PILRB,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
PIN1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
PITRM1,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
POU3F2,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
PPME1,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
PPP1R14C,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
PPP1R35,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
PREP,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
PSD2,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
PSTPIP1,1,biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,3
PTN,1,biomarkerkg_risk_variant,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
PTPRC,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
QKI,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
RANBP9,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
RBFOX1,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
RELA,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
RIMBP2,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
RNF144B,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
ROCK1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
RTN1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
RTN2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
RTN4,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
SAP18,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
SCARA3,1,biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,3
SGIP1,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
SLC2A13,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
SLC39A10,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
SOAT1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
SOX5,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
SP1,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
SPRED2,1,digcfdekg_core_AD_trait,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
SYT1,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
TERF2IP,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
TMCC2,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
TMEFF2,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
TOLLIP,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
TOMM70,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
TTBK2,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
TTC28,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
VPS8,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
VTI1A,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
WDYHV1,1,gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
YAP1,1,gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,3
ZNF385D,1,biomarkerkg_risk_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,3
ZNF521,1,digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,3
AARS,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AARS1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ABHD13,1,digcfdekg_core_AD_trait,1,digcfdekg_family_history,2
AC004951.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC004951.6,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC005495.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC007388.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC036222.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC069503.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC093535.2,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC106881.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC107993.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC126474.2,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC127502.2,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AC245297.2,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ACACB,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ACBD6,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ACKR3,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ACMSD,1,digcfdekg_core_AD_trait,1,digcfdekg_family_history,2
ACO1,1,digcfdekg_core_AD_trait,1,digcfdekg_endophenotype,2
ACO2,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ACOT13,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ACOT7,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ACTB,1,spoke-okn_curated_DaG,1,gxa_DE_ge2_regions,2
ACTR1A,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ADAM22,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ADAM23,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ADAM33,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ADAMTS1,1,digcfdekg_core_AD_trait,1,gxa_DE_ge2_regions,2
ADARB2,1,biomarkerkg_risk_variant,1,digcfdekg_endophenotype,2
ADD3,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ADGRB3,1,biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,2
AFTPH,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AGK,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AHSA1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AIF1L,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AK4,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AK5,1,digcfdekg_core_AD_trait,1,digcfdekg_endophenotype,2
AKAP6,1,biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,2
AKR1A1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AKR1C3,1,biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,2
AL049834.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AL356599.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AL583810.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ALCAM,1,digcfdekg_core_AD_trait,1,digcfdekg_endophenotype,2
ALMS1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ALS2,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AMER2,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ANAPC13,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ANKRD10-IT1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ANKRD11,1,biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,2
ANKRD13D,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ANKRD55,1,biomarkerkg_risk_variant,1,digcfdekg_family_history,2
ANLN,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ANO1,1,biomarkerkg_risk_variant,1,digcfdekg_family_history,2
ANP32B,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
ANXA6,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AP003716.1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AP1M1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AP2M1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AP2S1,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
AP3M2,1,gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,2
APEH,1,digcfdekg_core_AD_trait,1,digcfdekg_family_history,2
