gene,n_primary,primary_sources,n_secondary,secondary_sources,n_total
MS4A4A,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,4
MTHFD1L,3,spoke-okn_curated_DaG;prokn_curated_variant;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,4
NCK2,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,4
NFIC,3,spoke-okn_curated_DaG;biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,4
RASGEF1C,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,4
RIMS1,3,digcfdekg_core_AD_trait;biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,4
TMEM106B,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,4
CASS4,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,3
CD33,3,digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,0,,3
CHRNE,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,3
DSG2,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,3
GRN,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,0,,3
MAPT,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,0,,3
NDUFAF6,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,3
PIK3CD,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,3
PLAU,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,0,,3
SPATC1,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,3
TREML2,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,0,,3
WNT3,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,3
DHCR24,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,5
NSG1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,5
NTRK2,2,digcfdekg_core_AD_trait;prokn_curated_variant,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,5
ABCA2,2,digcfdekg_core_AD_trait;prokn_curated_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,4
ACHE,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
ADAM17,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,4
AGER,2,digcfdekg_core_AD_trait;prokn_curated_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,4
APH1A,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
APOC1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,4
APOC4,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
BDNF,2,spoke-okn_curated_DaG;prokn_curated_variant,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,4
CASP3,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
CCDC6,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,4
CR1L,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,4
GSK3A,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
HLA-DQA1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,4
ID4,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,4
LCMT1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,4
MEGF10,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,4
NCSTN,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
PSENEN,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
RABEP1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,4
SLC7A2,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,2,digcfdekg_endophenotype;gxa_DE_ge2_regions,4
STX8,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,2,digcfdekg_family_history;gxa_DE_ge2_regions,4
TMED10,2,digcfdekg_core_AD_trait;prokn_curated_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,4
TNF,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
TRAPPC6A,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,2,digcfdekg_family_history;digcfdekg_endophenotype,4
ZNF652,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;gxa_DE_ge2_regions,4
A2M,2,spoke-okn_curated_DaG;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
ADAMTS4,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,1,digcfdekg_family_history,3
ADARB1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
ADGRA3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
AFF1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
AHNAK,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
AHNAK2,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
ALPK2,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,3
ANAPC1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
ANKH,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,gxa_DE_ge2_regions,3
ANTXR1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
BCCIP,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
BCL2,2,spoke-okn_curated_DaG;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
BCL6,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
BMPER,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
BOD1L1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
C1QTNF4,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
CCKBR,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
CDC42SE2,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
CDH18,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
CDK13,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
CHST11,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
CLPTM1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
CUL3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
CYCS,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
DGKB,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
DOCK3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
DTNA,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
EFHD1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
EGFR,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,3
EGLN3,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,3
EIF2B3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
EIF3K,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
ELAVL3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
FAF1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
FHOD3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
GAPDH,2,spoke-okn_curated_DaG;prokn_curated_variant,1,gxa_DE_ge2_regions,3
GATB,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
GFAP,2,spoke-okn_curated_DaG;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
GPC6,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
GPRC5B,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
GRAMD1B,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,3
GSK3B,2,spoke-okn_curated_DaG;prokn_curated_variant,1,gxa_DE_ge2_regions,3
HACL1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
HECW1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
HIP1R,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
HPRT1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
ICA1L,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
INO80D,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
INPP5D,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,3
ITGB5,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
KIF1B,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
KIF3B,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
KLC1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,3
LRP4,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
MEF2C,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
MFSD14CP,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
MGMT,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
MPDZ,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,3
MXI1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
MYO15A,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
MYO1C,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,3
NAV2,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
NCKAP5,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
NDUFAB1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
NEFL,2,spoke-okn_curated_DaG;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
NEGR1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,3
NRXN2,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
NSF,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
