fips,lat,lng
13107,32.59,-82.33
13113,33.44,-84.52
13115,34.23,-85.18
13117,34.16,-84.15
13119,34.43,-83.1
13121,33.76,-84.44
13127,31.23,-81.5
13135,33.93,-84.13
13137,34.51,-83.52
13139,34.22,-83.88
13143,33.75,-85.29
13145,32.63,-84.98
13147,34.31,-83.01
13149,33.28,-85.09
13151,33.46,-84.1
13153,32.65,-83.66
13157,34.14,-83.56
13161,31.86,-82.59
13163,33.03,-82.39
13171,33.11,-84.19
13175,32.53,-82.92
13179,31.83,-81.59
13185,30.85,-83.3
13187,34.53,-83.98
13189,33.46,-82.5
13195,34.06,-83.12
13199,32.98,-84.58
13209,32.21,-82.4
13213,34.85,-84.76
13215,32.52,-84.93
13217,33.56,-83.89
13219,33.94,-83.53
13223,33.89,-84.85
13225,32.55,-83.88
13233,34.03,-85.09
13241,34.95,-83.39
13245,33.42,-82.01
13247,33.65,-83.99
13251,32.75,-81.63
13255,33.26,-84.27
13257,34.53,-83.28
13267,31.93,-81.93
13271,32.0,-82.79
13275,30.85,-83.93
13277,31.46,-83.59
13285,32.95,-85.14
13295,34.92,-85.31
13313,34.77,-84.94
16001,43.57,-116.25
16005,42.91,-112.28
16009,47.24,-116.71
16011,43.27,-112.56
16013,43.48,-114.22
16017,48.31,-116.54
16019,43.51,-112.08
16025,43.41,-114.78
16027,43.7,-116.68
16041,42.14,-111.96
16045,43.98,-116.52
16047,43.01,-114.7
16053,42.73,-114.43
16055,47.78,-116.84
16057,46.71,-116.91
16061,46.25,-115.96
16063,42.86,-114.11
16065,43.78,-111.76
16067,42.7,-113.62
16069,46.16,-116.92
16075,43.99,-116.8
16077,42.79,-112.81
16079,47.46,-116.21
16083,42.48,-114.6
17001,39.93,-91.36
17005,38.88,-89.4
17007,42.32,-88.79
17011,41.34,-89.44
17015,42.09,-89.98
17019,40.15,-88.27
17021,39.51,-89.15
17023,39.39,-87.69
17025,38.67,-88.47
17027,38.6,-89.48
17029,39.47,-88.26
17031,41.84,-87.76
17037,41.9,-88.68
17039,40.15,-88.96
17041,39.71,-88.46
17043,41.88,-88.05
17045,39.61,-87.69
17049,39.11,-88.55
17051,38.98,-89.1
17053,40.45,-88.21
17057,40.47,-90.09
17063,41.33,-88.25
17065,38.09,-88.53
17073,41.34,-90.09
17075,40.69,-87.71
17081,38.31,-88.91
17089,41.92,-88.34
17091,41.15,-87.88
17093,41.66,-88.38
17095,40.95,-90.37
17097,42.29,-87.98
17099,41.35,-88.93
17103,41.77,-89.4
17105,40.87,-88.64
17109,40.48,-90.66
17111,42.32,-88.37
17113,40.53,-88.95
17115,39.88,-88.98
17117,39.28,-89.88
17119,38.82,-90.02
17121,38.57,-89.03
17123,41.02,-89.4
17125,40.26,-89.94
17129,40.01,-89.85
17131,41.19,-90.74
17135,39.17,-89.65
17139,39.59,-88.6
17141,42.02,-89.11
