iso3,country,prev_pct,per100k,lo,hi,lat,lon,abslat,year
MWI,Malawi,0.0037600928150264903,3.7600928150264905,2.86849,4.79817,-13.0,34.0,13.0,2019
MYS,Malaysia,0.0020548756816484437,2.0548756816484435,1.5629000000000002,2.57731,3.780511,102.314362,3.780511,2019
NER,Niger,0.004539987504234297,4.539987504234297,3.5204400000000002,5.64168,17.0,10.0,17.0,2019
NGA,Nigeria,0.004379612330842075,4.3796123308420745,3.37284,5.5026399999999995,9.0,8.0,9.0,2019
NIC,Nicaragua,0.005523102954947308,5.5231029549473085,4.27311,6.8661900000000005,13.0,-85.0,13.0,2019
NIU,Niue,0.003223948402630285,3.223948402630285,2.4819899999999997,4.02961,-19.05,-169.916667,19.05,2019
NLD,The Netherlands,0.12542569549793,125.42569549793001,107.235,146.37800000000001,52.366667,4.883333,52.366667,2019
NOR,Norway,0.19276747721082998,192.76747721082998,162.547,225.463,59.933333,10.683333,59.933333,2019
NPL,Nepal,0.008137469071280903,8.137469071280902,6.3240099999999995,10.0447,28.0,84.0,28.0,2019
NRU,Nauru,0.0012877247822620456,1.2877247822620457,0.932218,1.6828699999999999,-0.5275,166.935,0.5275,2019
NZL,New Zealand,0.04591886541749,45.91886541749,38.535,53.2872,-41.2,174.0,41.2,2019
OMN,Oman,0.03360779666193,33.607796661929996,27.2728,41.617399999999996,21.0,57.0,21.0,2019
PAK,Pakistan,0.007510332484675708,7.5103324846757085,5.85412,9.32995,30.0,71.0,30.0,2019
PAN,Panama,0.005551066347009498,5.551066347009498,4.41021,6.651050000000001,8.616667,-80.366667,8.616667,2019
PER,Peru,0.007466394921192356,7.466394921192356,5.78608,9.03453,-9.4,-76.0,9.4,2019
PHL,Philippines,0.0026451195196453524,2.6451195196453523,2.01272,3.34286,12.0,123.0,12.0,2019
PLW,Palau,0.002418859236744264,2.418859236744264,1.84694,3.0152400000000004,7.466667,134.55,7.466667,2019
PNG,Papua New Guinea,0.0013976089110130034,1.3976089110130034,1.03195,1.80013,-6.3,147.0,6.3,2019
POL,Poland,0.07849048938365001,78.49048938365002,69.8449,88.2512,52.0,19.0,52.0,2019
PRI,Puerto Rico,0.01599032414213,15.99032414213,12.7568,19.1796,18.25,-66.5,18.25,2019
PRK,North Korea,0.005316815673332605,5.316815673332605,4.16096,6.60284,40.0,127.0,40.0,2019
PRT,Portugal,0.04599693089897,45.99693089897,42.1423,49.9317,38.7,-9.183333,38.7,2019
PRY,Paraguay,0.01434244198704,14.342441987039999,11.1683,17.514499999999998,-23.5,-58.0,23.5,2019
QAT,Qatar,0.06517329472576,65.17329472576,56.776199999999996,73.1125,25.269535,51.212767,25.269535,2019
ROU,Romania,0.02154804014853,21.54804014853,17.725,25.5915,46.0,25.0,46.0,2019
RUS,Russia,0.025340360823120002,25.34036082312,20.8223,29.939799999999998,66.416667,94.25,66.416667,2019
RWA,Rwanda,0.0029511635757385893,2.9511635757385895,2.23469,3.79617,-2.0,30.0,2.0,2019
SAU,Saudi Arabia,0.03126391770715,31.26391770715,24.2594,39.7193,23.716667,44.116667,23.716667,2019
SDN,Sudan,0.01734842683091,17.34842683091,13.7108,21.4121,15.0,32.0,15.0,2019
SEN,Senegal,0.005776564711885774,5.776564711885774,4.49687,7.21694,14.366667,-14.283333,14.366667,2019
SGP,Singapore,0.0041971567840622896,4.197156784062289,3.16481,5.13194,1.3,103.8,1.3,2019
SLB,Solomon Islands,0.0016068880213066373,1.6068880213066374,1.21006,2.05365,-9.466667,159.816667,9.466667,2019
SLE,Sierra Leone,0.004361501470318887,4.3615014703188875,3.31825,5.58543,8.5,-12.1,8.5,2019
SLV,El Salvador,0.005921883993205763,5.921883993205762,4.60243,7.28658,13.668889,-88.866111,13.668889,2019
SMR,San Marino,0.058062765221400005,58.06276522140001,46.8251,70.4739,43.933333,12.466667,43.933333,2019
SOM,Somalia,0.002629723672892631,2.6297236728926308,1.96169,3.3536400000000004,6.0,47.0,6.0,2019
SRB,Serbia,0.06251444699617,62.514446996169994,55.4431,69.5419,43.95,20.933333,43.95,2019
SSD,South Sudan,0.0030529757860017315,3.0529757860017313,2.32612,3.8564599999999998,7.0,30.0,7.0,2019
STP,Sao Tome and Principe,0.0038594442608920667,3.8594442608920665,2.92286,4.8126,0.316667,6.6,0.316667,2019
SUR,Suriname,0.006236923634844981,6.236923634844981,4.80593,7.66303,4.0,-56.0,4.0,2019
SVK,Slovakia,0.03600699800114,36.006998001140005,30.344900000000003,41.8889,48.7,19.7,48.7,2019
SVN,Slovenia,0.05563654614243999,55.63654614243999,49.289300000000004,62.9973,46.0,15.0,46.0,2019
SWE,Sweden,0.21652860321509002,216.52860321509002,188.699,245.818,61.0,15.0,61.0,2019
SWZ,Eswatini,0.006169017904044503,6.1690179040445035,4.74902,7.84681,-26.483333,31.433333,26.483333,2019
SYC,Seychelles,0.0034810958090955735,3.4810958090955735,2.7074,4.24308,-7.1,52.766667,7.1,2019
SYR,Syria,0.04286062819648,42.86062819647999,33.9495,52.4673,35.216667,38.583333,35.216667,2019
TCD,Chad,0.0043918018454147485,4.391801845414748,3.38362,5.562390000000001,15.466667,19.4,15.466667,2019
TGO,Togo,0.0050523179506341805,5.052317950634181,3.86653,6.28269,8.25,1.183333,8.25,2019
THA,Thailand,0.003727579019950972,3.727579019950972,2.9045,4.6638399999999995,14.0,101.0,14.0,2019
TJK,Tajikistan,0.01560898411692,15.60898411692,12.5556,18.9361,38.583333,71.366667,38.583333,2019
TKL,Tokelau,0.001860580245535177,1.860580245535177,1.4181700000000002,2.35552,-9.166667,-171.833333,9.166667,2019
TKM,Turkmenistan,0.03488263398715,34.882633987149994,30.4183,39.3943,39.0,60.0,39.0,2019
TLS,Timor Leste,0.0016452922500715527,1.6452922500715528,1.24214,2.09199,-8.966667,125.75,8.966667,2019
TON,Tonga,0.002597595581737317,2.597595581737317,1.9700299999999997,3.28315,-20.587778,-174.810278,20.587778,2019
TTO,Trinidad and Tobago,0.008935450839941898,8.935450839941899,7.03726,11.030800000000001,10.666667,-61.516667,10.666667,2019
TUN,Tunisia,0.059476663562500004,59.4766635625,48.7523,71.7251,34.0,10.0,34.0,2019
TUR,Turkey,0.058608823885779995,58.60882388578,56.178,61.3808,39.0,36.0,39.0,2019
TUV,Tuvalu,0.0017039603980211525,1.7039603980211526,1.30501,2.1627199999999998,-7.475,178.005556,7.475,2019
TWN,Taiwan,0.008569219061646286,8.569219061646287,7.23312,10.0702,24.0,121.0,24.0,2019
TZA,Tanzania,0.0030610361153021667,3.0610361153021666,2.32846,3.87748,-6.306945,34.853889,6.306945,2019
UGA,Uganda,0.0021931371360399358,2.193137136039936,1.62915,2.76891,1.28,32.39,1.28,2019
UKR,Ukraine,0.04039560354366,40.39560354366,34.0484,47.0886,49.0,32.0,49.0,2019
URY,Uruguay,0.02959188136308,29.59188136308,24.4652,34.828199999999995,-33.0,-56.0,33.0,2019
USA,United States of America,0.13156102934714,131.56102934714002,120.22,143.714,39.828175,-98.5795,39.828175,2019
UZB,Uzbekistan,0.02158199159368,21.581991593679998,17.576,25.9577,41.0,66.0,41.0,2019
VCT,Saint Vincent and the Grenadines,0.009218017340705771,9.21801734070577,7.24034,11.1412,13.0139,-61.2296,13.0139,2019
VEN,Venezuela,0.006576963205050873,6.576963205050873,5.14177,8.00356,8.0,-67.0,8.0,2019
VIR,U.S. Virgin Islands,0.014515769941860001,14.51576994186,11.6022,17.0953,18.333333,-64.833333,18.333333,2019
VNM,Vietnam,0.003532209146652521,3.532209146652521,2.69597,4.43613,16.0,108.0,16.0,2019
VUT,Vanuatu,0.002002251384101518,2.002251384101518,1.50069,2.5993399999999998,-16.633331,168.016669,16.633331,2019
WSM,Samoa,0.0020583664761191704,2.0583664761191702,1.56284,2.59679,-13.745,-172.2175,13.745,2019
YEM,Yemen,0.01665220807079,16.65220807079,13.224,20.5321,15.5,48.0,15.5,2019
ZAF,South Africa,0.008470289031880868,8.470289031880869,6.60405,10.5095,-29.0,24.0,29.0,2019
ZMB,Zambia,0.003923496968899927,3.9234969688999266,2.9920799999999996,4.98697,-14.0,28.0,14.0,2019
ZWE,Zimbabwe,0.004526528256501977,4.526528256501977,3.4489799999999997,5.8052399999999995,-19.0,30.0,19.0,2019
