gene,n_evidence_types,n_sources,evidence_types,sources,pigean_score,de_assays,de_direction,de_contexts,consensus_score,tier
FCRL1,4,4,curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,1.4,2.0,"{""up"": 1, ""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'; 'relapsing-remitting multiple sclerosis' vs 'normal'",12,A
PHACTR2,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,1.39,,,,12,A
GNG2,4,3,clinical_biomarker|curated_disease_gene|genetic_association|genetic_association_mri_endpoint,biomarkerkg|digcfdekg|spoke-okn,3.3,,,,11,A
JAZF1,4,3,clinical_biomarker|curated_disease_gene|genetic_association|genetic_association_mri_endpoint,biomarkerkg|digcfdekg|spoke-okn,3.22,,,,11,A
GALC,4,3,clinical_biomarker|curated_disease_gene|genetic_association|genetic_association_mri_endpoint,biomarkerkg|digcfdekg|spoke-okn,1.87,,,,11,A
IKZF3,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,9.76,,,,9,B
CD40,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,8.73,,,,9,B
HLA-DQB1,3,3,clinical_biomarker|differential_expression|genetic_association,biomarkerkg|digcfdekg|gene-expression-atlas-okn,8.37,1.0,"{""up"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',9,B
CXCR5,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,8.08,,,,9,B
ETS1,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,7.56,,,,9,B
TNF,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,7.46,,,,9,B
TAGAP,3,3,curated_disease_gene|differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn|spoke-okn,6.95,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',9,B
SP140,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,6.64,,,,9,B
